sequence,source,arms,gap,clip_name,run_dir,path,fit_scale,iou_authored,tc_iou,asp_err,motion_excess,infeasible,current,export_cmd
family_ad_scene_06_A,optimizer,3,0.15?,family_ad_scene_06_A,family_ad_scene_06_A,optimized/family_ad_scene_06_A,0.7346,0.1816,0.8233,0.0168,-0.0124,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_A
family_ad_scene_06_F,optimizer,3,0.15?,family_ad_scene_06_F,family_ad_scene_06_F,optimized/family_ad_scene_06_F,0.7346,0.3445,0.7667,0.0392,-0.026,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_F
family_ad_scene_06_I,optimizer,3,0.15?,family_ad_scene_06_I,family_ad_scene_06_I,optimized/family_ad_scene_06_I,0.8308,0.0,0.2368,1.0998,-0.2436,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_I
family_ad_scene_06_L,optimizer,3,0.15?,family_ad_scene_06_L,family_ad_scene_06_L,optimized/family_ad_scene_06_L,0.7346,0.0,0.4685,0.878,-0.1949,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_L
family_ad_scene_06_L_stab,optimizer,3,0.15?,family_ad_scene_06_L_stab,family_ad_scene_06_L_stab,optimized/family_ad_scene_06_L_stab,1.3115,0.0369,0.3562,0.6076,-0.0423,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_L_stab
family_ad_scene_06_M,optimizer,3,0.15?,family_ad_scene_06_M,family_ad_scene_06_M,optimized/family_ad_scene_06_M,0.6385,0.101,0.7014,0.0645,-0.0334,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_M
family_ad_scene_06_Y,optimizer,3,0.15?,family_ad_scene_06_Y,family_ad_scene_06_Y,optimized/family_ad_scene_06_Y,0.7346,0.2904,0.7117,0.0568,-0.0852,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_Y
family_ad_scene_06_Y_stab,optimizer,3,0.15?,family_ad_scene_06_Y_stab,family_ad_scene_06_Y_stab,optimized/family_ad_scene_06_Y_stab,0.6385,0.1703,0.7871,0.0244,-0.0323,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_06_Y_stab
fish_scene_01_fish,optimizer,3,0.15?,fish_scene_01_fish,fish_scene_01_fish,optimized/fish_scene_01_fish,0.7346,0.0099,0.5689,0.0345,-0.0098,0.0,False,python demo/export_library_clip.py --sequence fish_scene_01_fish
fish_scene_01_fish,optimizer_g25,3,0.25,fish_scene_01_fish__optimizer_g25,fish_scene_01_fish_g25,optimized/fish_scene_01_fish_g25,0.7346,0.0058,0.5824,0.0606,-0.0158,0.0,True,python demo/export_library_clip.py --sequence fish_scene_01_fish --source optimizer_g25
flower,optimizer,3,0.15?,flower,flower,optimized/flower,0.9269,0.2998,0.6104,0.2222,-0.0927,0.0,False,python demo/export_library_clip.py --sequence flower
flower,optimizer_seamfix,3,0.15?,flower__optimizer_seamfix,seamfix_flower,optimized/seamfix_flower,0.9269,0.2998,0.6104,0.2222,-0.0927,0.0,False,python demo/export_library_clip.py --sequence flower --source optimizer_seamfix
flower_blooming_scene_01_flower,optimizer,3,0.15?,flower_blooming_scene_01_flower,flower_blooming_scene_01_flower,optimized/flower_blooming_scene_01_flower,0.6385,0.1501,0.7519,0.0912,-0.0165,0.0,False,python demo/export_library_clip.py --sequence flower_blooming_scene_01_flower
flower_blooming_scene_01_flower,optimizer_g25,3,0.25,flower_blooming_scene_01_flower__optimizer_g25,flower_blooming_scene_01_flower_g25,optimized/flower_blooming_scene_01_flower_g25,0.7346,0.2354,0.7782,0.1294,-0.0155,0.0,True,python demo/export_library_clip.py --sequence flower_blooming_scene_01_flower --source optimizer_g25
heart_scene_01_heart,optimizer,3,0.25,heart_scene_01_heart,heart_scene_01_heart,optimized/heart_scene_01_heart,0.7346,0.1659,0.6897,0.0989,-0.011,0.0,True,python demo/export_library_clip.py --sequence heart_scene_01_heart
heart_scene_01_heart,optimizer_n5,5,0.25,heart_scene_01_heart__optimizer_n5,heart_scene_01_heart_n5,optimized/heart_scene_01_heart_n5,0.8308,0.3462,0.6521,0.1752,-0.027,0.0,True,python demo/export_library_clip.py --sequence heart_scene_01_heart --source optimizer_n5
icra_2027_demo_scene_01_bird_i_2,optimizer,3,0.15?,icra_2027_demo_scene_01_bird_i_2,icra_2027_demo_scene_01_bird_i_2,optimized/icra_2027_demo_scene_01_bird_i_2,0.7346,0.024,0.6731,0.3095,-0.0183,0.0,False,python demo/export_library_clip.py --sequence icra_2027_demo_scene_01_bird_i_2
icra_2027_demo_scene_01_butterfly_R_2,optimizer,3,0.15?,icra_2027_demo_scene_01_butterfly_R_2,icra_2027_demo_scene_01_butterfly_R_2,optimized/icra_2027_demo_scene_01_butterfly_R_2,1.3115,0.0,0.6071,0.1525,-0.0331,0.0,False,python demo/export_library_clip.py --sequence icra_2027_demo_scene_01_butterfly_R_2
icra_2027_demo_scene_01_snake_c_0,optimizer,3,0.15?,icra_2027_demo_scene_01_snake_c_0,icra_2027_demo_scene_01_snake_c_0,optimized/icra_2027_demo_scene_01_snake_c_0,1.2154,0.0,0.6654,0.0492,0.0,0.0,False,python demo/export_library_clip.py --sequence icra_2027_demo_scene_01_snake_c_0
icra_2027_demo_scene_01_star_A_7,optimizer,3,0.15?,icra_2027_demo_scene_01_star_A_7,icra_2027_demo_scene_01_star_A_7,optimized/icra_2027_demo_scene_01_star_A_7,1.4077,0.0,0.5364,0.142,-0.0738,0.0,False,python demo/export_library_clip.py --sequence icra_2027_demo_scene_01_star_A_7
me_scene_01_me,optimizer,3,0.25,me_scene_01_me,me_scene_01_me,optimized/me_scene_01_me,0.7346,0.2413,0.8365,0.0353,-0.0007,0.0,True,python demo/export_library_clip.py --sequence me_scene_01_me
me_scene_01_me,optimizer_n5,5,0.25,me_scene_01_me__optimizer_n5,me_scene_01_me_n5,optimized/me_scene_01_me_n5,0.8308,0.3394,0.6833,0.2053,0.007,0.0,True,python demo/export_library_clip.py --sequence me_scene_01_me --source optimizer_n5
moose_scene_01_moose,optimizer_g25,3,0.25,moose_scene_01_moose__optimizer_g25,moose_scene_01_moose_g25,optimized/moose_scene_01_moose_g25,0.7346,0.058,0.5476,0.0978,-0.1244,0.0,True,python demo/export_library_clip.py --sequence moose_scene_01_moose --source optimizer_g25
moose_scene_01_moose_stab,optimizer,3,0.15?,moose_scene_01_moose_stab,moose_scene_01_moose_stab,optimized/moose_scene_01_moose_stab,0.7346,0.0564,0.605,0.0198,-0.1573,0.0,False,python demo/export_library_clip.py --sequence moose_scene_01_moose_stab
mushroom_growing_scene_01_mushroom,optimizer,3,0.25,mushroom_growing_scene_01_mushroom,mushroom_growing_scene_01_mushroom,optimized/mushroom_growing_scene_01_mushroom,0.7346,0.1514,0.5946,0.3551,-0.0702,0.0,True,python demo/export_library_clip.py --sequence mushroom_growing_scene_01_mushroom
mushroom_growing_scene_01_mushroom,optimizer_n5,5,0.25,mushroom_growing_scene_01_mushroom__optimizer_n5,mushroom_growing_scene_01_mushroom_n5,optimized/mushroom_growing_scene_01_mushroom_n5,0.7346,0.2514,0.5494,0.2943,-0.0787,0.0,True,python demo/export_library_clip.py --sequence mushroom_growing_scene_01_mushroom --source optimizer_n5
pixar_scene_01_lamp,optimizer,3,0.15?,pixar_scene_01_lamp,pixar_scene_01_lamp,optimized/pixar_scene_01_lamp,0.6385,0.0,0.0,0.0,0.0,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_01_lamp
pixar_scene_01_lamp,optimizer_n5,5,0.25,pixar_scene_01_lamp__optimizer_n5,pixar_scene_01_lamp_n5,optimized/pixar_scene_01_lamp_n5,1.0231,0.0,0.1457,2.1156,-0.6015,0.0,True,python demo/export_library_clip.py --sequence pixar_scene_01_lamp --source optimizer_n5
pixar_scene_01_lamp_stab,optimizer,3,0.15?,pixar_scene_01_lamp_stab,pixar_scene_01_lamp_stab,optimized/pixar_scene_01_lamp_stab,4.1154,0.0,0.606,0.1109,-0.2034,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_01_lamp_stab
pixar_scene_02_R,optimizer,3,0.15?,pixar_scene_02_R,pixar_scene_02_R,optimized/pixar_scene_02_R,0.7346,0.2301,0.638,0.077,0.0073,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_02_R
pixar_scene_02_lamp,optimizer,3,0.15?,pixar_scene_02_lamp,pixar_scene_02_lamp,optimized/pixar_scene_02_lamp,0.7346,0.2806,0.7162,0.0458,-0.0718,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_02_lamp
pixar_scene_02_lamp,optimizer_n5,5,0.25,pixar_scene_02_lamp__optimizer_n5,pixar_scene_02_lamp_n5,optimized/pixar_scene_02_lamp_n5,0.8308,0.4862,0.3806,0.3681,-0.0545,0.0,True,python demo/export_library_clip.py --sequence pixar_scene_02_lamp --source optimizer_n5
pixar_scene_03_I,optimizer,3,0.15?,pixar_scene_03_I,pixar_scene_03_I,optimized/pixar_scene_03_I,1.1192,0.1322,0.7042,0.1139,-0.0323,0.0714,False,python demo/export_library_clip.py --sequence pixar_scene_03_I
pixar_scene_03_I,optimizer_n5,5,0.25,pixar_scene_03_I__optimizer_n5,pixar_scene_03_I_n5,optimized/pixar_scene_03_I_n5,1.2154,0.1983,0.6541,0.3161,-0.1242,0.0,True,python demo/export_library_clip.py --sequence pixar_scene_03_I --source optimizer_n5
pixar_scene_03_lamp,optimizer,3,0.15?,pixar_scene_03_lamp,pixar_scene_03_lamp,optimized/pixar_scene_03_lamp,1.0231,0.0,0.0,0.0,0.0,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_03_lamp
pixar_scene_03_lamp,optimizer_n5,5,0.25,pixar_scene_03_lamp__optimizer_n5,pixar_scene_03_lamp_n5,optimized/pixar_scene_03_lamp_n5,1.0231,0.0746,0.4579,0.2556,-0.4215,0.0,True,python demo/export_library_clip.py --sequence pixar_scene_03_lamp --source optimizer_n5
pixar_scene_03_lamp_stab,optimizer,3,0.15?,pixar_scene_03_lamp_stab,pixar_scene_03_lamp_stab,optimized/pixar_scene_03_lamp_stab,1.4077,0.109,0.6034,0.0953,-0.3047,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_03_lamp_stab
pixar_scene_04_lamp,optimizer,3,0.15?,pixar_scene_04_lamp,pixar_scene_04_lamp,optimized/pixar_scene_04_lamp,0.7346,0.1804,0.638,0.1081,-0.031,0.0,False,python demo/export_library_clip.py --sequence pixar_scene_04_lamp
pixar_scene_04_lamp,optimizer_n5,5,0.25,pixar_scene_04_lamp__optimizer_n5,pixar_scene_04_lamp_n5,optimized/pixar_scene_04_lamp_n5,0.6385,0.2611,0.2658,0.2595,-0.1015,0.0,True,python demo/export_library_clip.py --sequence pixar_scene_04_lamp --source optimizer_n5
plant,optimizer,3,0.15?,plant,plant,optimized/plant,0.6385,0.256,0.4764,0.1501,0.0031,0.0,False,python demo/export_library_clip.py --sequence plant
reeds_n3,optimizer,3,0.15?,reeds_n3,reeds_n3,optimized/reeds_n3,0.9269,0.139,0.3286,0.0411,-0.2697,0.0,False,python demo/export_library_clip.py --sequence reeds_n3
reeds_n5,optimizer,5,0.15?,reeds_n5,reeds_n5,optimized/reeds_n5,0.6385,0.1598,0.3822,0.0455,-0.3612,0.0,False,python demo/export_library_clip.py --sequence reeds_n5
star_ds12,optimizer,3,0.15?,star_ds12,star_ds12_n3,optimized/star_ds12_n3,0.6385,0.0834,0.2912,0.1215,-0.2453,0.0,False,python demo/export_library_clip.py --sequence star_ds12
star_ds12,optimizer_n5,5,0.15?,star_ds12__optimizer_n5,star_ds12_n5,optimized/star_ds12_n5,0.8308,0.2351,0.4849,0.0747,-0.2457,0.0,False,python demo/export_library_clip.py --sequence star_ds12 --source optimizer_n5
star_spin,optimizer,3,0.15?,star_spin,bigstar_star_spin,optimized/bigstar_star_spin,0.85,0.2375,0.5287,0.0851,-0.1695,0.2,False,python demo/export_library_clip.py --sequence star_spin
star_spinning_scene_01_star,optimizer,3,0.15?,star_spinning_scene_01_star,star_spinning_scene_01_star,optimized/star_spinning_scene_01_star,0.7346,0.1573,0.5217,0.1204,-0.1416,0.0,False,python demo/export_library_clip.py --sequence star_spinning_scene_01_star
star_spinning_scene_01_star,optimizer_g25,3,0.25,star_spinning_scene_01_star__optimizer_g25,star_spinning_scene_01_star_g25,optimized/star_spinning_scene_01_star_g25,0.7346,0.117,0.3714,0.1552,-0.176,0.0,True,python demo/export_library_clip.py --sequence star_spinning_scene_01_star --source optimizer_g25
star_spinning_scene_01_star,optimizer_n5,5,0.15?,star_spinning_scene_01_star__optimizer_n5,star_n5,optimized/star_n5,0.8308,0.2318,0.4894,0.0644,-0.1299,0.0,False,python demo/export_library_clip.py --sequence star_spinning_scene_01_star --source optimizer_n5
stick_wave,optimizer,3,0.15?,stick_wave,stick_wave,optimized/stick_wave,0.7346,0.3477,0.7246,0.2015,-0.0209,0.0,False,python demo/export_library_clip.py --sequence stick_wave
sun_scene_01_sun,optimizer,3,0.25,sun_scene_01_sun,sun_scene_01_sun,optimized/sun_scene_01_sun,0.8308,0.3299,0.559,0.2495,-0.0335,0.0,True,python demo/export_library_clip.py --sequence sun_scene_01_sun
sun_scene_01_sun,optimizer_n5,5,0.25,sun_scene_01_sun__optimizer_n5,sun_scene_01_sun_n5,optimized/sun_scene_01_sun_n5,0.8308,0.4703,0.5712,0.3886,-0.0399,0.0,True,python demo/export_library_clip.py --sequence sun_scene_01_sun --source optimizer_n5
swan_scene_01_swan,optimizer,3,0.25,swan_scene_01_swan,swan_scene_01_swan,optimized/swan_scene_01_swan,0.8308,0.075,0.5687,0.1698,-0.0149,0.0,True,python demo/export_library_clip.py --sequence swan_scene_01_swan
swan_scene_01_swan,optimizer_n5,5,0.25,swan_scene_01_swan__optimizer_n5,swan_scene_01_swan_n5,optimized/swan_scene_01_swan_n5,0.9269,0.1384,0.5552,0.1337,-0.0185,0.0,True,python demo/export_library_clip.py --sequence swan_scene_01_swan --source optimizer_n5
t_rex_scene_01_t-rex,optimizer,3,0.15?,t_rex_scene_01_t-rex,t_rex_scene_01_t-rex,optimized/t_rex_scene_01_t-rex,0.7346,0.0123,0.5218,0.2552,-0.2302,0.0,False,python demo/export_library_clip.py --sequence t_rex_scene_01_t-rex
t_rex_scene_01_t-rex,optimizer_g25,3,0.25,t_rex_scene_01_t-rex__optimizer_g25,t_rex_scene_01_t-rex_g25,optimized/t_rex_scene_01_t-rex_g25,0.6385,0.0053,0.5278,0.1845,-0.2566,0.0,True,python demo/export_library_clip.py --sequence t_rex_scene_01_t-rex --source optimizer_g25
teacup_scene_01_teacup,optimizer,3,0.25,teacup_scene_01_teacup,teacup_scene_01_teacup,optimized/teacup_scene_01_teacup,0.6385,0.027,0.7061,0.2459,-0.0611,0.0,True,python demo/export_library_clip.py --sequence teacup_scene_01_teacup
teacup_scene_01_teacup,optimizer_n5,5,0.25,teacup_scene_01_teacup__optimizer_n5,teacup_scene_01_teacup_n5,optimized/teacup_scene_01_teacup_n5,0.9269,0.357,0.5452,0.3812,-0.0504,0.0,True,python demo/export_library_clip.py --sequence teacup_scene_01_teacup --source optimizer_n5
teapot_scene_01_teapot,optimizer,3,0.25,teapot_scene_01_teapot,teapot_scene_01_teapot,optimized/teapot_scene_01_teapot,0.8308,0.1002,0.7279,0.055,-0.0159,0.0,True,python demo/export_library_clip.py --sequence teapot_scene_01_teapot
teapot_scene_01_teapot,optimizer_n5,5,0.25,teapot_scene_01_teapot__optimizer_n5,teapot_scene_01_teapot_n5,optimized/teapot_scene_01_teapot_n5,1.1192,0.4762,0.626,0.1665,-0.0063,0.0,True,python demo/export_library_clip.py --sequence teapot_scene_01_teapot --source optimizer_n5
tree_ds12,optimizer,3,0.15?,tree_ds12,tree_ds12,optimized/tree_ds12,0.8308,0.2198,0.4986,0.0294,-0.3685,0.0,False,python demo/export_library_clip.py --sequence tree_ds12
tree_ds12,optimizer_tw005,3,0.15?,tree_ds12__optimizer_tw005,tree_ds12_tw005,optimized/tree_ds12_tw005,0.8308,0.2174,0.5267,0.0673,-0.3523,0.0,False,python demo/export_library_clip.py --sequence tree_ds12 --source optimizer_tw005
tree_scene_01_tree,optimizer,3,0.15?,tree_scene_01_tree,tree_scene_01_tree,optimized/tree_scene_01_tree,0.8308,0.2197,0.5065,0.0463,-0.2043,0.0,False,python demo/export_library_clip.py --sequence tree_scene_01_tree
tree_scene_01_tree,optimizer_g25,3,0.25,tree_scene_01_tree__optimizer_g25,tree_scene_01_tree_g25,optimized/tree_scene_01_tree_g25,0.8308,0.2093,0.495,0.0312,-0.2092,0.0,True,python demo/export_library_clip.py --sequence tree_scene_01_tree --source optimizer_g25
tree_scene_01_tree,optimizer_tw005,3,0.15?,tree_scene_01_tree__optimizer_tw005,tree_tw005,optimized/tree_tw005,0.8308,0.2203,0.5001,0.0389,-0.2008,0.0,False,python demo/export_library_clip.py --sequence tree_scene_01_tree --source optimizer_tw005
triangle,optimizer,3,0.15?,triangle,triangle,optimized/triangle,0.7346,0.0002,0.5289,0.3405,-0.1195,0.0,False,python demo/export_library_clip.py --sequence triangle
triangle_stab,optimizer,3,0.15?,triangle_stab,triangle_stab,optimized/triangle_stab,1.1192,0.0662,0.7575,0.075,-0.0553,0.0,False,python demo/export_library_clip.py --sequence triangle_stab
two_arm_wave_n5,optimizer,5,0.15?,two_arm_wave_n5,two_arm_wave_n5,optimized/two_arm_wave_n5,0.7346,0.3808,0.7206,0.1716,-0.0505,0.0,False,python demo/export_library_clip.py --sequence two_arm_wave_n5
umbrella_scene_01_umbrella,optimizer,3,0.25,umbrella_scene_01_umbrella,umbrella_scene_01_umbrella,optimized/umbrella_scene_01_umbrella,0.7346,0.0091,0.6398,0.1195,-0.0175,0.0,True,python demo/export_library_clip.py --sequence umbrella_scene_01_umbrella
umbrella_scene_01_umbrella,optimizer_n5,5,0.25,umbrella_scene_01_umbrella__optimizer_n5,umbrella_scene_01_umbrella_n5,optimized/umbrella_scene_01_umbrella_n5,1.1192,0.3909,0.5532,0.1995,-0.0045,0.0,True,python demo/export_library_clip.py --sequence umbrella_scene_01_umbrella --source optimizer_n5
windmill_n3,optimizer,3,0.15?,windmill_n3,windmill_n3,optimized/windmill_n3,0.9269,0.0327,0.3804,0.1011,-0.3538,0.125,False,python demo/export_library_clip.py --sequence windmill_n3
windmill_n3,optimizer_seamfix,3,0.15?,windmill_n3__optimizer_seamfix,seamfix_windmill_n3,optimized/seamfix_windmill_n3,0.9269,0.0327,0.3804,0.1011,-0.3538,0.125,False,python demo/export_library_clip.py --sequence windmill_n3 --source optimizer_seamfix
windmill_n5,optimizer,5,0.15?,windmill_n5,windmill_n5,optimized/windmill_n5,0.9269,0.1329,0.3974,0.106,-0.2548,0.125,False,python demo/export_library_clip.py --sequence windmill_n5
windmill_n5,optimizer_seamfix,5,0.15?,windmill_n5__optimizer_seamfix,seamfix_windmill_n5,optimized/seamfix_windmill_n5,0.9269,0.1318,0.3911,0.0503,-0.2465,0.125,False,python demo/export_library_clip.py --sequence windmill_n5 --source optimizer_seamfix
windmill_scene_01_windmill,optimizer,3,0.15?,windmill_scene_01_windmill,windmill_scene_01_windmill,optimized/windmill_scene_01_windmill,0.5423,0.1567,0.4285,0.1016,-0.2204,0.0,False,python demo/export_library_clip.py --sequence windmill_scene_01_windmill
windmill_scene_01_windmill,optimizer_g25,3,0.25,windmill_scene_01_windmill__optimizer_g25,windmill_scene_01_windmill_g25,optimized/windmill_scene_01_windmill_g25,0.5423,0.1327,0.4202,0.0912,-0.2105,0.0,True,python demo/export_library_clip.py --sequence windmill_scene_01_windmill --source optimizer_g25
wiper,optimizer,3,0.15?,wiper,wiper,optimized/wiper,0.7346,0.1591,0.2653,0.7761,-0.2045,0.1667,False,python demo/export_library_clip.py --sequence wiper
