mask,roughness_before,roughness_after,area_before,area_after,cc_before,cc_after
f0215_R_mask.png,2.058,1.812,4313,4998,1,1
f0215_X_mask.png,2.831,2.609,3364,3328,1,1
f0232_A_mask.png,2.255,2.035,3614,3828,1,1
f0232_lamp_mask.png,2.507,2.261,6470,6373,1,1
f0232_P_mask.png,1.755,1.521,3477,4142,1,1
f0232_R_mask.png,2.12,1.83,4195,4913,3,1
f0232_X_mask.png,2.813,2.594,3375,3342,1,1
f0237_A_mask.png,2.377,2.094,3383,3669,1,1
f0237_lamp_mask.png,2.516,2.299,6371,6279,1,1
f0237_P_mask.png,1.755,1.516,3480,4154,1,1
f0237_R_mask.png,2.091,1.82,4303,4997,2,1
f0237_X_mask.png,2.918,2.67,3207,3154,1,1
f0242_A_mask.png,2.308,2.08,3573,3837,1,1
f0242_lamp_mask.png,2.381,2.199,6594,6560,1,1
f0242_P_mask.png,1.762,1.52,3490,4167,1,1
f0242_R_mask.png,2.086,1.818,4333,5021,2,1
f0242_X_mask.png,2.858,2.629,3311,3275,1,1
f0247_A_mask.png,2.376,2.102,3423,3715,1,1
f0247_lamp_mask.png,2.093,1.982,6617,6584,1,1
f0247_P_mask.png,1.762,1.516,3490,4168,1,1
f0247_R_mask.png,2.096,1.816,4317,4986,2,1
f0247_X_mask.png,2.821,2.607,3376,3342,1,1
f0252_A_mask.png,2.314,2.073,3556,3821,1,1
f0252_lamp_mask.png,2.087,1.891,6237,6176,1,1
f0252_P_mask.png,1.765,1.518,3469,4150,1,1
f0252_R_mask.png,2.086,1.812,4321,4996,2,1
f0252_X_mask.png,2.816,2.604,3371,3337,1,1
f0257_A_mask.png,2.365,2.097,3435,3726,1,1
f0257_lamp_mask.png,1.997,1.882,6098,6059,2,1
f0257_P_mask.png,1.761,1.519,3466,4147,1,1
f0257_R_mask.png,2.084,1.817,4328,5005,2,1
f0257_X_mask.png,2.82,2.604,3370,3335,1,1
f0262_A_mask.png,2.374,2.108,3429,3737,1,1
f0262_lamp_mask.png,2.425,2.246,6713,6662,1,1
f0262_P_mask.png,1.773,1.525,3461,4142,1,1
f0262_R_mask.png,2.082,1.831,4334,5012,2,1
f0262_X_mask.png,2.866,2.628,3301,3265,1,1
f0267_A_mask.png,2.308,2.071,3566,3833,1,1
f0267_lamp_mask.png,2.404,2.192,6844,6796,1,1
f0267_P_mask.png,2.359,1.526,3365,4082,1,1
f0267_R_mask.png,2.073,1.822,4344,5027,2,1
f0267_X_mask.png,2.858,2.617,3325,3286,1,1
f0272_A_mask.png,2.36,2.094,3449,3745,1,1
f0272_lamp_mask.png,2.37,2.19,6844,6806,2,1
f0272_P_mask.png,2.354,1.527,3370,4088,1,1
f0272_R_mask.png,2.077,1.821,4343,5026,2,1
f0272_X_mask.png,2.849,2.623,3335,3296,1,1
f0277_A_mask.png,2.303,2.075,3560,3824,1,1
f0277_lamp_mask.png,2.39,2.192,6837,6807,2,1
f0277_P_mask.png,2.351,1.526,3366,4083,1,1
f0277_R_mask.png,2.082,1.816,4351,5037,2,1
f0277_X_mask.png,2.858,2.614,3337,3301,1,1
f0282_A_mask.png,2.361,2.098,3448,3742,1,1
f0282_lamp_mask.png,2.397,2.213,6641,6616,1,1
f0282_P_mask.png,2.347,1.53,3377,4096,1,1
f0282_R_mask.png,2.087,1.813,4360,5038,2,1
f0282_X_mask.png,2.858,2.604,3331,3294,1,1
f0287_A_mask.png,2.375,2.091,3393,3691,1,1
f0287_lamp_mask.png,2.361,2.238,7111,7047,1,1
f0287_P_mask.png,1.763,1.52,3487,4168,1,1
f0287_R_mask.png,2.082,1.822,4351,5028,2,1
f0287_X_mask.png,2.854,2.618,3298,3248,1,1
f0292_A_mask.png,2.37,2.083,3424,3720,1,1
f0292_lamp_mask.png,2.217,2.037,7357,7283,1,1
f0292_P_mask.png,2.354,1.517,3390,4096,1,1
f0292_R_mask.png,2.085,1.818,4368,5051,1,1
f0292_X_mask.png,2.781,2.579,3425,3386,1,1
f0297_A_mask.png,2.299,2.063,3575,3842,1,1
f0297_lamp_mask.png,2.18,2.006,7085,7050,2,1
f0297_P_mask.png,1.754,1.513,3498,4173,1,1
f0297_R_mask.png,2.073,1.812,4364,5034,2,1
f0297_X_mask.png,2.789,2.584,3429,3399,1,1
