shadow_name,subset,target,best_iou,mean_iou,std_iou,min_iou,n_runs,best_run,n_robots,arm_gap_m,seconds,best_shadow_png,q_rad_json,a_rot_deg,a_pitch_deg,a_elbow_deg,a_wristpitch_deg,a_wristroll_deg,a_grip_deg,b_rot_deg,b_pitch_deg,b_elbow_deg,b_wristpitch_deg,b_wristroll_deg,b_grip_deg,c_rot_deg,c_pitch_deg,c_elbow_deg,c_wristpitch_deg,c_wristroll_deg,c_grip_deg
objects/bell_mpeg7-02,objects,targets/objects/bell_mpeg7-02.png,0.7461,0.6946,0.0354,0.6302,10,7,3,0.2,87.9,objects/bell_mpeg7-02/bell_mpeg7-02_best.png,"[1.303961, -1.249956, -1.336853, 0.537621, 2.800987, -0.001067, 1.91986, -1.038058, -0.50365, 0.843979, -1.032058, 0.504054, 0.881668, -1.620993, -1.168085, 1.457065, 1.535151, 0.747625]",74.71,-71.62,-76.6,30.8,160.48,-0.06,110.0,-59.48,-28.86,48.36,-59.13,28.88,50.52,-92.88,-66.93,83.48,87.96,42.84
objects/bell_mpeg7-03,objects,targets/objects/bell_mpeg7-03.png,0.7448,0.7168,0.0229,0.6766,10,4,3,0.2,87.7,objects/bell_mpeg7-03/bell_mpeg7-03_best.png,"[1.052566, -0.857493, -1.658704, 1.614648, 2.716053, 1.74533, 1.91986, -1.066192, -0.390663, 0.577603, 2.251847, 0.377803, -1.004448, -1.542452, -1.402346, 0.319524, 0.33007, 1.5248]",60.31,-49.13,-95.04,92.51,155.62,100.0,110.0,-61.09,-22.38,33.09,129.02,21.65,-57.55,-88.38,-80.35,18.31,18.91,87.36
abstract/comma_mpeg7-05,abstract,targets/abstract/comma_mpeg7-05.png,0.7443,0.7267,0.0244,0.6588,10,6,3,0.2,122.9,abstract/comma_mpeg7-05/comma_mpeg7-05_best.png,"[-0.471995, -0.746994, -1.562108, 1.65806, 0.685548, 1.729837, -0.81135, -0.741279, -1.103793, -0.748686, -1.473358, 1.510667, -0.783055, -1.517388, -0.949102, 1.314428, 0.57799, 0.241036]",-27.04,-42.8,-89.5,95.0,39.28,99.11,-46.49,-42.47,-63.24,-42.9,-84.42,86.55,-44.87,-86.94,-54.38,75.31,33.12,13.81
letters_lower/l_dejavuserif-bold,letters_lower,targets/letters_lower/l_dejavuserif-bold.png,0.7423,0.7076,0.0187,0.6668,10,6,3,0.2,85.7,letters_lower/l_dejavuserif-bold/l_dejavuserif-bold_best.png,"[-0.5375, -0.982701, -0.42708, -0.35233, -1.867802, 1.531616, 1.91986, 0.58618, -1.634655, -1.338489, -1.786709, 0.663825, -1.342558, -1.460551, -1.69, 0.489501, -2.581576, 1.173509]",-30.8,-56.3,-24.47,-20.19,-107.02,87.76,110.0,33.59,-93.66,-76.69,-102.37,38.03,-76.92,-83.68,-96.83,28.05,-147.91,67.24
objects/spoon_mpeg7-04,objects,targets/objects/spoon_mpeg7-04.png,0.7406,0.6683,0.0472,0.5844,10,7,3,0.2,88.8,objects/spoon_mpeg7-04/spoon_mpeg7-04_best.png,"[-1.657952, -1.466646, 0.561315, 0.937133, -1.981105, 0.560663, -0.328983, -0.489108, -1.680085, -0.076828, 2.004521, 1.200178, 1.138312, -0.161361, 0.334333, 1.030648, -1.190185, 1.256893]",-94.99,-84.03,32.16,53.69,-113.51,32.12,-18.85,-28.02,-96.26,-4.4,114.85,68.77,65.22,-9.25,19.16,59.05,-68.19,72.01
letters_lower/r_dejavusansmono-bold,letters_lower,targets/letters_lower/r_dejavusansmono-bold.png,0.7405,0.7197,0.0176,0.6833,10,4,3,0.2,85.5,letters_lower/r_dejavusansmono-bold/r_dejavusansmono-bold_best.png,"[1.528991, -0.537008, -1.594208, 1.586322, -0.256721, -0.174533, 0.589062, -0.292183, -1.618622, -0.693822, -1.396064, 0.762344, 1.349935, -0.245696, 0.519677, 1.64124, -1.767686, 0.361447]",87.6,-30.77,-91.34,90.89,-14.71,-10.0,33.75,-16.74,-92.74,-39.75,-79.99,43.68,77.35,-14.08,29.78,94.04,-101.28,20.71
letters_lower/l_dejavusans-bold,letters_lower,targets/letters_lower/l_dejavusans-bold.png,0.7401,0.7211,0.0108,0.702,10,5,3,0.2,86.9,letters_lower/l_dejavusans-bold/l_dejavusans-bold_best.png,"[1.846471, 0.629304, -1.637996, -1.200281, 2.510178, 0.401859, 1.91986, 0.359125, -1.53564, -0.023151, -2.74385, -0.140426, -0.47921, -1.316321, 0.282075, -1.150713, -1.411601, 0.581465]",105.79,36.06,-93.85,-68.77,143.82,23.02,110.0,20.58,-87.99,-1.33,-157.21,-8.05,-27.46,-75.42,16.16,-65.93,-80.88,33.32
letters_upper/Y_dejavusans-bold,letters_upper,targets/letters_upper/Y_dejavusans-bold.png,0.7377,0.7056,0.0191,0.6809,10,6,3,0.2,122.4,letters_upper/Y_dejavusans-bold/Y_dejavusans-bold_best.png,"[0.615291, -0.949011, -0.366242, 0.576096, -1.534854, 0.56811, 0.280566, -0.605595, -1.353717, -0.47925, -2.072044, 1.702542, 0.252937, -1.081406, -0.723152, -0.076485, 0.771525, 1.388292]",35.25,-54.37,-20.98,33.01,-87.94,32.55,16.08,-34.7,-77.56,-27.46,-118.72,97.55,14.49,-61.96,-41.43,-4.38,44.21,79.54
abstract/device4_mpeg7-03,abstract,targets/abstract/device4_mpeg7-03.png,0.7355,0.6649,0.0338,0.6166,10,8,3,0.2,121.0,abstract/device4_mpeg7-03/device4_mpeg7-03_best.png,"[1.334392, -0.900318, -1.298785, -0.515834, -0.510866, 1.676822, 1.025062, -1.012498, -1.533493, -1.65806, -1.98464, 1.316995, -1.299122, 0.988764, -1.69, -1.576139, -0.790122, 0.108976]",76.46,-51.58,-74.41,-29.56,-29.27,96.07,58.73,-58.01,-87.86,-95.0,-113.71,75.46,-74.43,56.65,-96.83,-90.31,-45.27,6.24
abstract/device4_mpeg7-02,abstract,targets/abstract/device4_mpeg7-02.png,0.7351,0.7024,0.0215,0.6639,10,9,3,0.2,123.0,abstract/device4_mpeg7-02/device4_mpeg7-02_best.png,"[1.057365, -1.686218, -0.284492, 1.291411, -0.376087, 0.618281, 1.687678, -0.813727, -1.666849, -1.546941, 1.412208, 0.709388, -0.882386, -1.323296, -1.54296, -1.097798, 2.057825, 0.608196]",60.58,-96.61,-16.3,73.99,-21.55,35.42,96.7,-46.62,-95.5,-88.63,80.91,40.64,-50.56,-75.82,-88.41,-62.9,117.9,34.85
objects/bell_mpeg7-01,objects,targets/objects/bell_mpeg7-01.png,0.7351,0.7165,0.0162,0.6849,10,1,3,0.2,87.0,objects/bell_mpeg7-01/bell_mpeg7-01_best.png,"[0.924403, -0.397259, -1.69, -1.65806, -0.192752, 0.228254, -1.223259, 0.088452, -0.899791, -1.286336, 1.333033, 1.183881, -0.527601, -1.006694, -0.765541, 0.867568, -1.743741, 0.879003]",52.96,-22.76,-96.83,-95.0,-11.04,13.08,-70.09,5.07,-51.55,-73.7,76.38,67.83,-30.23,-57.68,-43.86,49.71,-99.91,50.36
letters_upper/L_dejavusansmono-bold,letters_upper,targets/letters_upper/L_dejavusansmono-bold.png,0.7327,0.7157,0.0165,0.6838,10,1,3,0.2,122.7,letters_upper/L_dejavusansmono-bold/L_dejavusansmono-bold_best.png,"[-1.708627, -0.523361, -1.579741, 1.130417, -2.74385, 1.07418, -1.05612, -1.338344, -1.69, -0.767859, -1.803933, 0.933477, -1.912386, -1.670824, -0.100952, 0.874415, -0.07201, 1.58863]",-97.9,-29.99,-90.51,64.77,-157.21,61.55,-60.51,-76.68,-96.83,-44.0,-103.36,53.48,-109.57,-95.73,-5.78,50.1,-4.13,91.02
letters_upper/V_dejavusansmono-bold,letters_upper,targets/letters_upper/V_dejavusansmono-bold.png,0.7318,0.7021,0.0189,0.6796,10,5,3,0.2,125.4,letters_upper/V_dejavusansmono-bold/V_dejavusansmono-bold_best.png,"[0.632133, -0.665097, -0.629363, 0.173428, 1.057711, 0.142489, 0.972033, -1.202467, -1.099938, 0.561357, -1.965024, -0.063184, 0.056913, -1.335913, -0.498516, -0.037232, -1.707564, 0.809198]",36.22,-38.11,-36.06,9.94,60.6,8.16,55.69,-68.9,-63.02,32.16,-112.59,-3.62,3.26,-76.54,-28.56,-2.13,-97.84,46.36
objects/bottle_mpeg7-04,objects,targets/objects/bottle_mpeg7-04.png,0.7317,0.6778,0.0256,0.6382,10,4,3,0.2,85.2,objects/bottle_mpeg7-04/bottle_mpeg7-04_best.png,"[-1.325696, -1.474993, -0.322447, 0.53718, 0.091005, -0.053756, 1.759504, 0.921718, -1.69, 0.758491, 0.316266, 0.705573, -1.290257, -1.663792, -1.594081, 0.853525, 0.021092, 0.741777]",-75.96,-84.51,-18.47,30.78,5.21,-3.08,100.81,52.81,-96.83,43.46,18.12,40.43,-73.93,-95.33,-91.33,48.9,1.21,42.5
objects/bell_mpeg7-05,objects,targets/objects/bell_mpeg7-05.png,0.7293,0.6907,0.0226,0.6475,10,3,3,0.2,88.8,objects/bell_mpeg7-05/bell_mpeg7-05_best.png,"[-1.910137, 0.348886, -1.00328, -1.46149, 0.925705, 1.588703, 1.91986, -0.943409, -0.289272, 0.251139, 2.80614, 1.685003, -0.885757, -1.67961, -0.976657, -0.857808, 0.171585, -0.020328]",-109.44,19.99,-57.48,-83.74,53.04,91.03,110.0,-54.05,-16.57,14.39,160.78,96.54,-50.75,-96.23,-55.96,-49.15,9.83,-1.16
letters_upper/D_dejavusansmono-bold,letters_upper,targets/letters_upper/D_dejavusansmono-bold.png,0.7277,0.6804,0.0265,0.647,10,8,3,0.2,123.9,letters_upper/D_dejavusansmono-bold/D_dejavusansmono-bold_best.png,"[1.070937, -0.175081, -1.284247, -1.217654, -1.423464, 1.638558, -0.324384, -1.250571, -0.867792, 0.910502, -2.159328, -0.152414, -0.88152, -1.382094, -1.69, 1.527637, 0.781097, -0.174533]",61.36,-10.03,-73.58,-69.77,-81.56,93.88,-18.59,-71.65,-49.72,52.17,-123.72,-8.73,-50.51,-79.19,-96.83,87.53,44.75,-10.0
abstract/comma_mpeg7-03,abstract,targets/abstract/comma_mpeg7-03.png,0.7276,0.6776,0.025,0.6431,10,4,3,0.2,122.8,abstract/comma_mpeg7-03/comma_mpeg7-03_best.png,"[1.070997, -1.23014, -0.927012, 0.482999, 2.812564, 1.284471, -1.889131, 0.637263, -0.988012, -1.038281, -1.990712, 0.050083, -0.884105, -1.183579, -0.353832, 0.232439, 1.887084, 1.414274]",61.36,-70.48,-53.11,27.67,161.15,73.59,-108.24,36.51,-56.61,-59.49,-114.06,2.87,-50.66,-67.81,-20.27,13.32,108.12,81.03
objects/cup_mpeg7-02,objects,targets/objects/cup_mpeg7-02.png,0.7271,0.6894,0.0284,0.6518,10,9,3,0.2,87.7,objects/cup_mpeg7-02/cup_mpeg7-02_best.png,"[0.667655, -0.585608, -0.747404, -1.454613, -0.953496, 0.911846, -1.177033, 0.562964, -1.689156, -0.962988, -1.326075, -0.055076, 1.039997, -1.482808, -0.392622, 0.801473, 1.903505, 0.507285]",38.25,-33.55,-42.82,-83.34,-54.63,52.24,-67.44,32.26,-96.78,-55.18,-75.98,-3.16,59.59,-84.96,-22.5,45.92,109.06,29.07
letters_upper/I_dejavuserif-bold,letters_upper,targets/letters_upper/I_dejavuserif-bold.png,0.7269,0.7062,0.0163,0.6789,10,6,3,0.2,123.0,letters_upper/I_dejavuserif-bold/I_dejavuserif-bold_best.png,"[1.201972, -1.657932, -0.114459, 0.416118, 2.84121, 0.016232, 0.836584, -0.807171, -1.132218, 0.654193, 2.564378, 0.854868, 0.678613, -1.421532, -0.118646, 0.380211, 0.063134, 0.72554]",68.87,-94.99,-6.56,23.84,162.79,0.93,47.93,-46.25,-64.87,37.48,146.93,48.98,38.88,-81.45,-6.8,21.78,3.62,41.57
objects/bottle_mpeg7-01,objects,targets/objects/bottle_mpeg7-01.png,0.7259,0.6817,0.0307,0.6315,10,9,3,0.2,85.3,objects/bottle_mpeg7-01/bottle_mpeg7-01_best.png,"[1.215975, -1.74533, -0.047531, -0.015862, -2.713521, 1.728273, 1.894048, 0.018882, -0.445461, -0.938786, 0.028069, 1.117887, 1.673829, 0.899591, -1.383562, -1.312628, 0.023813, 0.568267]",69.67,-100.0,-2.72,-0.91,-155.47,99.02,108.52,1.08,-25.52,-53.79,1.61,64.05,95.9,51.54,-79.27,-75.21,1.36,32.56
abstract/device5_mpeg7-02,abstract,targets/abstract/device5_mpeg7-02.png,0.7241,0.6533,0.0334,0.5998,10,8,3,0.2,121.5,abstract/device5_mpeg7-02/device5_mpeg7-02_best.png,"[1.023115, -0.754728, -1.448381, -1.381904, -1.810449, 0.107104, -0.870082, -0.890921, -0.266356, 1.289146, -2.198942, -0.156948, -1.898287, 0.189681, -1.251465, 0.02125, -0.17668, 1.034609]",58.62,-43.24,-82.99,-79.18,-103.73,6.14,-49.85,-51.05,-15.26,73.86,-125.99,-8.99,-108.76,10.87,-71.7,1.22,-10.12,59.28
abstract/device8_mpeg7-03,abstract,targets/abstract/device8_mpeg7-03.png,0.7239,0.6749,0.0249,0.6465,10,7,3,0.2,123.6,abstract/device8_mpeg7-03/device8_mpeg7-03_best.png,"[1.013716, -0.820381, -1.383571, -0.515379, 2.164848, -0.173109, -0.995, -0.786745, -0.841672, -0.505292, -1.821723, 1.520917, -0.631833, -0.390187, -1.219957, 0.99965, -2.339994, 0.82473]",58.08,-47.0,-79.27,-29.53,124.04,-9.92,-57.01,-45.08,-48.22,-28.95,-104.38,87.14,-36.2,-22.36,-69.9,57.28,-134.07,47.25
digits/0_dejavusans-bold,digits,targets/digits/0_dejavusans-bold.png,0.7235,0.6846,0.0392,0.573,10,3,3,0.2,122.9,digits/0_dejavusans-bold/0_dejavusans-bold_best.png,"[-1.91986, 0.619879, -1.001514, -0.995665, 0.770308, 1.735319, 0.392129, -0.20836, -1.364089, -0.976558, 1.692623, 0.646736, 0.461978, 0.279607, -1.69, -0.77245, 0.75966, 0.563238]",-110.0,35.52,-57.38,-57.05,44.14,99.43,22.47,-11.94,-78.16,-55.95,96.98,37.06,26.47,16.02,-96.83,-44.26,43.53,32.27
