frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
13,f12.png,0.7067,0.2949,49290,0,35.0,62.53,-73.17,-57.59,95.0,-33.93,-10.0,-2.55,-61.22,37.17,-30.26,-31.46,99.96,-47.61,-76.19,-94.01,22.76,108.73,34.17,102.68,-100.0,-31.59,10.04,-8.28,26.69,98.21,-46.73,-96.8,94.85,-43.14,7.62
14,f13.png,0.7021,0.2995,49674,0,35.3,61.99,-71.49,-61.11,95.0,-34.54,-10.0,-2.8,-60.73,35.92,-32.23,-31.25,99.85,-48.3,-76.42,-94.96,22.0,108.46,35.97,101.63,-100.0,-32.18,9.84,-8.28,26.72,92.59,-55.59,-96.53,94.91,-59.99,8.52
15,f14.png,0.698,0.3037,51978,0,37.0,61.74,-71.83,-62.03,95.0,-33.59,-10.0,-1.97,-63.2,35.44,-25.2,-29.43,99.29,-47.2,-75.73,-96.83,24.83,108.64,36.39,101.4,-99.29,-31.45,10.19,-8.17,26.71,92.33,-56.44,-96.83,94.95,-63.28,6.96
16,f15.png,0.7022,0.2995,48522,0,34.5,61.34,-71.34,-61.08,95.0,-34.08,-10.0,-1.58,-63.22,35.52,-26.32,-29.43,99.74,-47.23,-75.9,-96.61,24.9,108.67,36.38,101.62,-98.62,-30.99,10.36,-8.17,26.71,87.05,-63.03,-95.5,95.0,-65.58,8.36
17,f16.png,0.7024,0.2993,49482,0,35.0,61.33,-71.34,-61.06,95.0,-34.37,-10.0,-1.55,-63.21,35.54,-26.38,-29.44,99.77,-47.16,-75.91,-96.58,24.88,108.66,36.38,101.96,-100.0,-28.22,10.39,-26.24,24.26,87.05,-63.1,-95.5,95.0,-65.58,8.36
18,f17.png,0.7027,0.299,50442,0,35.7,61.33,-71.34,-61.06,95.0,-34.37,-10.0,-1.55,-63.21,35.54,-26.38,-29.44,99.77,-47.16,-75.91,-96.58,24.88,108.66,36.38,101.96,-100.0,-28.22,10.39,-26.24,24.26,87.05,-63.1,-95.5,95.0,-65.58,8.36
19,f18.png,0.7217,0.2797,49482,0,35.1,61.61,-75.39,-51.26,95.0,-38.13,-10.0,-2.69,-63.37,40.17,-27.11,-27.76,100.0,-48.78,-75.93,-95.08,26.17,112.29,34.32,102.46,-100.0,-31.49,9.74,-43.56,26.14,86.65,-63.23,-95.52,95.0,-65.58,8.36
20,f19.png,0.7496,0.2515,50634,0,36.1,63.85,-78.38,-40.97,95.0,-35.61,-6.16,-1.8,-59.67,46.49,-29.57,-36.48,100.0,-52.05,-75.12,-92.28,28.07,119.08,34.2,106.85,-100.0,-31.57,2.2,-64.44,26.7,89.92,-70.86,-96.46,94.86,-64.4,7.57
21,f20.png,0.7824,0.2184,43699,0,30.7,65.84,-79.41,-32.07,95.0,-30.43,-2.0,5.64,-54.95,49.78,-29.45,-40.84,100.0,-57.13,-72.08,-96.15,28.83,123.12,34.8,110.0,-99.84,-34.18,1.01,-76.9,25.78,100.01,-63.04,-92.32,93.91,-51.19,6.41
22,f21.png,0.7848,0.216,40659,0,28.5,65.71,-79.28,-31.96,95.0,-30.35,-2.04,9.8,-51.58,48.46,-32.56,-40.75,100.0,-56.79,-72.55,-94.97,29.91,123.64,34.63,110.0,-100.0,-34.3,1.73,-77.52,26.2,104.83,-59.47,-90.31,94.92,-50.09,5.0
23,f22.png,0.785,0.2158,40043,0,28.2,65.71,-79.28,-31.96,95.0,-30.35,-2.04,9.8,-51.58,48.46,-32.56,-40.75,100.0,-56.79,-72.55,-94.97,29.91,123.64,34.63,110.0,-100.0,-34.3,1.73,-77.52,26.2,105.25,-59.42,-90.66,94.9,-49.6,4.65
24,f23.png,0.7817,0.2192,40659,0,28.7,65.12,-79.18,-32.12,94.99,-30.29,-2.08,9.97,-52.42,47.59,-32.77,-40.77,100.0,-56.05,-72.87,-95.1,30.13,121.05,34.65,110.0,-100.0,-34.34,2.17,-77.35,25.85,105.24,-59.48,-90.66,94.91,-49.6,4.65
25,f24.png,0.7571,0.244,48138,0,34.0,63.37,-79.72,-36.11,95.0,-40.81,-1.46,7.88,-54.3,43.44,-33.28,-48.91,100.0,-52.37,-72.19,-96.79,28.3,116.05,32.53,107.04,-96.92,-39.21,7.03,-57.99,26.8,99.08,-61.36,-89.39,95.0,-45.79,4.42
26,f25.png,0.7231,0.2782,50826,0,36.2,59.13,-76.89,-39.23,95.0,-69.49,0.36,-1.77,-59.88,38.63,-31.67,-42.76,99.98,-49.94,-75.32,-96.22,25.05,111.74,32.66,103.69,-100.0,-35.38,14.05,-35.98,24.18,90.0,-65.61,-90.8,94.94,-49.78,3.97
27,f26.png,0.7001,0.3014,47754,0,33.8,54.23,-77.14,-35.18,95.0,-83.55,1.86,-4.62,-63.73,36.87,-24.98,-33.04,99.05,-49.18,-74.67,-96.83,19.47,104.25,32.3,101.09,-99.73,-35.93,12.8,-25.77,23.83,86.6,-66.82,-92.0,94.67,-49.73,3.37
28,f27.png,0.6987,0.3028,56586,0,40.7,54.23,-77.14,-35.18,95.0,-83.55,1.86,-4.62,-63.73,36.87,-24.98,-33.04,99.05,-47.96,-75.53,-95.42,20.96,104.8,31.91,101.63,-98.53,-33.94,12.26,-17.88,23.97,86.6,-66.82,-92.0,94.67,-49.73,3.37
29,f28.png,0.6988,0.3027,53706,0,38.4,54.23,-77.14,-35.18,95.0,-83.55,1.86,-4.01,-64.56,36.64,-22.09,-35.45,99.98,-47.96,-75.53,-95.42,20.96,104.8,31.91,101.58,-98.51,-34.03,12.16,-17.66,24.07,86.6,-66.82,-92.0,94.67,-49.73,3.37
30,f29.png,0.7185,0.2829,47562,0,33.7,55.67,-78.02,-34.36,95.0,-83.56,1.93,-2.67,-63.66,38.95,-22.14,-34.91,99.89,-49.36,-75.96,-94.44,22.54,112.54,31.79,102.22,-98.32,-34.24,5.48,-24.98,23.77,85.72,-66.75,-92.72,94.95,-50.41,3.72
31,f30.png,0.7517,0.2493,51978,0,37.3,63.1,-78.94,-34.73,94.72,-56.4,9.77,5.78,-58.23,45.24,-25.4,-42.0,100.0,-53.32,-72.8,-96.83,29.98,114.1,31.86,106.74,-93.35,-39.74,-5.53,-62.81,24.67,88.22,-68.96,-93.85,94.98,-49.71,3.89
32,f31.png,0.7845,0.2162,43699,0,30.9,65.5,-79.47,-29.4,95.0,-40.45,9.74,6.47,-55.25,49.99,-25.75,-42.39,99.99,-56.72,-72.15,-95.39,29.9,119.59,33.28,110.0,-100.0,-33.25,-0.59,-76.99,26.14,100.78,-65.05,-90.49,91.63,-34.2,1.92
