condition,budget,n_robots,id,subset,best_iou,best_iou_vs_original,mean_iou,mean_iou_vs_original,std_iou,min_iou,n_runs,seconds
big-n7,big,7,letters_lower_r_dejavusans-bold,letters_lower,0.898,0.898,0.8837,0.8837,0.0144,0.8647,5,311.6
big-n7,big,7,letters_upper_I_dejavusans-bold,letters_upper,0.8609,0.8609,0.7844,0.7844,0.0411,0.744,5,312.5
big-n7,big,7,letters_upper_J_dejavusans-bold,letters_upper,0.8019,0.8019,0.7321,0.7321,0.0498,0.6754,5,309.0
big-n7,big,7,letters_upper_L_dejavusans-bold,letters_upper,0.9259,0.9259,0.8977,0.8977,0.0202,0.8717,5,312.2
big-n7,big,7,letters_upper_V_dejavusans-bold,letters_upper,0.8684,0.8684,0.834,0.834,0.0245,0.8085,5,311.5
small-n1,small,1,letters_lower_r_dejavusans-bold,letters_lower,0.6305,0.6305,0.5557,0.5557,0.0393,0.5172,5,27.8
small-n1,small,1,letters_upper_I_dejavusans-bold,letters_upper,0.7465,0.7465,0.6874,0.6874,0.0419,0.625,5,28.4
small-n1,small,1,letters_upper_J_dejavusans-bold,letters_upper,0.7658,0.7658,0.7374,0.7374,0.0236,0.7032,5,27.7
small-n1,small,1,letters_upper_L_dejavusans-bold,letters_upper,0.5976,0.5976,0.5633,0.5633,0.0218,0.5376,5,27.7
small-n1,small,1,letters_upper_V_dejavusans-bold,letters_upper,0.4394,0.4394,0.4128,0.4128,0.0199,0.3832,5,27.2
small-n2,small,2,letters_lower_r_dejavusans-bold,letters_lower,0.8097,0.8097,0.7804,0.7804,0.0225,0.7472,5,61.5
small-n2,small,2,letters_upper_I_dejavusans-bold,letters_upper,0.7939,0.7939,0.783,0.783,0.0098,0.7665,5,62.0
small-n2,small,2,letters_upper_J_dejavusans-bold,letters_upper,0.8054,0.8054,0.7781,0.7781,0.028,0.7361,5,61.1
small-n2,small,2,letters_upper_L_dejavusans-bold,letters_upper,0.7767,0.7767,0.766,0.766,0.0083,0.7531,5,61.2
small-n2,small,2,letters_upper_V_dejavusans-bold,letters_upper,0.7499,0.7499,0.7094,0.7094,0.034,0.6512,5,61.8
small-n3,small,3,letters_lower_r_dejavusans-bold,letters_lower,0.8518,0.8518,0.828,0.828,0.017,0.8001,5,90.8
small-n3,small,3,letters_upper_I_dejavusans-bold,letters_upper,0.8224,0.8224,0.8047,0.8047,0.0158,0.7846,5,90.5
small-n3,small,3,letters_upper_J_dejavusans-bold,letters_upper,0.8496,0.8496,0.7543,0.7543,0.0506,0.6992,5,88.5
small-n3,small,3,letters_upper_L_dejavusans-bold,letters_upper,0.8673,0.8673,0.8195,0.8195,0.0425,0.7654,5,91.5
small-n3,small,3,letters_upper_V_dejavusans-bold,letters_upper,0.802,0.802,0.7682,0.7682,0.0293,0.7145,5,92.0
small-n5,small,5,letters_lower_r_dejavusans-bold,letters_lower,0.8731,0.8731,0.8642,0.8642,0.0046,0.8599,5,140.6
small-n5,small,5,letters_upper_I_dejavusans-bold,letters_upper,0.8617,0.8617,0.7981,0.7981,0.0338,0.7681,5,141.3
small-n5,small,5,letters_upper_J_dejavusans-bold,letters_upper,0.8244,0.8244,0.7437,0.7437,0.0606,0.6531,5,140.8
small-n5,small,5,letters_upper_L_dejavusans-bold,letters_upper,0.9119,0.9119,0.8463,0.8463,0.0472,0.7814,5,140.9
small-n5,small,5,letters_upper_V_dejavusans-bold,letters_upper,0.8362,0.8362,0.7937,0.7937,0.0283,0.7655,5,140.6
small-n7,small,7,letters_lower_r_dejavusans-bold,letters_lower,0.8759,0.8759,0.8631,0.8631,0.0088,0.8542,5,218.6
small-n7,small,7,letters_upper_I_dejavusans-bold,letters_upper,0.8367,0.8367,0.7742,0.7742,0.046,0.7213,5,219.6
small-n7,small,7,letters_upper_J_dejavusans-bold,letters_upper,0.737,0.737,0.6857,0.6857,0.0529,0.5857,5,218.9
small-n7,small,7,letters_upper_L_dejavusans-bold,letters_upper,0.9233,0.9233,0.8743,0.8743,0.0499,0.7853,5,218.7
small-n7,small,7,letters_upper_V_dejavusans-bold,letters_upper,0.8085,0.8085,0.7772,0.7772,0.0205,0.7445,5,218.8
