sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,10,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_11_20260903_010521/best_shadow.png,0.2884,0.0,0.0,0.0,0.0,0.21452,0.3655,0.0,4.8754,1.5719,0,-1,1,0.01097,0.0,0,2,,2,0.259,0.65,1.0263,0.5789,10->11,7.48,12.58,0,0.8365,0.4646,-0.3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,11,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_12_20260903_010521/best_shadow.png,0.2957,0.0,0.0,0.0,0.0,0.22038,0.3701,0.0,2.9407,1.0799,0,0,0,0.00468,0.0,0,2,,2,0.3177,0.6875,1.0278,0.4949,11->12,3.61,5.7,0,0.9805,0.7212,-0.2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,frame,12,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/pixar_scene_01_lamp_stab/frame_13_20260903_010521/best_shadow.png,0.2893,0.0,0.0,0.0,0.0,0.22002,0.36977,0.0,2.6917,1.0217,0,0,0,0.00392,0.00781,0,2,,2,0.3727,0.625,1.0571,0.6914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,original,13,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.281,0.2503,0.3337,0.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2198,0.2074,0.2277,0.0053,0.3722,0.3655,0.387,0.0052,0.0,0.0,0.0,0.0,3.8129,2.6917,4.8754,0.7632,2.0369,0.8233,4.6098,1.0498,-0.0769,-1.0,0.0,0.2665,-0.5385,-2.0,0.0,0.7458,0.6154,0.0,2.0,0.8356,0.0114,0.0039,0.0172,0.004,0.0043,0.0,0.0156,0.0059,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.2914,0.2337,0.3727,0.0401,0.775,0.5217,1.0,0.1519,1.0559,0.975,1.2353,0.0638,0.4119,0.0541,0.9167,0.2628,11.7125,1.55,28.35,7.8612,15.745,1.72,36.41,9.9497,0.9085,0.8365,1.0,0.0532,0.5163,0.3557,0.7899,0.1449,-0.3922,-0.5128,-0.2101,0.0979,0.0,68.75,1.6,-24.69,41.14,0.00915,True,3,1.0,0,188.94,"[13.06, 20.61, 9.36, 18.61, 17.61, 11.5, 3.35, 5.46, 1.55, 28.35, 7.48, 3.61]",,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,0,,0.2674,0.2818,0.4397,0.2101,0.332,0.03143,0.15165,0.3478,2.8735,0.8624,0,0,0,0.01715,0.0,2,2,0.0973,0,0.2802,0.8148,1.2353,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,1,,0.2781,0.2726,0.4284,0.1036,0.1853,0.03122,0.11059,0.5545,3.8115,0.9814,0,0,0,0.00775,0.0,2,2,0.067,0,0.2478,0.5429,0.975,0.7961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,2,,0.2574,0.2537,0.4047,0.1846,0.3394,0.02905,0.14571,0.3784,4.9431,2.4261,0,0,0,0.01957,0.0,2,2,0.0721,0,0.2415,0.8788,1.0256,0.1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,3,,0.2635,0.2757,0.4323,0.1845,0.3245,0.02722,0.12622,0.5372,3.4112,2.1083,0,-1,1,0.01876,0.01562,1,2,0.0552,1,0.29,1.0,1.1429,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,4,,0.2503,0.2489,0.3986,0.1117,0.1815,0.03034,0.11186,0.5185,4.8376,1.454,0,0,0,0.01639,0.0,2,2,0.0713,0,0.2215,0.5135,1.0,0.9474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,5,,0.2912,0.2719,0.4276,0.1773,0.2816,0.02864,0.13304,0.3137,4.7527,4.6075,0,0,0,0.0141,0.01016,2,2,0.0824,0,0.2731,0.8182,1.0513,0.2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,6,,0.2596,0.2483,0.3978,0.1805,0.3012,0.02804,0.12286,0.3696,3.7852,2.2664,-1,-1,2,0.014,0.00781,1,2,0.0644,1,0.2885,0.7931,1.0513,0.3255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,7,,0.279,0.2721,0.4278,0.2048,0.3372,0.02726,0.11873,0.3825,4.0295,1.8777,0,0,0,0.01168,0.0,2,2,0.0686,0,0.3343,0.9,1.0256,0.1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,8,,0.2992,0.2986,0.4599,0.2274,0.3806,0.02588,0.12163,0.4587,3.3609,3.1106,0,-1,1,0.02345,0.01719,1,2,0.0456,1,0.3202,0.9643,1.0541,0.0931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,9,,0.3337,0.3357,0.5026,0.2141,0.3893,0.02639,0.12163,0.5102,3.075,3.1904,0,0,0,0.01956,0.0,0,2,,2,0.3533,0.8571,1.0541,0.2297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,10,,0.2884,0.2689,0.4239,0.1858,0.272,0.02696,0.10433,0.3958,5.1154,1.5843,0,0,0,0.01176,0.0,2,2,0.0645,0,0.2566,0.625,1.0263,0.6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,11,,0.2957,0.2944,0.4549,0.1816,0.3333,0.02709,0.10205,0.5,3.1666,1.0599,0,0,0,0.00311,0.0,2,2,0.0599,0,0.3191,0.6538,1.0278,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,frame,12,,0.2893,0.275,0.4313,0.1659,0.2919,0.02817,0.10155,0.5733,2.6391,1.0739,0,0,0,0.00468,0.00781,2,2,0.0633,0,0.3602,0.5769,1.0571,0.8324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pixar_scene_01_lamp_stab,optimizer,shown,13,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.281,0.2503,0.3337,0.0215,0.2767,0.2483,0.3357,0.0224,0.433,0.3978,0.5026,0.027,0.1794,0.1036,0.2274,0.0348,0.3038,0.1815,0.3893,0.061,0.0283,0.0259,0.0314,0.0017,0.1209,0.1016,0.1517,0.015,0.4492,0.3137,0.5733,0.0845,3.8309,2.6391,5.1154,0.8104,2.0464,0.8624,4.6075,1.0468,-0.0769,-1.0,0.0,0.2665,-0.2308,-1.0,0.0,0.4213,0.3077,0.0,2.0,0.6057,0.014,0.0031,0.0234,0.0058,0.0045,0.0,0.0172,0.0062,1.6154,0.0,2.0,0.6249,2.0,2.0,2.0,0.0,0.3846,0.0,2.0,0.6249,0.2913,0.2215,0.3602,0.042,0.7645,0.5135,1.0,0.157,1.0559,0.975,1.2353,0.0638,0.4376,0.0931,0.9474,0.2851,,,,,,,,,,,,,,,,,,,,,,,1.6,-24.69,41.14,0.00915,True,3,,,,,0.0676,0.0456,0.0973,0.0125
