sample_id,subset,stem,source,ref,class,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,t_area_frac,t_aspect_ratio,t_solidity,t_compactness,t_convexity_defect_depth_rel,t_min_stroke_width_rel,t_median_stroke_width_rel,t_stroke_width_ratio,t_thin_mass_frac,t_elongation,t_skel_len_rel,t_neck_width_rel,t_closed_region,t_n_components,t_n_holes,t_n_holes_signif,t_euler_number,t_hole_area_frac,t_hole_area_frac_max,t_n_limbs,t_n_junctions,t_n_concave_extrema,t_sym_h,t_sym_v,t_contour_hf_energy,t_ph_h0_total,t_ph_n_parts_robust,t_ph_holes_total_size,t_ph_hole_max_size,t_ph_n_holes_robust,t_ph_n_pockets_robust,t_ph_pocket_max_mouth,t_ph_entropy,s_area_frac,s_aspect_ratio,s_solidity,s_compactness,s_convexity_defect_depth_rel,s_min_stroke_width_rel,s_median_stroke_width_rel,s_stroke_width_ratio,s_thin_mass_frac,s_elongation,s_skel_len_rel,s_neck_width_rel,s_closed_region,s_n_components,s_n_holes,s_n_holes_signif,s_euler_number,s_hole_area_frac,s_hole_area_frac_max,s_n_limbs,s_n_junctions,s_n_concave_extrema,s_sym_h,s_sym_v,s_contour_hf_energy,s_ph_h0_total,s_ph_n_parts_robust,s_ph_holes_total_size,s_ph_hole_max_size,s_ph_n_holes_robust,s_ph_n_pockets_robust,s_ph_pocket_max_mouth,s_ph_entropy,d_area_frac,d_aspect_ratio,d_solidity,d_compactness,d_convexity_defect_depth_rel,d_min_stroke_width_rel,d_median_stroke_width_rel,d_stroke_width_ratio,d_thin_mass_frac,d_elongation,d_skel_len_rel,d_neck_width_rel,d_closed_region,d_n_components,d_n_holes,d_n_holes_signif,d_euler_number,d_hole_area_frac,d_hole_area_frac_max,d_n_limbs,d_n_junctions,d_n_concave_extrema,d_sym_h,d_sym_v,d_contour_hf_energy,d_ph_h0_total,d_ph_n_parts_robust,d_ph_holes_total_size,d_ph_hole_max_size,d_ph_n_holes_robust,d_ph_n_pockets_robust,d_ph_pocket_max_mouth,d_ph_entropy
letters_lower_o_dejavusans-bold,letters_lower,o_dejavusans-bold,teleop,original,o,0.2433,0.3913,0.0879,0.2181,0.04011,0.15521,0.4834,12.8057,0.6284,0,0,0,0.12644,0.06999,0,0,,0,0.3369,1.0588,0.8205,0.2251,0.2947,0.9438,0.783,1.406,0.0047,0.0994,0.128,0.7226,0.4519,8.198,1.05,0.0884,True,1,1,1,0,0.291,0.291,0,0,1,0.8974,0.9301,0.6649,0.054,1,0.0983,0.0983,1,0,0.0,1.3061,0.1055,0.8535,0.52,3.826,0.0585,0.011,0.0397,0.3127,0.9149,30.304,1.204,0.0221,True,2,3,1,-1,0.7986,0.7969,0,0,5,0.2867,0.3585,0.3608,0.1248,3,0.0884,0.0773,1,9,0.0751,2.4535,-0.1892,-0.0903,-0.263,2.42,0.0538,-0.0884,-0.0883,-0.4099,0.463,22.106,0.154,-0.0663,0,1.0,2.0,0.0,-1.0,0.5076,0.5059,0.0,0.0,4.0,-0.6107,-0.5716,-0.3041,0.0708,2.0,-0.0099,-0.021,0.0,9.0,0.0751,1.1474
letters_lower_q_dejavusansmono-bold,letters_lower,q_dejavusansmono-bold,teleop,original,q,0.2125,0.3506,0.1319,0.1492,0.0354,0.09046,0.2939,1.1841,0.3182,0,1,1,0.03799,0.08083,1,2,0.3565,1,0.199,0.6275,0.3394,0.459,0.2386,0.6238,0.743,2.308,0.1455,0.0552,0.1083,0.5594,0.5838,10.51,1.138,0.0442,True,1,1,1,0,0.2497,0.2497,1,1,4,0.479,0.5384,0.2089,0.042,1,0.0718,0.0718,1,0,0.0,1.0859,0.1559,0.3333,0.783,3.099,0.1048,0.0221,0.0663,0.3,0.7242,18.75,1.243,0.0331,True,1,3,2,-2,0.0661,0.0583,2,4,1,0.4124,0.5589,0.1834,0.0353,0,0.0442,0.0276,2,1,0.0276,2.0602,-0.0827,-0.2905,0.04,0.791,-0.0407,-0.0331,-0.042,-0.2594,0.1404,8.24,0.105,-0.0111,0,0.0,2.0,1.0,-2.0,-0.1836,-0.1914,1.0,3.0,-3.0,-0.0666,0.0205,-0.0255,-0.0067,-1.0,-0.0276,-0.0442,1.0,1.0,0.0276,0.9743
letters_lower_r_dejavusans-bold,letters_lower,r_dejavusans-bold,teleop,original,r,0.3678,0.5378,0.0885,0.1558,0.04137,0.125,0.593,1.0547,0.3288,0,1,1,0.04218,0.02344,2,3,0.1262,1,0.306,0.7255,0.5046,0.3045,0.2602,0.7228,0.737,2.513,0.1592,0.063,0.1768,0.467,0.4075,4.219,0.746,0.0663,True,1,0,0,1,0.0,0.0,2,0,6,0.3655,0.4485,0.1584,0.0287,1,0.0,0.0,0,0,0.0,0.0,0.1568,0.4929,0.604,4.238,0.1505,0.0221,0.0773,0.2688,0.6921,14.714,1.138,0.011,True,1,1,1,0,0.0051,0.0051,3,3,3,0.4722,0.3195,0.1897,0.0475,1,0.0055,0.0055,0,2,0.0475,1.854,-0.1034,-0.2299,-0.133,1.725,-0.0087,-0.0409,-0.0995,-0.1982,0.2846,10.495,0.392,-0.0553,0,0.0,1.0,1.0,-1.0,0.0051,0.0051,1.0,3.0,-3.0,0.1067,-0.129,0.0313,0.0188,0.0,0.0055,0.0055,0.0,2.0,0.0475,1.854
letters_lower_t_dejavuserif-bold,letters_lower,t_dejavuserif-bold,teleop,original,t,0.3997,0.5711,0.129,0.2424,0.03894,0.11739,0.5396,3.1648,0.3743,0,0,0,0.02341,0.00157,4,3,0.1105,1,0.4074,0.6275,0.3519,0.4392,0.1925,0.5533,0.6242,3.546,0.1518,0.0442,0.1126,0.3231,0.5428,8.343,0.939,0.0331,True,1,0,0,1,0.0,0.0,4,1,7,0.5825,0.6401,0.2062,0.0066,0,0.0,0.0,0,0,0.0,0.0,0.0937,0.3425,0.6039,4.54,0.0708,0.0221,0.0663,0.3138,0.828,12.25,0.812,0.011,True,1,0,0,1,0.0,0.0,3,1,3,0.5647,0.5381,0.1882,0.0265,0,0.0,0.0,0,0,0.0199,1.4879,-0.0988,-0.2108,-0.0203,0.994,-0.081,-0.0221,-0.0463,-0.0093,0.2852,3.907,-0.127,-0.0221,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-4.0,-0.0178,-0.102,-0.018,0.0199,0.0,0.0,0.0,0.0,0.0,0.0199,1.4879
letters_lower_u_dejavusansmono-bold,letters_lower,u_dejavusansmono-bold,teleop,original,u,0.1929,0.3234,0.1158,0.2372,0.0401,0.13822,0.3215,3.9809,1.2155,0,1,1,0.08186,0.03818,2,3,0.1173,1,0.3421,0.7895,0.5963,0.2446,0.2993,0.7872,0.7236,3.859,0.4143,0.0603,0.1326,0.6253,0.4782,7.667,1.016,0.0331,True,1,0,0,1,0.0,0.0,2,0,5,0.8618,0.6928,0.1834,0.0518,1,0.0,0.0,0,0,0.0,0.5817,0.18,0.5926,0.5472,7.499,0.4579,0.011,0.0663,0.2503,0.7855,23.583,1.563,0.0221,True,1,2,1,-1,0.0085,0.0078,3,3,6,0.3411,0.3284,0.2681,0.0894,3,0.0166,0.011,1,5,0.0884,2.5257,-0.1193,-0.1946,-0.1764,3.64,0.0436,-0.0493,-0.0663,-0.375,0.3073,15.916,0.547,-0.011,0,0.0,2.0,1.0,-2.0,0.0085,0.0078,1.0,3.0,1.0,-0.5207,-0.3644,0.0847,0.0376,2.0,0.0166,0.011,1.0,5.0,0.0884,1.944
letters_lower_w_dejavusansmono-bold,letters_lower,w_dejavusansmono-bold,teleop,original,w,0.3303,0.4965,0.093,0.1809,0.04059,0.1896,0.5984,1.8012,1.5341,0,3,3,0.11372,0.0578,2,1,0.2429,1,0.4477,1.1087,0.9722,0.1231,0.3129,0.901,0.6611,6.507,0.3867,0.0706,0.0994,0.6591,0.6106,14.889,1.481,0.0663,True,1,0,0,1,0.0,0.0,2,0,1,0.9922,0.3895,0.2163,0.1406,2,0.0,0.0,0,0,0.0,2.9997,0.1626,0.9405,0.7217,4.419,0.1553,0.0168,0.0552,0.2,0.6796,24.515,1.353,0.0663,True,3,3,3,0,0.021,0.0075,1,5,1,0.5214,0.5452,0.341,0.0729,3,0.0298,0.011,2,3,0.0408,2.4287,-0.1503,0.0395,0.0606,-2.088,-0.2314,-0.0538,-0.0442,-0.4591,0.069,9.626,-0.128,0.0,0,2.0,3.0,3.0,-1.0,0.021,0.0075,-1.0,5.0,0.0,-0.4708,0.1557,0.1247,-0.0677,1.0,0.0298,0.011,2.0,3.0,0.0408,-0.571
letters_upper_A_dejavuserif-bold,letters_upper,A_dejavuserif-bold,teleop,original,A,0.2502,0.4002,0.0931,0.183,0.04397,0.19093,0.3347,2.577,2.4375,0,0,0,0.08135,0.06428,3,2,0.0955,1,0.3275,1.0851,0.4483,0.5869,0.2174,0.9208,0.6278,4.117,0.1492,0.0442,0.0552,0.3393,0.6687,26.116,1.442,0.0331,True,1,1,1,0,0.1423,0.1423,3,3,6,0.3346,0.212,0.217,0.0451,0,0.053,0.053,1,1,0.0829,1.8218,0.1925,0.4007,0.6665,5.917,0.3335,0.0224,0.064,0.3848,0.82,24.509,1.569,0.0442,True,1,2,1,-1,0.0828,0.0821,2,2,9,0.4697,0.3907,0.2248,0.0872,3,0.0419,0.0364,1,10,0.0464,2.181,-0.0249,-0.5201,0.0387,1.8,0.1843,-0.0218,0.0088,0.0455,0.1513,-1.607,0.127,0.0111,0,0.0,1.0,0.0,-1.0,-0.0595,-0.0602,-1.0,-1.0,3.0,0.1351,0.1787,0.0078,0.0421,3.0,-0.0111,-0.0166,0.0,9.0,-0.0365,0.3592
letters_upper_B_dejavusans-bold,letters_upper,B_dejavusans-bold,teleop,original,B,0.2762,0.4329,0.1228,0.2105,0.04028,0.16282,0.5028,5.1667,0.927,0,0,0,0.07274,0.08771,0,0,,0,0.2537,0.8265,0.5962,0.2787,0.3675,0.8247,0.8273,1.604,0.0835,0.097,0.1126,0.6923,0.4614,13.742,1.547,0.0773,True,1,2,2,-1,0.2006,0.1164,0,2,2,0.7745,0.8658,0.2567,0.054,2,0.1326,0.0718,2,0,0.0,1.3933,0.1615,0.3878,0.6828,2.845,0.0905,0.0289,0.0663,0.3492,0.7532,21.25,1.409,0.0221,True,1,2,2,-1,0.2218,0.1402,0,2,7,0.2273,0.2952,0.1766,0.0509,1,0.0751,0.0419,2,1,0.032,1.9139,-0.206,-0.4369,-0.1445,1.241,0.007,-0.0681,-0.0463,-0.3431,0.2918,7.508,-0.138,-0.0552,0,0.0,0.0,0.0,0.0,0.0212,0.0238,0.0,0.0,5.0,-0.5472,-0.5706,-0.0801,-0.0031,-1.0,-0.0575,-0.0299,0.0,1.0,0.032,0.5206
letters_upper_H_dejavuserif-bold,letters_upper,H_dejavuserif-bold,teleop,original,H,0.2017,0.3357,0.1055,0.1986,0.04487,0.17246,0.3211,7.6792,4.193,0,2,2,0.05038,0.10781,8,4,0.1184,4,0.0714,1.1646,0.4722,0.5945,0.241,0.8571,0.5564,7.181,0.2099,0.0331,0.0773,0.3,0.6475,22.643,1.751,0.0442,True,1,0,0,1,0.0,0.0,8,6,8,0.8531,0.7869,0.3229,0.0375,1,0.0,0.0,0,2,0.0331,0.0,0.1575,0.4639,0.6248,5.067,0.2019,0.011,0.0485,0.125,0.6351,29.701,1.442,0.011,True,3,3,2,0,0.0271,0.0178,4,4,7,0.4183,0.5487,0.2512,0.0364,2,0.0243,0.011,1,3,0.0895,2.0293,-0.0835,-0.3932,0.0684,-2.114,-0.008,-0.0221,-0.0288,-0.175,-0.0124,7.058,-0.309,-0.0332,0,2.0,3.0,2.0,-1.0,0.0271,0.0178,-4.0,-2.0,-1.0,-0.4348,-0.2382,-0.0717,-0.0011,1.0,0.0243,0.011,1.0,1.0,0.0564,2.0293
letters_upper_L_dejavusans-bold,letters_upper,L_dejavusans-bold,teleop,original,L,0.4103,0.5819,0.0787,0.1192,0.03802,0.10969,0.5759,1.0176,0.1948,0,1,1,0.03976,0.03125,2,1,0.0821,1,0.5053,0.7157,0.6075,0.1512,0.2242,0.7129,0.6821,2.584,0.2189,0.1105,0.1547,0.7143,0.4475,4.536,0.702,,True,1,0,0,1,0.0,0.0,2,0,5,0.301,0.4312,0.1279,0.0,0,0.0,0.0,0,0,0.0,0.0,0.1538,0.4605,0.6176,3.912,0.1907,0.0243,0.0663,0.3999,0.7644,16.25,1.077,0.0442,True,1,2,1,-1,0.0294,0.029,1,1,7,0.1455,0.2425,0.1893,0.0562,3,0.0166,0.011,1,0,0.0055,1.9032,-0.0704,-0.2524,-0.0645,1.328,-0.0282,-0.0862,-0.0884,-0.3144,0.3169,11.714,0.375,,0,0.0,2.0,1.0,-2.0,0.0294,0.029,-1.0,1.0,2.0,-0.1555,-0.1887,0.0614,0.0562,3.0,0.0166,0.011,1.0,0.0,0.0055,1.9032
letters_upper_M_dejavuserif-bold_v2,letters_upper,M_dejavuserif-bold_v2,teleop,original,M,0.3287,0.4948,0.0914,0.1589,0.04261,0.17708,0.5191,5.2097,0.6622,1,0,1,0.10074,0.02925,4,6,0.1088,2,0.2025,1.3699,0.8182,0.4027,0.3013,0.7273,0.693,5.613,0.2486,0.0646,0.0884,0.5,0.5787,16.625,1.469,0.0552,True,1,0,0,1,0.0,0.0,4,2,4,0.7501,0.6787,0.2887,0.0751,1,0.0,0.0,0,2,0.0232,1.157,0.1842,0.8679,0.5578,6.268,0.1793,0.011,0.0773,0.2339,0.6819,16.714,1.293,0.0331,True,2,0,0,2,0.0,0.0,6,2,2,0.2654,0.215,0.189,0.1126,5,0.0,0.0,0,6,0.0939,1.5985,-0.1171,0.1406,-0.1352,0.655,-0.0693,-0.0536,-0.0111,-0.2661,0.1032,0.089,-0.176,-0.0221,0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-2.0,-0.4847,-0.4637,-0.0997,0.0375,4.0,0.0,0.0,0.0,4.0,0.0707,0.4415
