sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
cheer_n5,optimizer_static,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f01/f01_best.png,0.7768,0.7768,0.8744,0.3253,0.5397,0.01439,0.05961,0.8907,2.9936,1.1272,0,0,0,0.05757,0.00781,4,5,0.0566,1,0.5364,0.8596,0.6484,0.2457,1->2,275.27,428.46,1,0.7188,0.6965,-0.0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f02/f02_best.png,0.7547,0.7547,0.8602,0.2826,0.4688,0.01597,0.07164,0.864,1.1006,4.5622,0,0,0,0.04001,0.0,4,6,0.0578,2,0.6867,0.9825,0.7179,0.2692,2->3,209.27,456.38,1,0.6829,0.6885,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f03/f03_best.png,0.8021,0.8021,0.8902,0.386,0.6112,0.01111,0.05039,0.9049,0.8241,1.4719,0,0,0,0.09334,0.01489,4,6,0.0514,2,0.6172,0.9649,0.7953,0.1758,3->4,263.22,503.68,1,0.6827,0.6891,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f04/f04_best.png,0.8184,0.8184,0.9001,0.3599,0.5611,0.01314,0.04972,0.9151,0.7017,0.3752,0,0,0,0.03827,0.02895,3,6,0.0474,3,0.768,0.6724,0.6098,0.0932,4->5,263.22,503.68,1,0.6827,0.6891,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f05/f05_best.png,0.8021,0.8021,0.8902,0.386,0.6112,0.01111,0.05039,0.9049,0.8241,1.4719,0,0,0,0.09334,0.01489,4,6,0.0514,2,0.6172,0.9649,0.7953,0.1758,5->6,209.27,456.38,1,0.6829,0.6885,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f06/f06_best.png,0.7547,0.7547,0.8602,0.2826,0.4688,0.01597,0.07164,0.864,1.1006,4.5622,0,0,0,0.04001,0.0,4,6,0.0578,2,0.6867,0.9825,0.7179,0.2692,6->7,275.27,428.46,1,0.7188,0.6965,-0.0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/cheer_n5/f07/f07_best.png,0.7768,0.7768,0.8744,0.3253,0.5397,0.01439,0.05961,0.8907,2.9936,1.1272,0,0,0,0.05757,0.00781,4,5,0.0566,1,0.5364,0.8596,0.6484,0.2457,wrap,170.14,394.81,1,0.7039,0.7049,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer_static,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.787,0.7547,0.8184,0.0231,0.787,0.7547,0.8184,0.0231,0.8806,0.8602,0.9001,0.0145,0.3296,0.2826,0.386,0.0409,0.5355,0.4688,0.6112,0.0545,0.0139,0.0111,0.016,0.0018,0.0595,0.0497,0.0716,0.0084,0.8892,0.864,0.9151,0.0178,1.3322,0.1191,2.9936,1.0008,1.8822,0.3601,4.5622,1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0623,0.0383,0.0933,0.0218,0.0195,0.0,0.0813,0.0249,3.875,3.0,4.0,0.3307,5.625,5.0,6.0,0.4841,0.0545,0.0474,0.0578,0.0036,1.75,1.0,3.0,0.6614,0.653,0.5364,0.7756,0.0868,0.8494,0.5088,0.9825,0.1619,0.6786,0.4959,0.7953,0.0937,0.1875,0.0254,0.2692,0.0833,229.475,170.14,275.27,42.3225,445.8325,394.81,503.68,39.8832,0.6971,0.6827,0.7188,0.0152,0.6947,0.6885,0.7049,0.0067,-0.0023,-0.0223,0.0064,0.0117,1.0,68.75,0.0,8,3566.66,170.14,0.7039,0.7049,"[170.14, 275.27, 209.27, 263.22, 263.22, 209.27, 275.27]"
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f00/f00_best.png,0.605,0.605,0.7539,0.2193,0.3358,0.01822,0.04972,0.8529,0.5024,0.1293,0,0,0,0.03284,0.02421,2,3,0.0664,1,0.6776,0.4722,0.6279,0.3297,0->1,162.68,316.8,1,0.7505,0.9987,0.2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f01/f01_best.png,0.6422,0.6422,0.7821,0.247,0.4016,0.0154,0.05549,0.8177,1.5022,0.1527,1,0,1,0.04142,0.03672,2,3,0.047,1,0.622,0.4722,0.5376,0.1385,1->2,196.16,367.44,1,0.6475,0.7863,0.1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f02/f02_best.png,0.6356,0.6356,0.7772,0.2302,0.3916,0.01601,0.06326,0.8147,3.8543,0.1417,0,0,0,0.03146,0.04216,2,4,0.0516,2,0.5223,0.4675,0.4,0.1444,2->3,109.02,186.97,1,0.7573,0.812,0.0547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f03/f03_best.png,0.6295,0.6295,0.7726,0.2285,0.3777,0.01797,0.0785,0.8063,2.0257,0.1397,0,0,0,0.02727,0.0,2,4,0.055,2,0.5356,0.4524,0.3739,0.1735,3->4,188.16,377.53,1,0.6723,0.7674,0.0951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f04/f04_best.png,0.6234,0.6234,0.768,0.2149,0.3602,0.01717,0.06077,0.8205,1.1463,0.1665,0,0,0,0.03991,0.03516,3,4,0.0672,1,0.5946,0.4396,0.4828,0.0983,4->5,85.63,188.15,1,0.6648,0.8263,0.1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f05/f05_best.png,0.6063,0.6063,0.7549,0.1853,0.299,0.01989,0.08212,0.8123,1.2884,0.2053,0,0,0,0.03136,0.01014,3,4,0.0622,1,0.6362,0.4479,0.4173,0.0683,5->6,161.9,297.81,1,0.7503,0.7864,0.0361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f06/f06_best.png,0.6315,0.6315,0.7742,0.2507,0.4041,0.01779,0.07167,0.7921,0.1766,0.1232,0,0,0,0.0412,0.01953,3,3,0.0764,0,0.6019,0.4563,0.3594,0.2124,6->7,159.69,283.29,1,0.6933,0.8608,0.1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f07/f07_best.png,0.6847,0.6847,0.8128,0.3266,0.5348,0.01308,0.05524,0.8692,2.7856,0.1252,0,0,0,0.03413,0.01562,3,3,0.0528,0,0.6549,0.4486,0.3906,0.1292,7->8,64.25,130.44,0,0.7926,0.8565,0.0639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f08/f08_best.png,0.6909,0.6909,0.8172,0.315,0.4838,0.0136,0.04972,0.8542,2.6513,0.1112,0,0,0,0.02796,0.0,3,4,0.0444,1,0.5862,0.4727,0.3672,0.2233,8->9,3.07,5.31,0,0.9661,0.9992,0.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_01_I/f09/f09_best.png,0.6947,0.6947,0.8198,0.312,0.4783,0.01345,0.04972,0.8604,2.699,0.1119,0,0,0,0.0309,0.00781,3,4,0.0401,1,0.5901,0.4727,0.3672,0.2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer_static,original,10,0,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6444,0.605,0.6947,0.032,0.6444,0.605,0.6947,0.032,0.7833,0.7539,0.8198,0.0234,0.2529,0.1853,0.3266,0.0459,0.4067,0.299,0.5348,0.0688,0.0163,0.0131,0.0199,0.0022,0.0616,0.0497,0.0821,0.0115,0.83,0.7921,0.8692,0.0252,1.8632,0.1766,3.8543,1.0878,0.1407,0.1112,0.2053,0.0271,0.1,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.3,0.0338,0.0273,0.0414,0.005,0.0191,0.0,0.0422,0.0144,2.6,2.0,3.0,0.4899,3.6,3.0,4.0,0.4899,0.0563,0.0401,0.0764,0.0109,1.0,0.0,2.0,0.6325,0.6021,0.5223,0.6776,0.0461,0.4602,0.4396,0.4727,0.012,0.4324,0.3594,0.6279,0.0849,0.1741,0.0683,0.3297,0.0719,125.6178,3.07,196.16,60.9163,239.3044,5.31,377.53,114.9148,0.7439,0.6475,0.9661,0.0914,0.8548,0.7674,0.9992,0.0825,0.111,0.0331,0.2482,0.0688,0.7778,68.75,0.5556,4,2153.74,,,,"[162.68, 196.16, 109.02, 188.16, 85.63, 161.9, 159.69, 64.25, 3.07]"
demo_01_scene_02_F,optimizer_static,original,21,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_02_F/f00/f00_best.png,0.6478,0.6478,0.7863,0.2305,0.3954,0.01888,0.07622,0.8144,0.4325,0.268,0,0,0,0.05297,0.04215,3,5,0.0813,2,0.6317,0.5545,0.5078,0.0843,0->1,201.82,404.6,1,0.7571,0.8863,0.1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_02_F,optimizer_static,original,21,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/sequences-static/demo_01_scene_02_F/f01/f01_best.png,0.6541,0.6541,0.7909,0.2252,0.3893,0.02153,0.06631,0.9069,0.6324,0.3298,0,0,0,0.04674,0.07504,3,4,0.1016,1,0.6925,0.578,0.4622,0.2003,1->2,254.62,438.69,1,0.7123,0.7967,0.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
