n,id,subset,best_iou,mean_iou,std_iou,best_vs_original,seconds,uncastable_after,fit_scale
2,objects_guitar_mpeg7-03,objects,0.3427,0.326,0.0142,0.1618,17.3,0.01644,1.0231
2,objects_horseshoe_mpeg7-04,objects,0.5634,0.5112,0.0493,0.1011,17.1,0.10785,0.6385
2,objects_spoon_mpeg7-02,objects,0.6562,0.6503,0.0077,0.0,15.4,0.2919,1.0231
2,objects_tree_mpeg7-02,objects,0.7005,0.6853,0.0152,0.2285,16.3,0.18088,0.7346
2,vehicles_chopper_mpeg7-01,vehicles,0.6825,0.6406,0.041,0.1096,15.9,0.285,1.3115
2,vehicles_personal-car_mpeg7-02,vehicles,0.6715,0.6199,0.0449,0.125,12.2,0.30205,1.1192
3,abstract_comma_mpeg7-03,abstract,0.8382,0.7984,0.0518,0.2797,25.6,0.06293,0.8308
3,abstract_device0_mpeg7-01,abstract,0.6584,0.6365,0.0156,0.2729,25.6,0.17651,0.8308
3,abstract_device3_mpeg7-01,abstract,0.8707,0.85,0.0165,0.2971,25.6,0.25118,0.7346
3,abstract_hcircle_mpeg7-03,abstract,0.8811,0.8497,0.0289,0.4008,25.0,0.05348,0.7346
3,abstract_spring_mpeg7-03,abstract,0.3381,0.2956,0.0404,0.0039,25.1,0.39644,0.8308
3,abstract_stef_mpeg7-02,abstract,0.5352,0.5147,0.0162,0.1369,24.7,0.20495,0.8308
3,animals_dog_mpeg7-03,animals,0.3866,0.3793,0.0059,0.0808,24.0,0.26992,1.0231
3,animals_fly_mpeg7-02,animals,0.6544,0.641,0.0182,0.3534,24.0,0.12355,0.8308
3,animals_lizzard_mpeg7-02,animals,0.5652,0.5353,0.0213,0.0948,24.3,0.14509,0.7346
3,animals_octopus_mpeg7-03,animals,0.8475,0.8154,0.0235,0.2847,24.6,0.26942,0.7346
3,animals_ray_mpeg7-01,animals,0.7634,0.7412,0.0214,0.3268,24.5,0.18004,0.9269
3,animals_ray_mpeg7-05,animals,0.7156,0.6901,0.0182,0.24,24.2,0.17851,1.0231
3,animals_sea-snake_mpeg7-01,animals,0.5488,0.487,0.0565,0.1807,25.3,0.20925,1.1192
3,digits_0_dejavusans-bold,digits,0.7949,0.7424,0.0379,0.1993,25.4,0.18084,0.8308
3,digits_4_dejavuserif-bold,digits,0.6677,0.6526,0.016,0.1452,24.8,0.14774,0.7346
3,figures_children_mpeg7-04,figures,0.8208,0.8037,0.0131,0.4198,26.6,0.04771,1.0231
3,figures_face_mpeg7-03,figures,0.8525,0.8318,0.0225,0.3214,26.6,0.16714,0.7346
3,hand_shadow_chicken_hasper-01,hand_shadow,0.7571,0.7282,0.0258,0.1994,26.5,0.02854,0.6385
3,hand_shadow_crab_hasper-01,hand_shadow,0.7055,0.685,0.0206,0.1538,24.9,0.29073,1.1192
3,letters_lower_g_dejavuserif-bold,letters_lower,0.6499,0.6247,0.0333,0.1814,24.8,0.21886,0.7346
3,letters_lower_l_dejavusansmono-bold,letters_lower,0.7415,0.6946,0.039,0.3475,24.7,0.03458,0.9269
3,letters_lower_m_dejavusansmono-bold,letters_lower,0.6552,0.6056,0.0358,0.2805,24.6,0.12358,0.8308
3,letters_lower_r_dejavusans-bold,letters_lower,0.8047,0.7763,0.0202,0.2714,24.6,0.04611,0.7346
3,letters_lower_x_dejavusans-bold,letters_lower,0.7763,0.7375,0.0275,0.2177,24.3,0.17064,0.9269
3,letters_lower_y_dejavuserif-bold,letters_lower,0.5782,0.571,0.0052,0.3304,24.6,0.07995,0.9269
3,letters_upper_A_dejavusansmono-bold,letters_upper,0.7006,0.6816,0.0208,0.1931,24.8,0.21271,0.8308
3,letters_upper_J_dejavusansmono-bold,letters_upper,0.7957,0.7754,0.0246,0.0912,24.3,0.09421,0.9269
3,letters_upper_K_dejavusans-bold,letters_upper,0.7027,0.6558,0.0422,0.204,24.0,0.12287,0.7346
3,letters_upper_K_dejavuserif-bold,letters_upper,0.6165,0.6049,0.0088,0.2014,24.1,0.17462,0.8308
3,letters_upper_M_dejavuserif-bold,letters_upper,0.5621,0.5536,0.0096,0.1123,24.0,0.26391,0.8308
3,letters_upper_T_dejavusans-bold,letters_upper,0.7519,0.7253,0.0291,0.2304,25.0,0.05918,0.7346
3,objects_apple_mpeg7-02,objects,0.8944,0.824,0.051,0.3202,24.7,0.29338,0.7346
3,objects_apple_mpeg7-03,objects,0.8327,0.8156,0.0174,0.2956,24.7,0.31596,0.7346
3,objects_bottle_mpeg7-02,objects,0.8631,0.8275,0.0307,0.6114,24.8,0.06039,0.9269
3,objects_guitar_mpeg7-03,objects,0.3343,0.3202,0.0123,0.1773,24.7,0.03868,1.0231
3,objects_horseshoe_mpeg7-04,objects,0.5532,0.515,0.0515,0.1351,24.0,0.15163,0.6385
3,objects_spoon_mpeg7-02,objects,0.669,0.6047,0.0455,0.0007,24.9,0.28186,1.0231
3,objects_tree_mpeg7-02,objects,0.721,0.6929,0.0241,0.413,25.1,0.13573,0.9269
3,vehicles_chopper_mpeg7-01,vehicles,0.7032,0.7012,0.002,0.1589,24.8,0.32296,1.3115
3,vehicles_personal-car_mpeg7-02,vehicles,0.6677,0.6338,0.0334,0.1922,20.4,0.34248,1.2154
5,abstract_comma_mpeg7-03,abstract,0.8531,0.8312,0.0169,0.3021,41.9,0.18727,1.0231
5,abstract_device0_mpeg7-01,abstract,0.7123,0.6809,0.0268,0.4179,41.8,0.16773,0.9269
5,abstract_device3_mpeg7-01,abstract,0.8409,0.8185,0.0162,0.4133,42.6,0.25929,0.7346
5,abstract_hcircle_mpeg7-03,abstract,0.8327,0.8105,0.0307,0.6034,42.7,0.16912,0.8308
5,abstract_spring_mpeg7-03,abstract,0.325,0.2978,0.0261,0.0011,42.6,0.34053,0.8308
5,abstract_stef_mpeg7-02,abstract,0.5285,0.5217,0.0055,0.4126,43.0,0.21565,1.1192
5,animals_dog_mpeg7-03,animals,0.3685,0.3552,0.0098,0.1257,42.0,0.19339,1.0231
5,animals_fly_mpeg7-02,animals,0.6967,0.693,0.0027,0.5087,42.3,0.13057,1.1192
5,animals_lizzard_mpeg7-02,animals,0.5654,0.5305,0.0273,0.0863,42.2,0.23237,0.7346
5,animals_octopus_mpeg7-03,animals,0.8328,0.8248,0.0064,0.3932,42.1,0.28391,0.8308
5,animals_ray_mpeg7-01,animals,0.7879,0.7619,0.0189,0.3797,42.8,0.16156,0.9269
5,animals_ray_mpeg7-05,animals,0.7215,0.7077,0.0127,0.2535,42.9,0.2138,1.0231
5,animals_sea-snake_mpeg7-01,animals,0.4856,0.4598,0.0266,0.1329,41.6,0.26664,1.0231
5,digits_0_dejavusans-bold,digits,0.7243,0.6972,0.0239,0.2172,42.0,0.27723,0.8308
5,digits_4_dejavuserif-bold,digits,0.6455,0.6327,0.0092,0.2784,41.7,0.1712,0.9269
5,figures_children_mpeg7-04,figures,0.7504,0.7295,0.0256,0.4457,42.2,0.05806,1.0231
5,figures_face_mpeg7-03,figures,0.8282,0.8103,0.017,0.479,42.1,0.15277,0.8308
5,hand_shadow_chicken_hasper-01,hand_shadow,0.7489,0.7263,0.0267,0.3406,41.8,0.08675,0.7346
5,hand_shadow_crab_hasper-01,hand_shadow,0.7188,0.6935,0.0239,0.3135,42.2,0.21886,1.3115
5,letters_lower_g_dejavuserif-bold,letters_lower,0.6809,0.667,0.0195,0.1727,42.1,0.22515,0.9269
5,letters_lower_l_dejavusansmono-bold,letters_lower,0.6627,0.6393,0.0169,0.4378,42.2,0.08515,0.9269
5,letters_lower_m_dejavusansmono-bold,letters_lower,0.6476,0.6375,0.0122,0.3043,41.9,0.15607,0.8308
5,letters_lower_r_dejavusans-bold,letters_lower,0.6931,0.6837,0.0067,0.2358,42.3,0.00947,0.7346
5,letters_lower_x_dejavusans-bold,letters_lower,0.798,0.766,0.0245,0.2654,42.6,0.20439,1.0231
5,letters_lower_y_dejavuserif-bold,letters_lower,0.668,0.6505,0.0159,0.3948,42.0,0.13022,1.1192
5,letters_upper_A_dejavusansmono-bold,letters_upper,0.7874,0.752,0.0304,0.2118,42.2,0.26645,1.0231
5,letters_upper_J_dejavusansmono-bold,letters_upper,0.7884,0.758,0.0215,0.1139,41.8,0.17683,0.9269
5,letters_upper_K_dejavusans-bold,letters_upper,0.717,0.7078,0.0087,0.2934,42.8,0.20041,1.1192
5,letters_upper_K_dejavuserif-bold,letters_upper,0.5443,0.5206,0.0198,0.2353,42.0,0.08691,0.7346
5,letters_upper_M_dejavuserif-bold,letters_upper,0.5766,0.544,0.0304,0.2183,42.5,0.3375,1.4077
5,letters_upper_T_dejavusans-bold,letters_upper,0.6767,0.6384,0.0271,0.3224,42.1,0.03094,0.7346
5,objects_apple_mpeg7-02,objects,0.8369,0.8321,0.0036,0.4445,41.6,0.30142,0.8308
5,objects_apple_mpeg7-03,objects,0.8851,0.8639,0.0198,0.4153,42.4,0.31862,0.9269
5,objects_bottle_mpeg7-02,objects,0.7572,0.727,0.0366,0.6141,41.6,0.09947,0.9269
5,objects_guitar_mpeg7-03,objects,0.3795,0.3594,0.0185,0.1716,41.3,0.07624,1.2154
5,objects_horseshoe_mpeg7-04,objects,0.6126,0.5444,0.0493,0.1145,41.5,0.23545,0.6385
5,objects_spoon_mpeg7-02,objects,0.5986,0.5079,0.0709,0.0989,41.7,0.31343,1.0231
5,objects_tree_mpeg7-02,objects,0.6884,0.6778,0.0125,0.5347,41.6,0.10441,1.0231
5,vehicles_chopper_mpeg7-01,vehicles,0.7516,0.7413,0.0115,0.2321,42.3,0.36507,1.3115
5,vehicles_personal-car_mpeg7-02,vehicles,0.7633,0.7464,0.0123,0.1851,38.1,0.36931,1.2154
7,abstract_comma_mpeg7-03,abstract,0.8457,0.8409,0.0043,0.2841,71.3,0.18963,1.2154
7,abstract_device0_mpeg7-01,abstract,0.6955,0.683,0.015,0.5171,73.6,0.07051,1.1192
7,abstract_device3_mpeg7-01,abstract,0.8369,0.83,0.0087,0.5056,72.9,0.24963,0.8308
7,abstract_hcircle_mpeg7-03,abstract,0.8678,0.8514,0.0146,0.7142,69.9,0.1738,1.0231
7,abstract_spring_mpeg7-03,abstract,0.3066,0.2728,0.0242,0.0224,68.2,0.28463,0.8308
7,abstract_stef_mpeg7-02,abstract,0.5408,0.525,0.0123,0.3052,69.5,0.15261,1.1192
7,animals_dog_mpeg7-03,animals,0.3493,0.3368,0.0122,0.1382,69.4,0.13814,1.0231
7,animals_fly_mpeg7-02,animals,0.7116,0.7003,0.0124,0.472,69.2,0.15443,1.3115
7,animals_lizzard_mpeg7-02,animals,0.48,0.459,0.0174,0.0699,70.0,0.26963,0.7346
7,animals_octopus_mpeg7-03,animals,0.845,0.8288,0.0116,0.5083,69.3,0.24166,0.9269
7,animals_ray_mpeg7-01,animals,0.7669,0.7661,0.0006,0.5564,70.1,0.10643,1.1192
7,animals_ray_mpeg7-05,animals,0.7799,0.7537,0.0262,0.2406,69.7,0.25254,1.0231
7,animals_sea-snake_mpeg7-01,animals,0.4616,0.4164,0.0354,0.2427,68.9,0.27894,1.1192
7,digits_0_dejavusans-bold,digits,0.7563,0.7352,0.0229,0.1986,69.4,0.30642,0.9269
7,digits_4_dejavuserif-bold,digits,0.6331,0.6186,0.0132,0.2918,69.7,0.19191,0.9269
7,figures_children_mpeg7-04,figures,0.7952,0.7804,0.0125,0.5475,70.0,0.0702,1.2154
7,figures_face_mpeg7-03,figures,0.8229,0.8198,0.0025,0.6483,70.0,0.09892,1.0231
7,hand_shadow_chicken_hasper-01,hand_shadow,0.7881,0.7857,0.0028,0.5748,70.2,0.13792,0.9269
7,hand_shadow_crab_hasper-01,hand_shadow,0.7243,0.6962,0.021,0.3766,71.0,0.17153,1.3115
7,letters_lower_g_dejavuserif-bold,letters_lower,0.7195,0.7109,0.0082,0.1447,70.5,0.20659,1.0231
7,letters_lower_l_dejavusansmono-bold,letters_lower,0.7111,0.699,0.0117,0.5647,70.7,0.0712,1.1192
7,letters_lower_m_dejavusansmono-bold,letters_lower,0.6473,0.6307,0.0131,0.488,69.4,0.1606,0.9269
7,letters_lower_r_dejavusans-bold,letters_lower,0.7991,0.7863,0.0135,0.7343,70.6,0.2089,1.0231
7,letters_lower_x_dejavusans-bold,letters_lower,0.7777,0.7578,0.0237,0.276,70.1,0.24349,1.0231
7,letters_lower_y_dejavuserif-bold,letters_lower,0.6573,0.6299,0.0225,0.4164,69.8,0.15497,1.2154
7,letters_upper_A_dejavusansmono-bold,letters_upper,0.7566,0.7411,0.011,0.2219,69.2,0.28651,1.0231
7,letters_upper_J_dejavusansmono-bold,letters_upper,0.8051,0.7879,0.0122,0.1471,69.5,0.23343,1.1192
7,letters_upper_K_dejavusans-bold,letters_upper,0.7313,0.7149,0.0154,0.2909,70.0,0.224,1.2154
7,letters_upper_K_dejavuserif-bold,letters_upper,0.687,0.6636,0.0188,0.2195,69.0,0.24541,1.2154
7,letters_upper_M_dejavuserif-bold,letters_upper,0.6535,0.6093,0.0318,0.2295,69.7,0.32786,1.4077
7,letters_upper_T_dejavusans-bold,letters_upper,0.6804,0.676,0.0032,0.3405,69.0,0.07544,0.8308
7,objects_apple_mpeg7-02,objects,0.8494,0.8339,0.0137,0.6505,70.1,0.21896,0.9269
7,objects_apple_mpeg7-03,objects,0.8591,0.8474,0.0156,0.5309,70.5,0.27752,1.0231
7,objects_bottle_mpeg7-02,objects,0.7445,0.7141,0.0281,0.4501,69.5,0.17407,1.1192
7,objects_guitar_mpeg7-03,objects,0.346,0.3424,0.0042,0.1789,67.6,0.11195,1.2154
7,objects_horseshoe_mpeg7-04,objects,0.5677,0.5513,0.0182,0.1614,69.3,0.25706,0.7346
7,objects_spoon_mpeg7-02,objects,0.4964,0.4707,0.0208,0.0861,68.4,0.30798,1.0231
7,objects_tree_mpeg7-02,objects,0.7066,0.6952,0.0095,0.4877,70.4,0.02683,1.2154
7,vehicles_chopper_mpeg7-01,vehicles,0.7559,0.7496,0.0048,0.3222,70.1,0.34051,1.3115
7,vehicles_personal-car_mpeg7-02,vehicles,0.754,0.7386,0.0109,0.3778,65.2,0.27893,1.3115
