frame_id,scene,letter,x,y,w,h,area,score,cutout,mask
f0279,scene_03,I,686,342,512,577,66249,0.9753,by_frame\f0279\f0279_I.png,by_frame\f0279\f0279_I_mask.png
f0284,scene_03,F,963,454,392,477,78962,0.9217,by_frame\f0284\f0284_F.png,by_frame\f0284\f0284_F_mask.png
f0284,scene_03,I,697,342,268,577,66540,0.9797,by_frame\f0284\f0284_I.png,by_frame\f0284\f0284_I_mask.png
f0289,scene_03,F,970,454,393,477,79324,0.8855,by_frame\f0289\f0289_F.png,by_frame\f0289\f0289_F_mask.png
f0289,scene_03,I,709,341,272,579,67078,0.9807,by_frame\f0289\f0289_I.png,by_frame\f0289\f0289_I_mask.png
f0294,scene_03,F,971,483,381,447,76565,0.9463,by_frame\f0294\f0294_F.png,by_frame\f0294\f0294_F_mask.png
f0294,scene_03,I,711,341,273,578,67264,0.9794,by_frame\f0294\f0294_I.png,by_frame\f0294\f0294_I_mask.png
f0299,scene_03,F,922,503,384,434,86426,0.9584,by_frame\f0299\f0299_F.png,by_frame\f0299\f0299_F_mask.png
f0299,scene_03,I,711,341,273,578,67046,0.9806,by_frame\f0299\f0299_I.png,by_frame\f0299\f0299_I_mask.png
f0304,scene_03,F,884,513,334,416,85745,0.8948,by_frame\f0304\f0304_F.png,by_frame\f0304\f0304_F_mask.png
f0304,scene_03,I,712,342,320,576,63807,0.9677,by_frame\f0304\f0304_I.png,by_frame\f0304\f0304_I_mask.png
f0309,scene_03,F,881,517,339,414,86073,0.9468,by_frame\f0309\f0309_F.png,by_frame\f0309\f0309_F_mask.png
f0309,scene_03,I,712,342,425,577,63704,0.9753,by_frame\f0309\f0309_I.png,by_frame\f0309\f0309_I_mask.png
f0314,scene_03,F,874,522,330,411,85948,0.9406,by_frame\f0314\f0314_F.png,by_frame\f0314\f0314_F_mask.png
f0314,scene_03,I,712,343,269,575,61637,0.9698,by_frame\f0314\f0314_I.png,by_frame\f0314\f0314_I_mask.png
f0319,scene_03,F,874,524,324,414,87062,0.9333,by_frame\f0319\f0319_F.png,by_frame\f0319\f0319_F_mask.png
f0319,scene_03,I,713,343,268,575,61187,0.9676,by_frame\f0319\f0319_I.png,by_frame\f0319\f0319_I_mask.png
f0324,scene_03,F,873,532,324,413,85525,0.94,by_frame\f0324\f0324_F.png,by_frame\f0324\f0324_F_mask.png
f0324,scene_03,I,713,343,268,575,61237,0.9684,by_frame\f0324\f0324_I.png,by_frame\f0324\f0324_I_mask.png
f0329,scene_03,F,873,533,324,412,85392,0.9178,by_frame\f0329\f0329_F.png,by_frame\f0329\f0329_F_mask.png
f0329,scene_03,I,741,323,273,590,63563,0.9725,by_frame\f0329\f0329_I.png,by_frame\f0329\f0329_I_mask.png
f0334,scene_03,F,873,533,324,412,85172,0.9013,by_frame\f0334\f0334_F.png,by_frame\f0334\f0334_F_mask.png
f0334,scene_03,I,757,318,277,600,63513,0.9572,by_frame\f0334\f0334_I.png,by_frame\f0334\f0334_I_mask.png
f0339,scene_03,F,872,533,325,412,85080,0.8925,by_frame\f0339\f0339_F.png,by_frame\f0339\f0339_F_mask.png
f0339,scene_03,I,757,318,276,598,61996,0.9662,by_frame\f0339\f0339_I.png,by_frame\f0339\f0339_I_mask.png
f0418,scene_04,M,761,396,472,546,143279,0.9872,by_frame\f0418\f0418_M.png,by_frame\f0418\f0418_M_mask.png
f0423,scene_04,M,761,397,471,545,143178,0.9868,by_frame\f0423\f0423_M.png,by_frame\f0423\f0423_M_mask.png
f0428,scene_04,M,761,399,479,534,142455,0.9864,by_frame\f0428\f0428_M.png,by_frame\f0428\f0428_M_mask.png
f0433,scene_04,M,759,411,478,529,141618,0.9869,by_frame\f0433\f0433_M.png,by_frame\f0433\f0433_M_mask.png
f0438,scene_04,M,760,411,485,528,139848,0.9868,by_frame\f0438\f0438_M.png,by_frame\f0438\f0438_M_mask.png
f0443,scene_04,M,759,416,487,524,138397,0.9862,by_frame\f0443\f0443_M.png,by_frame\f0443\f0443_M_mask.png
f0448,scene_04,M,749,430,499,508,133900,0.9853,by_frame\f0448\f0448_M.png,by_frame\f0448\f0448_M_mask.png
f0453,scene_04,M,753,444,493,497,126584,0.9839,by_frame\f0453\f0453_M.png,by_frame\f0453\f0453_M_mask.png
f0458,scene_04,M,760,456,481,485,120052,0.985,by_frame\f0458\f0458_M.png,by_frame\f0458\f0458_M_mask.png
f0463,scene_04,M,766,468,467,471,113829,0.9849,by_frame\f0463\f0463_M.png,by_frame\f0463\f0463_M_mask.png
f0468,scene_04,M,773,481,454,457,107853,0.9815,by_frame\f0468\f0468_M.png,by_frame\f0468\f0468_M_mask.png
f0473,scene_04,M,779,493,442,446,101915,0.9839,by_frame\f0473\f0473_M.png,by_frame\f0473\f0473_M_mask.png
f0478,scene_04,M,780,495,439,443,100783,0.9845,by_frame\f0478\f0478_M.png,by_frame\f0478\f0478_M_mask.png
f0483,scene_04,M,780,495,439,443,100757,0.9848,by_frame\f0483\f0483_M.png,by_frame\f0483\f0483_M_mask.png
f0537,scene_05,I,923,322,285,609,72959,0.9744,by_frame\f0537\f0537_I.png,by_frame\f0537\f0537_I_mask.png
f0537,scene_05,M,579,573,406,387,79273,0.9757,by_frame\f0537\f0537_M.png,by_frame\f0537\f0537_M_mask.png
f0542,scene_05,I,923,322,285,608,72798,0.9756,by_frame\f0542\f0542_I.png,by_frame\f0542\f0542_I_mask.png
f0542,scene_05,M,579,574,406,382,78400,0.9693,by_frame\f0542\f0542_M.png,by_frame\f0542\f0542_M_mask.png
f0547,scene_05,I,923,322,285,607,72559,0.9765,by_frame\f0547\f0547_I.png,by_frame\f0547\f0547_I_mask.png
f0547,scene_05,M,579,574,406,386,81333,0.9741,by_frame\f0547\f0547_M.png,by_frame\f0547\f0547_M_mask.png
f0552,scene_05,I,923,322,285,607,72619,0.9761,by_frame\f0552\f0552_I.png,by_frame\f0552\f0552_I_mask.png
f0552,scene_05,M,579,574,406,383,78576,0.9735,by_frame\f0552\f0552_M.png,by_frame\f0552\f0552_M_mask.png
f0557,scene_05,I,924,322,284,607,72359,0.976,by_frame\f0557\f0557_I.png,by_frame\f0557\f0557_I_mask.png
f0557,scene_05,M,579,574,406,386,78981,0.9731,by_frame\f0557\f0557_M.png,by_frame\f0557\f0557_M_mask.png
f0562,scene_05,I,924,322,284,607,72296,0.9758,by_frame\f0562\f0562_I.png,by_frame\f0562\f0562_I_mask.png
f0562,scene_05,M,579,574,405,382,78338,0.9763,by_frame\f0562\f0562_M.png,by_frame\f0562\f0562_M_mask.png
f0567,scene_05,I,923,322,285,607,72399,0.9758,by_frame\f0567\f0567_I.png,by_frame\f0567\f0567_I_mask.png
f0567,scene_05,M,579,574,405,386,81085,0.9695,by_frame\f0567\f0567_M.png,by_frame\f0567\f0567_M_mask.png
f0572,scene_05,I,924,322,283,607,72184,0.9769,by_frame\f0572\f0572_I.png,by_frame\f0572\f0572_I_mask.png
f0572,scene_05,M,579,574,406,383,78685,0.9723,by_frame\f0572\f0572_M.png,by_frame\f0572\f0572_M_mask.png
f0577,scene_05,I,923,322,285,608,72647,0.9765,by_frame\f0577\f0577_I.png,by_frame\f0577\f0577_I_mask.png
f0577,scene_05,M,579,574,406,386,81186,0.9675,by_frame\f0577\f0577_M.png,by_frame\f0577\f0577_M_mask.png
f0582,scene_05,I,924,322,284,608,72080,0.9798,by_frame\f0582\f0582_I.png,by_frame\f0582\f0582_I_mask.png
f0582,scene_05,M,579,574,406,383,78677,0.9741,by_frame\f0582\f0582_M.png,by_frame\f0582\f0582_M_mask.png
f0587,scene_05,I,924,322,284,608,71970,0.9783,by_frame\f0587\f0587_I.png,by_frame\f0587\f0587_I_mask.png
f0587,scene_05,M,579,574,406,386,78979,0.9778,by_frame\f0587\f0587_M.png,by_frame\f0587\f0587_M_mask.png
f0592,scene_05,I,925,322,283,607,71862,0.9737,by_frame\f0592\f0592_I.png,by_frame\f0592\f0592_I_mask.png
f0592,scene_05,M,579,574,406,382,78334,0.9761,by_frame\f0592\f0592_M.png,by_frame\f0592\f0592_M_mask.png
f0597,scene_05,I,924,322,284,608,72487,0.9765,by_frame\f0597\f0597_I.png,by_frame\f0597\f0597_I_mask.png
f0597,scene_05,M,579,574,406,386,81318,0.9688,by_frame\f0597\f0597_M.png,by_frame\f0597\f0597_M_mask.png
f0682,scene_06,A,480,335,154,182,15044,0.9529,by_frame\f0682\f0682_A.png,by_frame\f0682\f0682_A_mask.png
f0682,scene_06,F,168,293,140,221,15459,0.9343,by_frame\f0682\f0682_F.png,by_frame\f0682\f0682_F_mask.png
f0682,scene_06,I,1193,318,91,195,11379,0.9143,by_frame\f0682\f0682_I.png,by_frame\f0682\f0682_I_mask.png
f0682,scene_06,M,812,331,173,182,19872,0.9559,by_frame\f0682\f0682_M.png,by_frame\f0682\f0682_M_mask.png
f0687,scene_06,A,480,335,156,182,14879,0.9427,by_frame\f0687\f0687_A.png,by_frame\f0687\f0687_A_mask.png
f0687,scene_06,F,165,293,158,222,17797,0.9403,by_frame\f0687\f0687_F.png,by_frame\f0687\f0687_F_mask.png
f0687,scene_06,I,1192,318,106,199,14418,0.9112,by_frame\f0687\f0687_I.png,by_frame\f0687\f0687_I_mask.png
f0687,scene_06,M,802,335,170,179,20609,0.9557,by_frame\f0687\f0687_M.png,by_frame\f0687\f0687_M_mask.png
f0692,scene_06,A,479,334,165,185,18667,0.9446,by_frame\f0692\f0692_A.png,by_frame\f0692\f0692_A_mask.png
f0692,scene_06,F,165,293,158,222,17776,0.9435,by_frame\f0692\f0692_F.png,by_frame\f0692\f0692_F_mask.png
f0692,scene_06,I,1193,318,97,197,11790,0.9031,by_frame\f0692\f0692_I.png,by_frame\f0692\f0692_I_mask.png
f0692,scene_06,M,802,335,170,179,20609,0.9573,by_frame\f0692\f0692_M.png,by_frame\f0692\f0692_M_mask.png
f0697,scene_06,A,479,335,157,181,14919,0.9342,by_frame\f0697\f0697_A.png,by_frame\f0697\f0697_A_mask.png
f0697,scene_06,F,165,290,154,228,17892,0.9394,by_frame\f0697\f0697_F.png,by_frame\f0697\f0697_F_mask.png
f0697,scene_06,I,1194,281,210,235,15188,0.9545,by_frame\f0697\f0697_I.png,by_frame\f0697\f0697_I_mask.png
f0697,scene_06,M,796,351,176,162,15891,0.9353,by_frame\f0697\f0697_M.png,by_frame\f0697\f0697_M_mask.png
f0702,scene_06,A,480,335,159,182,15612,0.9527,by_frame\f0702\f0702_A.png,by_frame\f0702\f0702_A_mask.png
f0702,scene_06,F,168,284,145,235,18534,0.946,by_frame\f0702\f0702_F.png,by_frame\f0702\f0702_F_mask.png
f0702,scene_06,I,1198,251,406,266,22834,0.9541,by_frame\f0702\f0702_I.png,by_frame\f0702\f0702_I_mask.png
f0702,scene_06,M,802,335,171,180,21063,0.9556,by_frame\f0702\f0702_M.png,by_frame\f0702\f0702_M_mask.png
f0707,scene_06,A,479,335,162,183,16379,0.959,by_frame\f0707\f0707_A.png,by_frame\f0707\f0707_A_mask.png
f0707,scene_06,F,166,283,139,234,16058,0.9584,by_frame\f0707\f0707_F.png,by_frame\f0707\f0707_F_mask.png
f0707,scene_06,I,1199,318,590,199,27690,0.9389,by_frame\f0707\f0707_I.png,by_frame\f0707\f0707_I_mask.png
f0707,scene_06,M,794,351,187,162,19326,0.9512,by_frame\f0707\f0707_M.png,by_frame\f0707\f0707_M_mask.png
f0712,scene_06,A,479,335,162,183,16505,0.959,by_frame\f0712\f0712_A.png,by_frame\f0712\f0712_A_mask.png
f0712,scene_06,F,161,284,130,233,15401,0.9463,by_frame\f0712\f0712_F.png,by_frame\f0712\f0712_F_mask.png
f0712,scene_06,I,1197,286,571,224,23406,0.8836,by_frame\f0712\f0712_I.png,by_frame\f0712\f0712_I_mask.png
f0712,scene_06,L,1237,301,546,178,10900,0.8761,by_frame\f0712\f0712_L.png,by_frame\f0712\f0712_L_mask.png
f0712,scene_06,M,802,335,170,180,20796,0.9579,by_frame\f0712\f0712_M.png,by_frame\f0712\f0712_M_mask.png
f0717,scene_06,A,480,335,160,183,16091,0.9587,by_frame\f0717\f0717_A.png,by_frame\f0717\f0717_A_mask.png
f0717,scene_06,F,161,284,129,233,15276,0.9479,by_frame\f0717\f0717_F.png,by_frame\f0717\f0717_F_mask.png
f0717,scene_06,I,1188,297,246,213,15561,0.9428,by_frame\f0717\f0717_I.png,by_frame\f0717\f0717_I_mask.png
f0717,scene_06,L,1417,322,126,180,12930,0.9197,by_frame\f0717\f0717_L.png,by_frame\f0717\f0717_L_mask.png
f0717,scene_06,M,795,351,186,162,19211,0.9534,by_frame\f0717\f0717_M.png,by_frame\f0717\f0717_M_mask.png
f0717,scene_06,Y,1620,313,129,180,11030,0.9583,by_frame\f0717\f0717_Y.png,by_frame\f0717\f0717_Y_mask.png
f0722,scene_06,A,480,335,159,183,15988,0.9586,by_frame\f0722\f0722_A.png,by_frame\f0722\f0722_A_mask.png
f0722,scene_06,F,161,284,129,233,15258,0.9476,by_frame\f0722\f0722_F.png,by_frame\f0722\f0722_F_mask.png
f0722,scene_06,I,1189,309,167,204,15066,0.9375,by_frame\f0722\f0722_I.png,by_frame\f0722\f0722_I_mask.png
f0722,scene_06,L,1366,343,126,177,13360,0.9708,by_frame\f0722\f0722_L.png,by_frame\f0722\f0722_L_mask.png
f0722,scene_06,M,802,335,170,179,20654,0.9626,by_frame\f0722\f0722_M.png,by_frame\f0722\f0722_M_mask.png
f0722,scene_06,Y,1566,335,145,184,13140,0.962,by_frame\f0722\f0722_Y.png,by_frame\f0722\f0722_Y_mask.png
f0727,scene_06,A,480,335,156,181,14696,0.9369,by_frame\f0727\f0727_A.png,by_frame\f0727\f0727_A_mask.png
f0727,scene_06,F,161,284,130,233,15403,0.9606,by_frame\f0727\f0727_F.png,by_frame\f0727\f0727_F_mask.png
f0727,scene_06,I,1189,318,102,196,12227,0.9171,by_frame\f0727\f0727_I.png,by_frame\f0727\f0727_I_mask.png
f0727,scene_06,L,1365,345,122,176,13140,0.9701,by_frame\f0727\f0727_L.png,by_frame\f0727\f0727_L_mask.png
f0727,scene_06,M,794,351,187,162,19313,0.954,by_frame\f0727\f0727_M.png,by_frame\f0727\f0727_M_mask.png
f0727,scene_06,Y,1567,335,142,183,12546,0.9607,by_frame\f0727\f0727_Y.png,by_frame\f0727\f0727_Y_mask.png
