shadow_name,subset,small_best_iou,big_best_iou,delta,small_mean_iou,big_mean_iou,small_std_iou,big_std_iou,big_n_runs
abstract/device3_mpeg7-01,abstract,0.6375,0.6587,0.0212,0.5879,0.608,0.0255,0.0245,10
abstract/device3_mpeg7-02,abstract,0.6218,0.6693,0.0475,0.5851,0.6192,0.019,0.0255,10
abstract/device3_mpeg7-03,abstract,0.6158,0.6527,0.0369,0.5809,0.6119,0.0186,0.0225,10
abstract/device3_mpeg7-04,abstract,0.6239,0.65,0.0261,0.5816,0.6211,0.0177,0.0155,10
abstract/device3_mpeg7-05,abstract,0.5393,0.5649,0.0256,0.5186,0.5439,0.013,0.0174,10
abstract/device4_mpeg7-01,abstract,0.7027,0.7347,0.032,0.6781,0.7095,0.0229,0.0193,10
abstract/device4_mpeg7-02,abstract,0.7351,0.7577,0.0226,0.7024,0.7263,0.0215,0.0286,10
abstract/device4_mpeg7-03,abstract,0.7355,0.7458,0.0103,0.6649,0.6908,0.0338,0.0323,10
abstract/device4_mpeg7-04,abstract,0.6984,0.7304,0.032,0.6665,0.6978,0.0282,0.0206,10
abstract/device4_mpeg7-05,abstract,0.6408,0.6626,0.0218,0.6009,0.633,0.0261,0.0239,10
abstract/device5_mpeg7-01,abstract,0.6486,0.6535,0.0049,0.5913,0.6282,0.0216,0.0127,10
abstract/device5_mpeg7-02,abstract,0.7241,0.7409,0.0168,0.6533,0.6828,0.0334,0.0332,10
abstract/device5_mpeg7-03,abstract,0.5613,0.6062,0.0449,0.5233,0.5728,0.0343,0.0255,10
abstract/device5_mpeg7-04,abstract,0.6502,0.6675,0.0173,0.6147,0.6452,0.0162,0.0153,10
abstract/device5_mpeg7-05,abstract,0.6091,0.6711,0.062,0.5814,0.6298,0.0279,0.0237,10
abstract/device6_mpeg7-01,abstract,0.6624,0.6871,0.0247,0.614,0.6477,0.0251,0.0218,10
abstract/device6_mpeg7-02,abstract,0.3697,0.3885,0.0188,0.3528,0.3681,0.0127,0.0128,15
abstract/device6_mpeg7-03,abstract,0.6378,0.6529,0.0151,0.6088,0.6338,0.0176,0.0128,10
abstract/device6_mpeg7-04,abstract,0.6593,0.6853,0.026,0.6242,0.6535,0.0179,0.0141,10
abstract/device6_mpeg7-05,abstract,0.6424,0.6697,0.0273,0.6162,0.6544,0.0167,0.012,10
abstract/device7_mpeg7-01,abstract,0.5233,0.5494,0.0261,0.4983,0.5259,0.0122,0.0143,10
abstract/device7_mpeg7-02,abstract,0.5965,0.6262,0.0297,0.5712,0.5955,0.0192,0.0176,10
abstract/device7_mpeg7-03,abstract,0.6118,0.6172,0.0054,0.5762,0.5963,0.0166,0.0116,10
abstract/device7_mpeg7-04,abstract,0.5843,0.6179,0.0336,0.5642,0.5859,0.0167,0.0208,10
abstract/device7_mpeg7-05,abstract,0.6437,0.6532,0.0095,0.6168,0.6318,0.02,0.0199,10
abstract/device8_mpeg7-01,abstract,0.6945,0.7449,0.0504,0.6538,0.6872,0.0207,0.0236,10
abstract/device8_mpeg7-02,abstract,0.6888,0.73,0.0412,0.662,0.7007,0.0182,0.0162,10
abstract/device8_mpeg7-03,abstract,0.7239,0.7342,0.0103,0.6749,0.7016,0.0249,0.0181,10
abstract/device8_mpeg7-04,abstract,0.6404,0.693,0.0526,0.5949,0.6396,0.028,0.026,10
abstract/device8_mpeg7-05,abstract,0.6716,0.7243,0.0527,0.6483,0.704,0.0198,0.0174,10
abstract/device9_mpeg7-01,abstract,0.6574,0.6879,0.0305,0.6341,0.655,0.0146,0.0193,10
abstract/device9_mpeg7-02,abstract,0.6198,0.6429,0.0231,0.5889,0.6108,0.0164,0.0179,10
abstract/device9_mpeg7-03,abstract,0.6752,0.7039,0.0287,0.645,0.6751,0.0254,0.0145,10
abstract/device9_mpeg7-04,abstract,0.6662,0.691,0.0248,0.641,0.6662,0.0147,0.0187,10
abstract/device9_mpeg7-05,abstract,0.6462,0.6883,0.0421,0.6176,0.6458,0.0159,0.0258,10
abstract/hcircle_mpeg7-01,abstract,0.8168,0.8292,0.0124,0.7847,0.81,0.0175,0.0203,10
abstract/hcircle_mpeg7-02,abstract,0.796,0.8211,0.0251,0.7517,0.7852,0.0251,0.0291,10
abstract/hcircle_mpeg7-03,abstract,0.8321,0.8512,0.0191,0.7999,0.825,0.0177,0.0169,10
abstract/hcircle_mpeg7-04,abstract,0.8114,0.829,0.0176,0.789,0.8118,0.0164,0.0109,10
abstract/hcircle_mpeg7-05,abstract,0.8222,0.8342,0.012,0.7724,0.802,0.0249,0.0219,10
abstract/heart_mpeg7-01,abstract,0.6631,0.6901,0.027,0.6166,0.6501,0.0251,0.0255,10
abstract/heart_mpeg7-02,abstract,0.6443,0.6527,0.0084,0.6008,0.6293,0.0243,0.013,10
abstract/heart_mpeg7-03,abstract,0.6489,0.6674,0.0185,0.6104,0.6424,0.0331,0.0179,10
abstract/heart_mpeg7-04,abstract,0.652,0.6756,0.0236,0.6182,0.6423,0.017,0.0232,10
abstract/heart_mpeg7-05,abstract,0.6088,0.6384,0.0296,0.5846,0.5936,0.0164,0.0294,10
abstract/misk_mpeg7-01,abstract,0.7018,0.7171,0.0153,0.6802,0.6969,0.0133,0.0165,10
abstract/misk_mpeg7-02,abstract,0.7058,0.7361,0.0303,0.6696,0.7071,0.02,0.0224,10
abstract/misk_mpeg7-03,abstract,0.706,0.7234,0.0174,0.6833,0.706,0.0188,0.0176,10
abstract/misk_mpeg7-04,abstract,0.6586,0.6867,0.0281,0.6355,0.6608,0.016,0.016,10
abstract/misk_mpeg7-05,abstract,0.6734,0.6992,0.0258,0.6461,0.6663,0.0161,0.0219,10
abstract/spring_mpeg7-01,abstract,0.4193,0.4357,0.0164,0.3828,0.4169,0.0216,0.0146,15
abstract/spring_mpeg7-02,abstract,0.3173,0.3309,0.0136,0.29,0.3065,0.0159,0.0151,15
abstract/spring_mpeg7-03,abstract,0.2848,0.3257,0.0409,0.2482,0.2934,0.0362,0.0244,15
abstract/spring_mpeg7-04,abstract,0.538,0.5367,-0.0013,0.4894,0.514,0.0265,0.0162,10
abstract/spring_mpeg7-05,abstract,0.4193,0.4357,0.0164,0.3828,0.4169,0.0216,0.0146,15
abstract/stef_mpeg7-01,abstract,0.5363,0.5653,0.029,0.4941,0.5276,0.0241,0.0249,10
abstract/stef_mpeg7-02,abstract,0.4933,0.4954,0.0021,0.4563,0.4775,0.0181,0.018,15
abstract/stef_mpeg7-03,abstract,0.3753,0.429,0.0537,0.3561,0.3909,0.0176,0.0218,15
abstract/stef_mpeg7-04,abstract,0.4087,0.4624,0.0537,0.3684,0.4205,0.0189,0.0228,15
abstract/stef_mpeg7-05,abstract,0.5165,0.5222,0.0057,0.4719,0.4977,0.0215,0.0117,10
animals/bat_mpeg7-01,animals,0.6373,0.6592,0.0219,0.5755,0.6143,0.0351,0.0363,10
animals/bat_mpeg7-02,animals,0.4272,0.4634,0.0362,0.3943,0.4419,0.0232,0.0165,15
animals/bat_mpeg7-03,animals,0.523,0.5442,0.0212,0.4965,0.5108,0.0138,0.0191,10
animals/bat_mpeg7-04,animals,0.5543,0.5796,0.0253,0.5156,0.5482,0.0247,0.02,10
animals/bat_mpeg7-05,animals,0.5157,0.5316,0.0159,0.4807,0.5173,0.0195,0.0153,10
animals/beetle_mpeg7-01,animals,0.4577,0.4801,0.0224,0.4391,0.4558,0.0098,0.0151,15
animals/beetle_mpeg7-02,animals,0.6164,0.6262,0.0098,0.5877,0.6095,0.0162,0.0118,10
animals/beetle_mpeg7-03,animals,0.5824,0.5947,0.0123,0.5607,0.581,0.0126,0.0107,10
animals/beetle_mpeg7-04,animals,0.5688,0.6014,0.0326,0.5557,0.5759,0.0093,0.0109,10
animals/beetle_mpeg7-05,animals,0.5511,0.5726,0.0215,0.5357,0.5518,0.0072,0.0169,10
animals/bird_mpeg7-01,animals,0.5872,0.6078,0.0206,0.5548,0.5888,0.0202,0.0157,10
animals/bird_mpeg7-02,animals,0.6674,0.7071,0.0397,0.637,0.6636,0.0302,0.0231,10
animals/bird_mpeg7-03,animals,0.6679,0.6828,0.0149,0.6231,0.6512,0.0261,0.0201,10
animals/bird_mpeg7-04,animals,0.5566,0.568,0.0114,0.4998,0.5309,0.0295,0.0302,10
animals/bird_mpeg7-05,animals,0.6557,0.7024,0.0467,0.6309,0.6756,0.0195,0.0198,10
animals/butterfly_mpeg7-01,animals,0.583,0.6034,0.0204,0.5387,0.5777,0.0356,0.0193,10
animals/butterfly_mpeg7-02,animals,0.556,0.574,0.018,0.5304,0.5469,0.0155,0.0178,10
animals/butterfly_mpeg7-03,animals,0.6735,0.6994,0.0259,0.6456,0.6673,0.0153,0.0204,10
animals/butterfly_mpeg7-04,animals,0.6549,0.6734,0.0185,0.6018,0.6268,0.0307,0.0301,10
animals/butterfly_mpeg7-05,animals,0.7175,0.7623,0.0448,0.6789,0.7077,0.0257,0.0364,10
animals/camel_mpeg7-01,animals,0.6551,0.6737,0.0186,0.6106,0.6387,0.0227,0.0252,10
animals/camel_mpeg7-02,animals,0.5543,0.5936,0.0393,0.5225,0.5546,0.0193,0.0165,10
animals/camel_mpeg7-03,animals,0.5887,0.6169,0.0282,0.5705,0.5902,0.0101,0.0122,10
animals/camel_mpeg7-04,animals,0.5639,0.5737,0.0098,0.5308,0.557,0.0176,0.0142,10
animals/camel_mpeg7-05,animals,0.6802,0.7076,0.0274,0.6492,0.6746,0.0175,0.0211,10
animals/cattle_mpeg7-01,animals,0.6121,0.6162,0.0041,0.5759,0.604,0.0226,0.0156,10
animals/cattle_mpeg7-02,animals,0.5205,0.5546,0.0341,0.4948,0.5235,0.0149,0.0218,10
animals/cattle_mpeg7-03,animals,0.5604,0.5781,0.0177,0.5272,0.5546,0.0145,0.016,10
animals/cattle_mpeg7-04,animals,0.5616,0.5861,0.0245,0.53,0.5565,0.0177,0.0195,10
animals/cattle_mpeg7-05,animals,0.5888,0.6077,0.0189,0.5572,0.5846,0.0155,0.0158,10
animals/chicken_mpeg7-01,animals,0.6179,0.6528,0.0349,0.5901,0.62,0.0184,0.0231,10
animals/chicken_mpeg7-02,animals,0.6388,0.6971,0.0583,0.6175,0.6564,0.0134,0.0198,10
animals/chicken_mpeg7-03,animals,0.6616,0.6723,0.0107,0.6146,0.6355,0.0256,0.0353,10
animals/chicken_mpeg7-04,animals,0.6835,0.7097,0.0262,0.6399,0.6502,0.0258,0.0293,10
animals/chicken_mpeg7-05,animals,0.6161,0.6491,0.033,0.5936,0.6196,0.0154,0.0238,10
animals/deer_mpeg7-01,animals,0.4873,0.5237,0.0364,0.4664,0.4982,0.0123,0.0172,10
animals/deer_mpeg7-02,animals,0.5137,0.5193,0.0056,0.4853,0.4959,0.0173,0.0156,10
animals/deer_mpeg7-03,animals,0.4854,0.5254,0.04,0.472,0.4963,0.0099,0.012,10
animals/deer_mpeg7-04,animals,0.4481,0.4643,0.0162,0.4171,0.4469,0.0197,0.0134,15
animals/deer_mpeg7-05,animals,0.5088,0.5269,0.0181,0.463,0.4986,0.021,0.0173,10
animals/dog_mpeg7-01,animals,0.6149,0.6398,0.0249,0.562,0.5989,0.0423,0.0238,10
animals/dog_mpeg7-02,animals,0.5271,0.5495,0.0224,0.5007,0.5272,0.0275,0.0245,10
animals/dog_mpeg7-03,animals,0.2806,0.3107,0.0301,0.2689,0.2903,0.0062,0.0141,15
animals/dog_mpeg7-04,animals,0.5465,0.5794,0.0329,0.5034,0.5398,0.0208,0.0296,10
animals/dog_mpeg7-05,animals,0.5367,0.563,0.0263,0.4926,0.5346,0.0226,0.0223,10
animals/elephant_mpeg7-01,animals,0.6304,0.6618,0.0314,0.5939,0.6344,0.0174,0.0225,10
animals/elephant_mpeg7-02,animals,0.6549,0.6962,0.0413,0.616,0.6358,0.0215,0.033,10
animals/elephant_mpeg7-03,animals,0.6065,0.6386,0.0321,0.5841,0.6118,0.0146,0.0208,10
animals/elephant_mpeg7-04,animals,0.6006,0.6256,0.025,0.5525,0.587,0.0252,0.0214,10
animals/elephant_mpeg7-05,animals,0.6276,0.6703,0.0427,0.5934,0.6195,0.0218,0.0269,10
animals/fish_mpeg7-01,animals,0.6166,0.6533,0.0367,0.5871,0.6221,0.0234,0.0218,10
animals/fish_mpeg7-02,animals,0.5072,0.5253,0.0181,0.4645,0.5016,0.0199,0.0183,10
animals/fish_mpeg7-03,animals,0.5291,0.5621,0.033,0.4804,0.526,0.0275,0.0301,10
animals/fish_mpeg7-04,animals,0.5148,0.5323,0.0175,0.4727,0.5019,0.0291,0.0141,10
animals/fish_mpeg7-05,animals,0.4838,0.5171,0.0333,0.4447,0.4894,0.0295,0.0186,10
animals/flatfish_mpeg7-01,animals,0.6656,0.685,0.0194,0.628,0.6585,0.0234,0.0228,10
animals/flatfish_mpeg7-02,animals,0.6011,0.6139,0.0128,0.5219,0.5707,0.036,0.0243,10
animals/flatfish_mpeg7-03,animals,0.6311,0.6649,0.0338,0.5808,0.6311,0.0248,0.0203,10
animals/flatfish_mpeg7-04,animals,0.6042,0.6244,0.0202,0.5535,0.5882,0.0301,0.0255,10
animals/flatfish_mpeg7-05,animals,0.601,0.6346,0.0336,0.5444,0.5847,0.0285,0.0294,10
animals/fly_mpeg7-01,animals,0.4716,0.4883,0.0167,0.4357,0.4605,0.0157,0.0181,15
animals/fly_mpeg7-02,animals,0.6528,0.6465,-0.0063,0.6055,0.6231,0.0239,0.0161,10
animals/fly_mpeg7-03,animals,0.554,0.5601,0.0061,0.5283,0.5476,0.0128,0.0124,10
animals/fly_mpeg7-04,animals,0.6246,0.6394,0.0148,0.5959,0.6168,0.0241,0.0177,10
animals/fly_mpeg7-05,animals,0.5382,0.5834,0.0452,0.5178,0.5558,0.0132,0.0202,10
animals/frog_mpeg7-01,animals,0.6892,0.7278,0.0386,0.67,0.7026,0.0254,0.0146,10
animals/frog_mpeg7-02,animals,0.6632,0.6835,0.0203,0.636,0.6638,0.0183,0.0145,10
animals/frog_mpeg7-03,animals,0.6806,0.7354,0.0548,0.6391,0.6773,0.031,0.0269,10
animals/frog_mpeg7-04,animals,0.616,0.6343,0.0183,0.5881,0.618,0.0223,0.0116,10
animals/frog_mpeg7-05,animals,0.6336,0.6393,0.0057,0.5999,0.609,0.0165,0.0256,10
animals/horse_mpeg7-01,animals,0.5601,0.5829,0.0228,0.5342,0.5439,0.0195,0.032,10
animals/horse_mpeg7-02,animals,0.5273,0.58,0.0527,0.4986,0.5256,0.017,0.0259,10
animals/horse_mpeg7-03,animals,0.4513,0.484,0.0327,0.4103,0.4366,0.0211,0.0219,15
animals/horse_mpeg7-04,animals,0.4629,0.5047,0.0418,0.4435,0.4754,0.0169,0.0147,15
animals/horse_mpeg7-05,animals,0.5055,0.5407,0.0352,0.4866,0.5057,0.0117,0.0185,10
animals/lizzard_mpeg7-01,animals,0.4947,0.5312,0.0365,0.4694,0.4898,0.0209,0.0254,10
animals/lizzard_mpeg7-02,animals,0.4878,0.5232,0.0354,0.4474,0.483,0.0317,0.0388,10
animals/lizzard_mpeg7-03,animals,0.5314,0.537,0.0056,0.4851,0.5083,0.0254,0.0233,10
animals/lizzard_mpeg7-04,animals,0.4785,0.5123,0.0338,0.4511,0.4829,0.018,0.0238,10
animals/lizzard_mpeg7-05,animals,0.4972,0.513,0.0158,0.4595,0.4888,0.016,0.0157,10
animals/lmfish_mpeg7-01,animals,0.5356,0.5728,0.0372,0.5019,0.5516,0.027,0.0187,10
animals/lmfish_mpeg7-02,animals,0.5976,0.6445,0.0469,0.5611,0.613,0.0265,0.0249,10
animals/lmfish_mpeg7-03,animals,0.5875,0.6005,0.013,0.5313,0.5592,0.0314,0.0305,10
animals/lmfish_mpeg7-04,animals,0.4017,0.447,0.0453,0.3747,0.4069,0.0244,0.0207,15
animals/lmfish_mpeg7-05,animals,0.4093,0.4419,0.0326,0.3764,0.4055,0.0221,0.024,15
animals/octopus_mpeg7-01,animals,0.6518,0.6781,0.0263,0.6181,0.6484,0.022,0.0209,10
animals/octopus_mpeg7-02,animals,0.6307,0.673,0.0423,0.6085,0.635,0.0154,0.0169,10
animals/octopus_mpeg7-03,animals,0.6598,0.6589,-0.0009,0.6273,0.6377,0.0258,0.0181,10
animals/octopus_mpeg7-04,animals,0.6265,0.6609,0.0344,0.6021,0.625,0.0134,0.0199,10
animals/octopus_mpeg7-05,animals,0.6257,0.6669,0.0412,0.6021,0.6389,0.0207,0.0168,10
animals/rat_mpeg7-01,animals,0.6422,0.6683,0.0261,0.6187,0.649,0.012,0.0097,10
animals/rat_mpeg7-02,animals,0.6517,0.6622,0.0105,0.6312,0.6474,0.0138,0.007,10
animals/rat_mpeg7-03,animals,0.6477,0.6691,0.0214,0.6351,0.6492,0.0091,0.0103,10
animals/rat_mpeg7-04,animals,0.6742,0.6762,0.002,0.6452,0.6662,0.0165,0.0071,10
animals/rat_mpeg7-05,animals,0.6532,0.674,0.0208,0.6362,0.6584,0.0079,0.0082,10
animals/ray_mpeg7-01,animals,0.6559,0.6811,0.0252,0.6342,0.6587,0.0161,0.0155,10
animals/ray_mpeg7-02,animals,0.6472,0.6731,0.0259,0.6198,0.6508,0.0166,0.0125,10
animals/ray_mpeg7-03,animals,0.6516,0.6768,0.0252,0.6191,0.6463,0.0171,0.0172,10
animals/ray_mpeg7-04,animals,0.6639,0.696,0.0321,0.6418,0.6777,0.0218,0.0133,10
animals/ray_mpeg7-05,animals,0.6221,0.6449,0.0228,0.5861,0.6214,0.0246,0.0148,10
animals/sea-snake_mpeg7-01,animals,0.3847,0.4453,0.0606,0.3625,0.3894,0.0182,0.0276,15
animals/sea-snake_mpeg7-02,animals,0.4862,0.5477,0.0615,0.4308,0.4608,0.0276,0.0563,10
animals/sea-snake_mpeg7-03,animals,0.6361,0.6534,0.0173,0.5808,0.6189,0.0297,0.0285,10
animals/sea-snake_mpeg7-04,animals,0.5023,0.5208,0.0185,0.4482,0.4745,0.0279,0.0214,15
animals/sea-snake_mpeg7-05,animals,0.5033,0.5497,0.0464,0.4281,0.4991,0.0531,0.064,10
animals/turtle_mpeg7-01,animals,0.5807,0.6076,0.0269,0.5464,0.5792,0.0223,0.0177,10
animals/turtle_mpeg7-02,animals,0.6025,0.6106,0.0081,0.5321,0.5854,0.0286,0.0194,10
animals/turtle_mpeg7-03,animals,0.6602,0.6807,0.0205,0.6334,0.6652,0.0176,0.0102,10
animals/turtle_mpeg7-04,animals,0.5814,0.5956,0.0142,0.5391,0.5605,0.0343,0.0262,10
animals/turtle_mpeg7-05,animals,0.542,0.5773,0.0353,0.5297,0.5539,0.0119,0.017,10
digits/0_dejavusans-bold,digits,0.7235,0.7575,0.034,0.6846,0.7159,0.0392,0.0231,10
digits/0_dejavusansmono-bold,digits,0.6644,0.7148,0.0504,0.639,0.6891,0.0174,0.017,10
digits/0_dejavuserif-bold,digits,0.6903,0.7207,0.0304,0.6453,0.6841,0.0435,0.0234,10
digits/1_dejavusans-bold,digits,0.6866,0.6975,0.0109,0.6483,0.6598,0.0235,0.0187,10
digits/1_dejavusansmono-bold,digits,0.6549,0.7004,0.0455,0.6271,0.6729,0.0181,0.0196,10
digits/1_dejavuserif-bold,digits,0.6997,0.7496,0.0499,0.6718,0.7184,0.0156,0.0139,10
digits/2_dejavusans-bold,digits,0.5868,0.6194,0.0326,0.565,0.5907,0.0149,0.024,10
digits/2_dejavusansmono-bold,digits,0.6018,0.646,0.0442,0.5524,0.6063,0.0274,0.0321,10
digits/2_dejavuserif-bold,digits,0.5791,0.6124,0.0333,0.5391,0.5831,0.0306,0.0205,10
digits/3_dejavusans-bold,digits,0.5917,0.6161,0.0244,0.5465,0.5799,0.0281,0.0269,10
digits/3_dejavusansmono-bold,digits,0.5404,0.5868,0.0464,0.5161,0.5529,0.0134,0.0231,10
digits/3_dejavuserif-bold,digits,0.5367,0.5543,0.0176,0.5061,0.5329,0.0204,0.0126,10
digits/4_dejavusans-bold,digits,0.6104,0.6702,0.0598,0.5954,0.6359,0.0161,0.0211,10
digits/4_dejavusansmono-bold,digits,0.6134,0.6431,0.0297,0.5845,0.6221,0.0191,0.0174,10
digits/4_dejavuserif-bold,digits,0.6183,0.6387,0.0204,0.5774,0.6056,0.0223,0.0149,10
digits/5_dejavusans-bold,digits,0.5887,0.6027,0.014,0.557,0.5794,0.0189,0.0195,10
digits/5_dejavusansmono-bold,digits,0.5821,0.6131,0.031,0.5583,0.5749,0.017,0.0272,10
digits/5_dejavuserif-bold,digits,0.4831,0.5176,0.0345,0.4488,0.4797,0.0289,0.0297,10
digits/6_dejavusans-bold,digits,0.6558,0.697,0.0412,0.6253,0.6695,0.0221,0.02,10
digits/6_dejavusansmono-bold,digits,0.6733,0.706,0.0327,0.6214,0.6577,0.0296,0.0294,10
digits/6_dejavuserif-bold,digits,0.6314,0.6562,0.0248,0.608,0.6418,0.016,0.0126,10
digits/7_dejavusans-bold,digits,0.6861,0.7006,0.0145,0.6496,0.6815,0.0296,0.021,10
digits/7_dejavusansmono-bold,digits,0.676,0.717,0.041,0.6227,0.6755,0.0329,0.0326,10
digits/7_dejavuserif-bold,digits,0.5122,0.5508,0.0386,0.4801,0.5312,0.024,0.014,10
digits/8_dejavusans-bold,digits,0.6388,0.6535,0.0147,0.5982,0.6279,0.0284,0.0138,10
digits/8_dejavusansmono-bold,digits,0.6027,0.6402,0.0375,0.5812,0.6219,0.0228,0.0137,10
digits/8_dejavuserif-bold,digits,0.6189,0.6544,0.0355,0.5869,0.6155,0.0173,0.0232,10
digits/9_dejavusans-bold,digits,0.6394,0.6733,0.0339,0.6036,0.6525,0.0209,0.0177,10
digits/9_dejavusansmono-bold,digits,0.6385,0.6586,0.0201,0.6106,0.642,0.0181,0.0124,10
digits/9_dejavuserif-bold,digits,0.613,0.6343,0.0213,0.5759,0.5956,0.0245,0.0209,10
figures/children_mpeg7-01,figures,0.7065,0.7222,0.0157,0.6744,0.7025,0.0243,0.0139,10
figures/children_mpeg7-02,figures,0.7008,0.7223,0.0215,0.6741,0.7011,0.0231,0.0128,10
figures/children_mpeg7-03,figures,0.7032,0.7263,0.0231,0.6832,0.7074,0.0182,0.0113,10
figures/children_mpeg7-04,figures,0.7001,0.722,0.0219,0.6814,0.7109,0.0154,0.0091,10
figures/children_mpeg7-05,figures,0.7048,0.7132,0.0084,0.6753,0.7021,0.0203,0.0093,10
figures/face_mpeg7-01,figures,0.7997,0.8124,0.0127,0.7619,0.788,0.0192,0.0157,10
figures/face_mpeg7-02,figures,0.7891,0.8184,0.0293,0.7595,0.7925,0.0162,0.0161,10
figures/face_mpeg7-03,figures,0.789,0.8129,0.0239,0.7609,0.782,0.0182,0.0137,10
figures/face_mpeg7-04,figures,0.7771,0.8037,0.0266,0.7531,0.7808,0.0149,0.0121,10
figures/face_mpeg7-05,figures,0.7627,0.8104,0.0477,0.7339,0.7742,0.0176,0.0154,10
hand_shadow/bird_hasper-01,hand_shadow,0.5955,0.6521,0.0566,0.5459,0.5871,0.0248,0.0357,10
hand_shadow/chicken_hasper-01,hand_shadow,0.7699,0.7859,0.016,0.7252,0.7452,0.0194,0.0179,10
hand_shadow/crab_hasper-01,hand_shadow,0.5695,0.5908,0.0213,0.5439,0.5667,0.0132,0.0251,10
hand_shadow/deer_hasper-01,hand_shadow,0.5407,0.5694,0.0287,0.52,0.5479,0.0129,0.0109,10
hand_shadow/dog_hasper-01,hand_shadow,0.6496,0.6477,-0.0019,0.6067,0.6138,0.0283,0.0193,10
hand_shadow/elephant_hasper-01,hand_shadow,0.5241,0.5722,0.0481,0.4755,0.5285,0.0351,0.04,10
hand_shadow/elephant_hasper-02,hand_shadow,0.5551,0.5788,0.0237,0.4644,0.5286,0.0398,0.0368,10
hand_shadow/moose_hasper-01,hand_shadow,0.6443,0.6775,0.0332,0.602,0.6393,0.0327,0.0261,10
hand_shadow/rabbit_hasper-01,hand_shadow,0.5677,0.5919,0.0242,0.5494,0.5663,0.0193,0.0238,10
hand_shadow/snail_hasper-01,hand_shadow,0.6683,0.7167,0.0484,0.6435,0.6941,0.0221,0.0173,10
letters_lower/a_dejavusans-bold,letters_lower,0.5692,0.6238,0.0546,0.5458,0.5796,0.0129,0.0218,10
letters_lower/a_dejavusansmono-bold,letters_lower,0.5919,0.6499,0.058,0.5619,0.5875,0.0183,0.0314,10
letters_lower/a_dejavuserif-bold,letters_lower,0.5618,0.6086,0.0468,0.5325,0.5697,0.0192,0.0249,10
letters_lower/b_dejavusans-bold,letters_lower,0.7171,0.7399,0.0228,0.6635,0.6962,0.0299,0.0221,10
letters_lower/b_dejavusansmono-bold,letters_lower,0.7034,0.7299,0.0265,0.6719,0.7058,0.0164,0.0169,10
letters_lower/b_dejavuserif-bold,letters_lower,0.675,0.7125,0.0375,0.6354,0.6783,0.0285,0.0196,10
letters_lower/c_dejavusans-bold,letters_lower,0.704,0.7126,0.0086,0.6533,0.6796,0.035,0.0254,10
