shadow_name,subset,target,best_iou,mean_iou,std_iou,min_iou,n_runs,best_run,n_robots,arm_gap_m,seconds,best_iou_vs_original,mean_iou_vs_original,fit_scale,fit_dx,fit_dy,uncastable_before,uncastable_after,best_shadow_png,q_rad_json,a_rot_deg,a_pitch_deg,a_elbow_deg,a_wristpitch_deg,a_wristroll_deg,a_grip_deg,b_rot_deg,b_pitch_deg,b_elbow_deg,b_wristpitch_deg,b_wristroll_deg,b_grip_deg,c_rot_deg,c_pitch_deg,c_elbow_deg,c_wristpitch_deg,c_wristroll_deg,c_grip_deg
abstract/device3_mpeg7-02,abstract,targets/abstract/device3_mpeg7-02.png,0.9113,0.8571,0.0372,0.7638,10,9,3,0.2,113.2,0.3309,0.3197,0.7346,-20.11,28.16,0.22072,0.24059,abstract/device3_mpeg7-02/device3_mpeg7-02_best.png,"[1.839272, -0.762387, -1.611859, -1.65806, -1.954154, -0.14751, -0.798271, -1.547058, -0.129124, 1.650017, -2.718541, 1.054007, -1.0058, -0.594317, 1.069881, 0.313105, 1.704517, 0.031477]",105.38,-43.68,-92.35,-95.0,-111.96,-8.45,-45.74,-88.64,-7.4,94.54,-155.76,60.39,-57.63,-34.05,61.3,17.94,97.66,1.8
abstract/device9_mpeg7-01,abstract,targets/abstract/device9_mpeg7-01.png,0.9085,0.8709,0.038,0.7967,10,0,3,0.2,114.7,0.3103,0.298,0.7346,-20.11,28.16,0.15694,0.27984,abstract/device9_mpeg7-01/device9_mpeg7-01_best.png,"[-0.836597, -1.022586, 0.024351, 1.592407, 0.853954, 1.52014, -1.205422, -0.154405, 0.922452, -1.656784, 0.532327, 1.281741, -1.210153, -0.927316, -1.685613, -1.633429, -1.904639, -0.136648]",-47.93,-58.59,1.4,91.24,48.93,87.1,-69.07,-8.85,52.85,-94.93,30.5,73.44,-69.34,-53.13,-96.58,-93.59,-109.13,-7.83
objects/bell_mpeg7-05,objects,targets/objects/bell_mpeg7-05.png,0.9077,0.8878,0.0214,0.8268,10,1,3,0.2,113.2,0.3626,0.34,0.8308,-16.09,24.14,0.15097,0.23152,objects/bell_mpeg7-05/bell_mpeg7-05_best.png,"[1.168619, -1.410842, -0.034709, 1.26113, 2.578921, 0.483011, 0.982704, 0.199561, 1.110052, -1.620967, 2.048557, -0.174533, 0.309867, -1.683869, 1.501078, -1.312685, -1.078488, 0.690963]",66.96,-80.84,-1.99,72.26,147.76,27.67,56.3,11.43,63.6,-92.87,117.37,-10.0,17.75,-96.48,86.01,-75.21,-61.79,39.59
abstract/hcircle_mpeg7-02,abstract,targets/abstract/hcircle_mpeg7-02.png,0.907,0.8863,0.0184,0.8466,10,7,3,0.2,115.8,0.3357,0.3225,0.7346,4.02,28.16,0.10778,0.08374,abstract/hcircle_mpeg7-02/hcircle_mpeg7-02_best.png,"[1.341805, -1.74533, -0.200854, -0.910495, 2.474952, -0.17003, -1.061136, -1.74533, -1.17166, 1.65806, -2.081188, 1.46865, -1.714115, -1.390272, 0.013974, 1.259966, -1.544105, 0.410469]",76.88,-100.0,-11.51,-52.17,141.8,-9.74,-60.8,-100.0,-67.13,95.0,-119.24,84.15,-98.21,-79.66,0.8,72.19,-88.47,23.52
abstract/device3_mpeg7-01,abstract,targets/abstract/device3_mpeg7-01.png,0.9058,0.8696,0.023,0.8289,10,8,3,0.2,113.6,0.3139,0.2961,0.7346,-24.14,28.16,0.22695,0.25118,abstract/device3_mpeg7-01/device3_mpeg7-01_best.png,"[-0.807373, -1.277968, -0.157094, 1.65806, -1.192588, 1.228186, -1.224262, 0.051382, -0.123489, 1.65806, -0.455127, 0.479586, -0.778163, -0.007689, -0.38134, 1.65806, 0.165169, 1.248968]",-46.26,-73.22,-9.0,95.0,-68.33,70.37,-70.15,2.94,-7.08,95.0,-26.08,27.48,-44.59,-0.44,-21.85,95.0,9.46,71.56
figures/face_mpeg7-04,figures,targets/figures/face_mpeg7-04.png,0.9048,0.8786,0.0195,0.8324,10,5,3,0.2,113.3,0.3281,0.3221,0.7346,-8.05,28.16,0.01994,0.1772,figures/face_mpeg7-04/face_mpeg7-04_best.png,"[1.307667, -1.6661, -0.422464, 1.627505, -1.328858, -0.171976, 1.581932, -0.929684, -1.446314, -1.654983, 2.339365, -0.106609, 1.902229, -0.45045, 0.782869, -1.394886, 0.233346, -0.170715]",74.92,-95.46,-24.21,93.25,-76.14,-9.85,90.64,-53.27,-82.87,-94.82,134.04,-6.11,108.99,-25.81,44.86,-79.92,13.37,-9.78
objects/bell_mpeg7-02,objects,targets/objects/bell_mpeg7-02.png,0.9023,0.8797,0.018,0.8484,10,8,3,0.2,111.4,0.351,0.3312,0.8308,-20.11,24.14,0.1505,0.25269,objects/bell_mpeg7-02/bell_mpeg7-02_best.png,"[0.886264, -1.126523, -0.121953, 1.65806, -1.157163, -0.174502, -1.405921, 0.433472, -0.629727, 0.951777, -0.224797, 0.63221, -0.879811, -0.750069, 0.544768, 1.319361, -2.143984, 0.424299]",50.78,-64.55,-6.99,95.0,-66.3,-10.0,-80.55,24.84,-36.08,54.53,-12.88,36.22,-50.41,-42.98,31.21,75.59,-122.84,24.31
objects/apple_mpeg7-01,objects,targets/objects/apple_mpeg7-01.png,0.9019,0.8769,0.0257,0.8123,10,7,3,0.2,117.0,0.2876,0.2769,0.7346,-20.11,28.16,0.13835,0.32238,objects/apple_mpeg7-01/apple_mpeg7-01_best.png,"[-1.915269, -0.929166, 0.454158, 1.654239, 2.676176, 1.745112, 1.120292, 0.53307, 0.382277, -1.657464, 0.701832, 1.699449, -1.24718, -0.185461, -0.137759, 0.851228, -1.62186, 0.081811]",-109.74,-53.24,26.02,94.78,153.33,99.99,64.19,30.54,21.9,-94.97,40.21,97.37,-71.46,-10.63,-7.89,48.77,-92.93,4.69
figures/face_mpeg7-01,figures,targets/figures/face_mpeg7-01.png,0.8997,0.8829,0.0125,0.8536,10,7,3,0.2,113.8,0.3264,0.3191,0.7346,-8.05,28.16,0.01642,0.17744,figures/face_mpeg7-01/face_mpeg7-01_best.png,"[1.423112, -1.175798, -1.049167, -1.485593, 2.822837, 0.062954, -1.91986, -0.743841, 0.006006, 1.596463, -2.743473, 1.111512, -1.895953, -1.71081, -0.457423, 1.577446, -2.583278, 0.748771]",81.54,-67.37,-60.11,-85.12,161.74,3.61,-110.0,-42.62,0.34,91.47,-157.19,63.68,-108.63,-98.02,-26.21,90.38,-148.01,42.9
figures/face_mpeg7-05,figures,targets/figures/face_mpeg7-05.png,0.8991,0.8618,0.0352,0.789,10,6,3,0.2,113.9,0.3289,0.3161,0.7346,-8.05,28.16,0.02272,0.17972,figures/face_mpeg7-05/face_mpeg7-05_best.png,"[1.264573, -1.392056, -0.125475, 1.65806, 2.794603, 1.050352, 1.811654, 1.145541, -1.546065, -1.651863, 2.193587, 0.402736, 1.423747, 1.049796, -0.857994, -1.102777, -1.737433, 1.181622]",72.45,-79.76,-7.19,95.0,160.12,60.18,103.8,65.63,-88.58,-94.64,125.68,23.08,81.57,60.15,-49.16,-63.18,-99.55,67.7
abstract/device3_mpeg7-03,abstract,targets/abstract/device3_mpeg7-03.png,0.8987,0.8701,0.0259,0.8053,10,0,3,0.2,111.7,0.3048,0.2924,0.7346,-24.14,28.16,0.21404,0.256,abstract/device3_mpeg7-03/device3_mpeg7-03_best.png,"[-1.408929, 0.577011, -1.475756, 1.656512, 2.216114, 1.45735, 0.886844, -1.384905, -0.13091, 1.655481, 0.815787, 0.755242, -0.767006, -0.200389, 0.478965, 1.439038, 1.960946, 0.83496]",-80.73,33.06,-84.55,94.91,126.97,83.5,50.81,-79.35,-7.5,94.85,46.74,43.27,-43.95,-11.48,27.44,82.45,112.35,47.84
objects/jar_mpeg7-01,objects,targets/objects/jar_mpeg7-01.png,0.8976,0.8668,0.0318,0.7902,10,5,3,0.2,115.5,0.3763,0.3585,0.7346,-4.02,28.16,0.03588,0.15381,objects/jar_mpeg7-01/jar_mpeg7-01_best.png,"[1.278394, -1.651791, -0.563351, 1.65806, 0.175407, -0.174533, 1.91986, -0.25281, 0.052985, 0.932902, -1.409318, -0.099248, -1.78366, -1.709515, -0.300085, -1.511798, -0.204251, 1.339153]",73.25,-94.64,-32.28,95.0,10.05,-10.0,110.0,-14.48,3.04,53.45,-80.75,-5.69,-102.2,-97.95,-17.19,-86.62,-11.7,76.73
letters_upper/J_dejavusans-bold,letters_upper,targets/letters_upper/J_dejavusans-bold.png,0.8963,0.8484,0.0319,0.7741,10,4,3,0.2,113.2,0.4669,0.4482,1.1192,-8.05,12.07,0.05837,0.09952,letters_upper/J_dejavusans-bold/J_dejavusans-bold_best.png,"[1.592508, -1.657495, -1.070026, -1.497691, 1.492289, 0.721932, -1.120225, -1.272992, -0.303385, 0.079464, -1.053542, 0.788484, -1.38545, -1.03749, -0.385417, -0.541657, -0.502859, 1.634848]",91.24,-94.97,-61.31,-85.81,85.5,41.36,-64.18,-72.94,-17.38,4.55,-60.36,45.18,-79.38,-59.44,-22.08,-31.03,-28.81,93.67
objects/bell_mpeg7-03,objects,targets/objects/bell_mpeg7-03.png,0.895,0.878,0.0191,0.8254,10,1,3,0.2,112.7,0.386,0.3685,0.8308,-12.07,24.14,0.12921,0.24113,objects/bell_mpeg7-03/bell_mpeg7-03_best.png,"[1.35464, -1.74533, -0.325892, 1.371009, -2.459329, 1.108933, 0.450381, -0.032922, 1.343479, -0.269758, -0.569031, 0.718859, 0.391356, -1.627356, 0.643888, 0.828278, -0.260898, 1.74533]",77.62,-100.0,-18.67,78.55,-140.91,63.54,25.8,-1.89,76.98,-15.46,-32.6,41.19,22.42,-93.24,36.89,47.46,-14.95,100.0
letters_upper/I_dejavusans-bold,letters_upper,targets/letters_upper/I_dejavusans-bold.png,0.8943,0.8498,0.0315,0.7711,10,4,3,0.2,112.6,0.5552,0.5286,0.9269,-4.02,16.09,0.0,0.00443,letters_upper/I_dejavusans-bold/I_dejavusans-bold_best.png,"[-1.261207, -1.74533, -0.027547, 0.957974, 2.789053, 0.620491, -1.120385, -1.74533, 0.482515, -0.92166, -0.26986, 0.071381, 1.900072, -0.233341, -1.383355, 1.260436, 1.445741, 0.970954]",-72.26,-100.0,-1.58,54.89,159.8,35.55,-64.19,-100.0,27.65,-52.81,-15.46,4.09,108.87,-13.37,-79.26,72.22,82.83,55.63
objects/apple_mpeg7-04,objects,targets/objects/apple_mpeg7-04.png,0.894,0.8658,0.0143,0.8452,10,1,3,0.2,111.3,0.3011,0.2727,0.7346,-20.11,28.16,0.1577,0.31986,objects/apple_mpeg7-04/apple_mpeg7-04_best.png,"[1.778543, -0.916688, -1.677281, -1.59119, 0.137216, 0.135011, -1.91986, -0.729225, 0.478232, 1.592724, 2.416295, -0.131565, 1.261008, -0.811854, 0.489843, 0.221511, 0.56863, 0.744099]",101.9,-52.52,-96.1,-91.17,7.86,7.74,-110.0,-41.78,27.4,91.26,138.44,-7.54,72.25,-46.52,28.07,12.69,32.58,42.63
objects/bell_mpeg7-04,objects,targets/objects/bell_mpeg7-04.png,0.8927,0.8622,0.0261,0.7943,10,8,3,0.2,111.8,0.3993,0.3717,0.9269,-16.09,20.11,0.14097,0.22402,objects/bell_mpeg7-04/bell_mpeg7-04_best.png,"[0.724361, -1.151781, -0.023128, 1.65806, -0.327947, 0.786293, -1.286931, 0.017067, 0.211344, 0.55616, 0.919462, 0.547533, -1.213592, 0.473486, -1.69, -1.596683, -1.60824, 0.803208]",41.5,-65.99,-1.33,95.0,-18.79,45.05,-73.74,0.98,12.11,31.87,52.68,31.37,-69.53,27.13,-96.83,-91.48,-92.15,46.02
figures/face_mpeg7-03,figures,targets/figures/face_mpeg7-03.png,0.8887,0.871,0.0173,0.8285,10,5,3,0.2,112.1,0.3341,0.3229,0.7346,-8.05,28.16,0.01743,0.16714,figures/face_mpeg7-03/face_mpeg7-03_best.png,"[1.280159, -1.74533, -0.118736, 1.418904, -0.360922, -0.174533, -1.867388, -0.913016, 0.892417, -0.534159, -2.683721, 1.508382, 1.221752, -1.107148, 1.444231, -1.636965, -1.770337, 0.967598]",73.35,-100.0,-6.8,81.3,-20.68,-10.0,-106.99,-52.31,51.13,-30.61,-153.77,86.42,70.0,-63.43,82.75,-93.79,-101.43,55.44
abstract/device4_mpeg7-04,abstract,targets/abstract/device4_mpeg7-04.png,0.8884,0.8692,0.0187,0.8329,10,1,3,0.2,115.4,0.3188,0.3106,0.8308,-16.09,24.14,0.18955,0.28341,abstract/device4_mpeg7-04/device4_mpeg7-04_best.png,"[0.57087, -1.259806, 0.739737, 1.65806, -1.651668, -0.172099, 1.91986, -1.369516, 0.385772, 1.619438, 0.664245, -0.112631, -1.91986, -1.627569, -0.098337, 1.559231, 0.541941, 0.209112]",32.71,-72.18,42.38,95.0,-94.63,-9.86,110.0,-78.47,22.1,92.79,38.06,-6.45,-110.0,-93.25,-5.63,89.34,31.05,11.98
abstract/misk_mpeg7-03,abstract,targets/abstract/misk_mpeg7-03.png,0.8875,0.8537,0.0206,0.8165,10,1,3,0.2,112.0,0.2968,0.284,0.7346,-16.09,28.16,0.09767,0.25595,abstract/misk_mpeg7-03/misk_mpeg7-03_best.png,"[1.614378, -0.712722, -1.69, -1.65806, -0.967133, 0.950845, 1.129827, -1.517778, -0.16951, 1.65806, -2.145923, 1.339407, -0.511264, -1.280113, 0.569349, 1.648419, -2.244103, 0.213012]",92.5,-40.84,-96.83,-95.0,-55.41,54.48,64.73,-86.96,-9.71,95.0,-122.95,76.74,-29.29,-73.35,32.62,94.45,-128.58,12.2
letters_lower/l_dejavusans-bold,letters_lower,targets/letters_lower/l_dejavusans-bold.png,0.8874,0.8644,0.019,0.8275,10,5,3,0.2,113.8,0.3942,0.3699,0.9269,-8.05,16.09,0.0,0.07592,letters_lower/l_dejavusans-bold/l_dejavusans-bold_best.png,"[-1.389682, -1.681328, -0.106094, 0.971314, -0.046026, -0.14236, -1.482197, -0.964816, -0.66203, -1.041659, -1.486178, 0.374645, 1.678834, 0.20237, -0.901321, 0.234827, 2.778915, 0.415952]",-79.62,-96.33,-6.08,55.65,-2.64,-8.16,-84.92,-55.28,-37.93,-59.68,-85.15,21.47,96.19,11.59,-51.64,13.45,159.22,23.83
abstract/comma_mpeg7-04,abstract,targets/abstract/comma_mpeg7-04.png,0.8864,0.8593,0.0213,0.8127,10,7,3,0.2,112.8,0.3466,0.32,0.7346,-8.05,28.16,0.08479,0.06608,abstract/comma_mpeg7-04/comma_mpeg7-04_best.png,"[-1.21006, -1.002983, -1.115085, -1.620763, -2.632411, 1.202806, -1.226803, -1.743333, -1.149718, 1.604951, -0.743339, 0.873411, -1.552127, -0.880509, -1.228438, -1.476877, -0.099986, 0.734369]",-69.33,-57.47,-63.89,-92.86,-150.83,68.92,-70.29,-99.89,-65.87,91.96,-42.59,50.04,-88.93,-50.45,-70.38,-84.62,-5.73,42.08
objects/bottle_mpeg7-02,objects,targets/objects/bottle_mpeg7-02.png,0.884,0.82,0.0467,0.7037,10,6,3,0.2,114.5,0.6362,0.5872,0.9269,-4.02,16.09,0.00871,0.06039,objects/bottle_mpeg7-02/bottle_mpeg7-02_best.png,"[-1.363938, -1.741056, -0.190223, -1.055054, -2.655768, 0.709178, 1.784471, 0.218025, -1.003145, 0.102246, 2.828295, 0.521702, -1.37117, -1.743938, -1.689861, 1.5345, -1.42636, 0.604775]",-78.15,-99.76,-10.9,-60.45,-152.16,40.63,102.24,12.49,-57.48,5.86,162.05,29.89,-78.56,-99.92,-96.82,87.92,-81.72,34.65
abstract/comma_mpeg7-05,abstract,targets/abstract/comma_mpeg7-05.png,0.8831,0.8201,0.0365,0.7537,10,4,3,0.2,112.6,0.3381,0.3201,0.7346,-8.05,28.16,0.06266,0.05257,abstract/comma_mpeg7-05/comma_mpeg7-05_best.png,"[-1.467113, -1.66535, -1.141837, 0.585097, 2.640487, 1.09848, -1.276874, -1.74533, -1.123835, 1.631665, 0.444624, 0.656157, -1.531848, -1.655027, -0.228041, -1.581911, -2.671397, 0.090885]",-84.06,-95.42,-65.42,33.52,151.29,62.94,-73.16,-100.0,-64.39,93.49,25.48,37.6,-87.77,-94.83,-13.07,-90.64,-153.06,5.21
abstract/hcircle_mpeg7-04,abstract,targets/abstract/hcircle_mpeg7-04.png,0.8822,0.852,0.0223,0.7965,10,6,3,0.2,114.3,0.3359,0.3089,0.7346,4.02,28.16,0.09087,0.01611,abstract/hcircle_mpeg7-04/hcircle_mpeg7-04_best.png,"[-1.203921, -1.565049, -0.127293, -1.160711, -1.648984, 1.379691, 1.91986, 0.381449, -0.011709, -1.399256, 1.707871, 1.744718, -1.579432, -1.689719, -0.592484, 1.537163, -2.716737, 0.483894]",-68.98,-89.67,-7.29,-66.5,-94.48,79.05,110.0,21.86,-0.67,-80.17,97.85,99.96,-90.49,-96.81,-33.95,88.07,-155.66,27.73
objects/apple_mpeg7-05,objects,targets/objects/apple_mpeg7-05.png,0.882,0.8599,0.0154,0.83,10,6,3,0.2,111.1,0.3054,0.2898,0.7346,-20.11,28.16,0.15438,0.32579,objects/apple_mpeg7-05/apple_mpeg7-05_best.png,"[0.810745, -0.96212, 0.308985, 1.645127, -1.517625, -0.1739, 1.252048, 0.882127, -0.627923, 0.570513, 0.374739, 0.60397, -1.919247, -1.042767, 0.650971, 1.08939, -1.366122, 1.299563]",46.45,-55.13,17.7,94.26,-86.95,-9.96,71.74,50.54,-35.98,32.69,21.47,34.6,-109.96,-59.75,37.3,62.42,-78.27,74.46
objects/hat_mpeg7-03,objects,targets/objects/hat_mpeg7-03.png,0.8798,0.853,0.0211,0.8096,10,6,3,0.2,115.1,0.3158,0.3041,0.7346,-16.09,28.16,0.1633,0.24181,objects/hat_mpeg7-03/hat_mpeg7-03_best.png,"[0.902636, -1.031495, 0.093774, 1.65806, -0.097755, 1.404254, 1.043788, 0.098044, 0.427243, 1.65806, 0.896998, 0.377008, -1.91986, -0.660646, -0.086725, 1.65806, -0.286746, 0.873641]",51.72,-59.1,5.37,95.0,-5.6,80.46,59.8,5.62,24.48,95.0,51.39,21.6,-110.0,-37.85,-4.97,95.0,-16.43,50.06
objects/apple_mpeg7-03,objects,targets/objects/apple_mpeg7-03.png,0.8796,0.8374,0.0347,0.7647,10,2,3,0.2,113.9,0.3324,0.2891,0.7346,-20.11,28.16,0.14924,0.31596,objects/apple_mpeg7-03/apple_mpeg7-03_best.png,"[0.800289, -0.944382, 0.30645, 1.65806, -1.722521, -0.14384, 1.91986, -1.090982, 0.556709, 1.214044, -1.834984, 0.173754, -0.744608, -0.313966, 0.749718, 1.586644, 1.658123, 1.609352]",45.85,-54.11,17.56,95.0,-98.69,-8.24,110.0,-62.51,31.9,69.56,-105.14,9.96,-42.66,-17.99,42.96,90.91,95.0,92.21
abstract/hcircle_mpeg7-01,abstract,targets/abstract/hcircle_mpeg7-01.png,0.8786,0.8627,0.0122,0.8364,10,8,3,0.2,113.6,0.3551,0.3319,0.7346,4.02,28.16,0.09511,0.03141,abstract/hcircle_mpeg7-01/hcircle_mpeg7-01_best.png,"[-1.258692, -1.267233, -0.710636, -1.646188, 2.178699, -0.137403, -1.142903, -1.744229, -1.27961, 1.54751, -2.585985, -0.10789, -1.59578, -0.827556, -1.347979, -1.612988, -0.235588, 0.571434]",-72.12,-72.61,-40.72,-94.32,124.83,-7.87,-65.48,-99.94,-73.32,88.67,-148.17,-6.18,-91.43,-47.42,-77.23,-92.42,-13.5,32.74
abstract/device1_mpeg7-03,abstract,targets/abstract/device1_mpeg7-03.png,0.8783,0.8498,0.0233,0.8051,10,0,3,0.2,118.5,0.2609,0.2353,0.8308,-24.14,28.16,0.07653,0.31489,abstract/device1_mpeg7-03/device1_mpeg7-03_best.png,"[-1.352691, -0.163774, -0.318626, 1.226237, -1.905467, 1.74533, -0.678394, -0.884367, 0.834777, 1.65806, 1.581798, 0.349718, 1.767454, -1.035807, 0.081303, 1.65806, 0.850845, 1.74533]",-77.5,-9.38,-18.26,70.26,-109.18,100.0,-38.87,-50.67,47.83,95.0,90.63,20.04,101.27,-59.35,4.66,95.0,48.75,100.0
abstract/device1_mpeg7-02,abstract,targets/abstract/device1_mpeg7-02.png,0.8745,0.8449,0.0183,0.8197,10,4,3,0.2,117.2,0.2923,0.2661,0.8308,-20.11,28.16,0.08664,0.29024,abstract/device1_mpeg7-02/device1_mpeg7-02_best.png,"[-1.009817, -1.085259, 1.379209, -1.655556, -1.366612, -0.171948, 0.615504, -1.206156, -0.069815, 1.658041, -2.027317, 1.735712, 0.593019, -0.273793, 1.210893, -1.592571, 1.558287, 0.786922]",-57.86,-62.18,79.02,-94.86,-78.3,-9.85,35.27,-69.11,-4.0,95.0,-116.16,99.45,33.98,-15.69,69.38,-91.25,89.28,45.09
