frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
11,f10.png,0.6105,0.3906,51210,0,37.8,110.0,-12.29,-42.75,93.38,-5.63,-10.0,109.31,-42.65,-57.6,95.0,25.38,-4.04,102.63,-97.53,42.84,42.38,28.19,23.35,-110.0,-91.0,-54.44,36.68,140.72,-10.0,53.28,-30.04,76.31,51.11,121.59,66.81
12,f11.png,0.6185,0.3827,46410,0,34.1,110.0,-12.51,-41.62,91.16,-5.79,-10.0,108.31,-41.87,-56.58,95.0,32.75,-4.17,98.53,-99.99,39.78,41.81,28.53,23.58,-110.0,-90.89,-54.51,36.6,140.68,-10.0,53.08,-30.37,76.16,51.47,121.82,66.51
13,f12.png,0.6235,0.3776,45450,0,33.5,106.19,-7.23,-44.92,84.35,-13.18,-9.99,102.88,-40.76,-49.63,94.94,32.1,-4.49,98.42,-99.97,39.58,41.99,28.74,23.58,-107.17,-91.4,-54.3,37.66,137.68,-9.34,53.42,-30.3,76.43,51.07,122.04,66.5
14,f13.png,0.5294,0.475,48138,0,36.0,104.56,-5.05,-47.52,82.22,-19.03,-9.22,96.46,-46.33,-39.08,93.56,18.4,-4.0,98.24,-100.0,39.53,42.18,28.85,23.57,-105.86,-87.46,-56.12,31.5,137.35,-9.95,59.32,-31.69,77.31,50.82,121.56,66.29
15,f14.png,0.5026,0.502,52170,0,39.5,103.09,-3.49,-48.16,78.31,-4.45,-8.58,91.59,-36.74,-26.89,94.56,17.61,-4.55,98.28,-100.0,39.34,41.82,28.75,23.53,-103.71,-84.94,-59.1,21.67,132.07,-10.0,59.88,-31.76,77.02,51.02,121.78,65.79
16,f15.png,0.5145,0.49,51210,0,38.5,103.33,-2.73,-47.69,78.48,-4.47,-8.59,91.0,-31.87,-34.65,94.79,16.31,-3.19,98.23,-99.98,39.82,42.28,28.41,23.31,-104.14,-84.07,-58.43,21.93,131.94,-10.0,59.59,-31.83,76.95,51.07,121.69,65.88
17,f16.png,0.5337,0.4707,47754,0,35.7,104.44,-4.43,-49.29,84.83,-20.48,-10.0,83.6,-31.19,-35.81,94.8,10.53,-3.37,98.18,-99.92,39.76,42.17,28.64,23.27,-105.08,-83.22,-61.23,18.2,127.96,-9.99,60.12,-31.63,76.8,51.41,121.41,65.78
18,f17.png,0.5406,0.4637,49674,0,36.6,106.53,-5.86,-51.36,92.84,-18.41,-9.66,79.47,-33.12,-40.92,88.96,11.15,-3.28,98.06,-99.98,39.98,42.41,28.82,23.2,-109.47,-78.79,-62.18,11.57,138.5,-8.91,60.07,-31.53,76.83,51.36,121.49,65.85
19,f18.png,0.6229,0.3782,46794,0,34.3,110.0,-6.67,-49.44,95.0,-5.3,-10.0,77.58,-35.76,-44.89,93.69,7.38,-3.33,91.97,-98.84,21.86,24.97,-3.38,24.57,-110.0,-79.79,-62.61,10.99,138.22,-8.91,59.85,-31.61,76.78,51.5,122.14,66.0
20,f19.png,0.6222,0.3788,47946,0,35.4,110.0,-3.13,-52.04,95.0,-5.49,-10.0,70.09,-34.52,-47.7,92.86,5.02,-3.17,87.53,-93.75,14.36,19.67,-13.41,25.66,-110.0,-82.29,-61.49,24.72,138.85,-10.0,60.21,-31.48,76.93,51.19,122.27,65.94
21,f20.png,0.6115,0.3895,50634,0,37.7,110.0,-3.1,-51.95,95.0,-5.62,-10.0,70.14,-34.55,-47.63,92.92,5.0,-3.17,87.36,-84.64,6.5,21.52,-10.19,25.69,-110.0,-82.36,-61.36,24.71,138.59,-10.0,60.39,-31.22,76.84,51.4,122.45,65.82
22,f21.png,0.6109,0.3901,49482,0,36.8,110.0,-3.1,-51.95,95.0,-5.62,-10.0,70.14,-34.55,-47.63,92.92,5.0,-3.17,87.86,-81.25,3.94,22.8,-9.48,25.86,-110.0,-82.36,-61.36,24.71,138.59,-10.0,60.41,-31.29,76.87,51.39,122.37,65.85
23,f22.png,0.6111,0.3899,48906,0,36.2,110.0,-6.5,-48.79,95.0,-5.74,-10.0,70.23,-34.24,-47.37,93.16,4.99,-3.17,88.75,-79.09,4.03,25.22,-10.44,26.5,-110.0,-84.3,-62.55,24.38,138.59,-10.0,60.29,-31.33,76.73,51.3,122.37,65.85
24,f23.png,0.6119,0.3891,49674,0,37.0,110.0,-6.45,-48.68,95.0,-4.4,-10.0,69.91,-34.52,-47.12,93.3,4.99,-3.17,88.75,-79.09,4.03,25.22,-10.44,26.5,-110.0,-84.09,-62.92,24.39,138.19,-10.0,60.29,-31.33,76.73,51.3,122.37,65.85
25,f24.png,0.6125,0.3885,48906,0,36.2,110.0,-6.45,-48.68,95.0,-4.4,-10.0,69.91,-34.52,-47.12,93.3,4.99,-3.17,88.75,-79.09,4.03,25.22,-10.44,26.5,-110.0,-84.09,-62.92,24.39,138.19,-10.0,60.47,-31.35,76.7,51.44,122.17,65.86
26,f25.png,0.6149,0.3861,48138,0,35.5,110.0,-3.14,-50.98,95.0,-4.12,-10.0,69.26,-35.98,-48.42,92.4,4.74,-3.17,92.98,-76.32,3.14,24.34,-16.62,27.34,-110.0,-77.88,-67.14,18.13,131.25,-10.0,60.59,-31.25,76.47,51.2,122.05,65.86
27,f26.png,0.6153,0.3858,49290,0,36.3,110.0,-7.27,-45.88,95.0,-4.19,-10.0,69.29,-36.1,-48.68,91.9,4.77,-3.01,96.78,-71.49,2.99,16.88,-23.09,26.5,-110.0,-77.88,-67.33,18.38,131.21,-10.0,60.38,-31.63,76.64,51.16,121.88,65.89
28,f27.png,0.6221,0.3788,46026,0,33.8,110.0,-5.82,-45.9,95.0,1.66,-10.0,68.03,-34.34,-48.92,90.72,-5.2,-3.69,98.09,-70.14,6.98,14.34,-20.58,26.4,-110.0,-78.12,-69.13,21.44,124.92,-8.98,60.43,-31.61,76.72,51.05,121.93,65.87
29,f28.png,0.619,0.382,49290,0,36.3,110.0,-3.71,-48.76,95.0,1.03,-9.83,68.24,-34.24,-48.81,90.92,-5.22,-3.69,94.83,-70.69,7.9,12.92,-21.09,24.78,-110.0,-77.69,-68.49,21.52,125.04,-8.98,61.17,-31.33,76.5,50.31,123.15,65.85
30,f29.png,0.6189,0.3821,47562,0,34.8,110.0,-3.72,-50.3,95.0,0.22,-10.0,67.4,-33.52,-48.14,91.11,-5.2,-3.69,93.68,-71.27,8.66,10.91,-16.3,24.32,-110.0,-78.02,-67.88,21.64,125.01,-8.98,61.49,-31.32,76.74,50.5,123.15,65.83
31,f30.png,0.6165,0.3845,46218,0,33.7,110.0,-3.58,-51.36,95.0,0.12,-10.0,67.82,-33.44,-47.8,91.52,-5.25,-3.69,99.46,-69.51,9.87,7.7,2.19,24.55,-110.0,-79.79,-68.6,22.07,124.71,-8.98,61.88,-31.3,76.29,49.96,123.73,65.56
32,f31.png,0.6167,0.3843,45642,0,33.4,110.0,-3.77,-51.15,95.0,0.06,-10.0,67.86,-33.38,-47.8,91.57,-5.25,-3.69,99.47,-69.53,9.85,7.68,2.19,24.56,-110.0,-80.13,-68.16,22.07,124.0,-8.98,61.83,-31.37,76.17,49.89,123.73,65.56
