frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
11,f10.png,0.7369,0.2638,47946,0,35.5,66.32,-97.29,38.92,-94.26,-4.61,46.22,66.89,5.66,-44.19,70.3,138.98,31.3,109.95,-84.88,29.29,15.13,12.45,-9.52,-69.96,-80.55,-4.09,-94.85,51.55,47.39,9.06,-42.16,53.88,94.96,-73.22,54.82
12,f11.png,0.7338,0.267,47754,0,34.9,68.55,-96.61,26.74,-90.97,7.85,43.78,64.53,-3.86,-34.06,76.92,162.79,32.48,109.89,-77.73,27.42,19.85,16.05,-9.85,-68.52,-71.67,2.43,-89.69,55.66,44.75,14.75,-44.36,51.41,94.99,-69.73,55.24
13,f12.png,0.7491,0.2518,49674,0,36.6,66.5,-100.0,33.22,-95.0,27.96,38.34,59.54,-20.54,-17.69,85.3,157.72,27.64,106.39,-77.59,28.55,20.76,14.69,-9.76,-65.06,-70.79,-4.27,-87.34,69.89,44.63,22.81,-42.38,48.81,94.52,-59.71,55.25
14,f13.png,0.7573,0.2436,43699,0,31.6,70.49,-100.0,24.18,-95.0,36.6,38.5,59.22,-21.14,-18.36,84.36,157.12,27.51,107.3,-78.32,29.05,25.32,13.5,-9.98,-63.05,-72.43,-5.76,-90.16,63.16,44.21,21.29,-46.13,30.6,94.52,-40.61,57.76
15,f14.png,0.7567,0.2442,40659,0,28.9,70.49,-100.0,24.18,-95.0,36.6,38.5,59.22,-21.14,-18.36,84.36,157.12,27.51,107.3,-78.32,29.05,25.32,13.5,-9.98,-62.91,-69.78,-9.15,-92.32,60.26,43.53,21.29,-46.13,30.6,94.52,-40.61,57.76
16,f15.png,0.7699,0.231,40582,0,29.1,74.54,-100.0,17.63,-95.0,46.01,37.58,61.51,-19.44,-18.47,73.0,161.71,21.98,110.0,-76.75,26.5,26.9,12.97,-9.98,-59.38,-69.15,-17.03,-92.64,51.77,41.31,21.15,-48.22,30.05,93.95,-40.56,57.98
17,f16.png,0.7671,0.2339,43699,0,31.1,74.45,-99.46,17.61,-94.96,45.93,37.67,60.25,-21.89,-19.78,76.42,162.25,20.26,109.69,-76.7,26.26,26.33,24.39,-9.98,-57.85,-63.98,-23.55,-95.0,40.94,41.52,24.24,-46.35,28.34,92.78,-28.92,60.57
18,f17.png,0.7578,0.2433,43699,0,31.0,73.89,-100.0,20.17,-93.94,51.39,37.32,59.58,-22.4,-20.99,78.96,162.79,16.38,105.22,-76.52,29.86,18.32,36.0,-8.34,-56.85,-60.21,-28.61,-93.01,43.03,41.67,25.25,-48.85,27.68,92.85,-28.35,61.06
19,f18.png,0.7468,0.2545,50826,0,36.3,73.04,-99.66,23.91,-94.77,55.67,38.36,57.71,-22.56,-26.41,85.16,162.79,15.08,105.56,-72.75,26.62,15.56,30.92,-8.73,-53.94,-53.14,-34.21,-94.88,45.05,42.3,24.73,-51.49,24.85,91.86,-24.6,62.36
20,f19.png,0.7458,0.2555,49482,0,35.4,68.37,-100.0,38.32,-95.0,95.79,38.65,57.08,-21.1,-29.68,92.27,162.79,12.93,104.12,-73.0,26.34,15.27,30.92,-8.65,-54.62,-51.81,-33.45,-94.67,45.02,42.28,22.44,-51.01,26.83,90.29,-13.12,64.21
21,f20.png,0.7522,0.2491,48906,0,35.0,63.24,-100.0,46.82,-95.0,101.18,41.37,59.19,-19.08,-31.91,81.95,160.3,9.74,102.57,-71.97,27.13,12.75,41.81,-7.5,-54.66,-49.85,-35.11,-94.86,42.07,41.85,25.09,-45.95,18.66,87.58,-10.65,65.75
22,f21.png,0.7526,0.2488,47178,0,33.7,62.91,-100.0,47.23,-95.0,101.23,41.49,60.4,-17.49,-33.92,78.08,159.38,9.25,102.99,-65.73,23.49,11.45,46.81,-7.01,-54.37,-47.25,-37.71,-94.9,42.1,41.87,23.77,-45.59,16.43,84.84,-11.16,65.79
23,f22.png,0.7056,0.2955,48138,0,35.1,59.56,-100.0,48.38,-95.0,96.52,35.52,108.9,-15.12,-39.12,70.35,162.74,6.27,104.91,-60.18,22.25,10.06,50.25,-8.12,-54.77,-45.68,-44.49,-95.0,27.79,42.75,56.85,-37.98,42.48,87.66,-27.83,66.97
24,f23.png,0.7169,0.2842,46410,0,33.7,61.91,-100.0,46.28,-95.0,94.01,31.89,109.98,-8.46,-43.75,70.31,162.48,6.34,107.46,-56.62,41.13,13.85,45.68,-9.97,-54.77,-45.64,-44.57,-95.0,27.79,42.66,56.79,-38.09,42.55,87.69,-27.83,66.97
25,f24.png,0.7107,0.2904,46794,0,33.9,61.91,-100.0,46.28,-95.0,94.01,31.89,109.98,-8.46,-43.75,70.31,162.48,6.34,107.46,-56.62,41.13,13.85,45.68,-9.97,-54.77,-45.64,-44.57,-95.0,27.79,42.66,56.79,-38.09,42.55,87.69,-27.83,66.97
26,f25.png,0.703,0.2981,47946,0,35.1,61.91,-100.0,46.28,-95.0,94.01,31.89,109.98,-8.46,-43.75,70.31,162.48,6.34,107.46,-56.62,41.13,13.85,45.68,-9.97,-54.77,-45.64,-44.57,-95.0,27.79,42.66,56.79,-38.09,42.55,87.69,-27.83,66.97
27,f26.png,0.7118,0.2894,49866,0,36.5,61.97,-100.0,46.23,-95.0,94.36,32.09,109.88,-7.5,-45.65,70.58,162.63,7.4,105.19,-54.52,41.75,13.11,46.61,-9.46,-55.64,-45.47,-45.48,-95.0,26.99,43.11,56.75,-38.14,42.63,87.71,-27.83,66.97
28,f27.png,0.7084,0.2927,46986,0,34.2,61.97,-100.0,46.23,-95.0,94.36,32.09,109.93,-7.56,-45.49,70.64,155.29,6.65,105.19,-54.52,41.75,13.11,46.61,-9.46,-55.64,-45.47,-45.48,-95.0,26.99,43.11,56.75,-38.14,42.63,87.71,-27.83,66.97
29,f28.png,0.7045,0.2966,45258,0,32.9,62.0,-100.0,46.21,-95.0,94.39,31.54,109.98,-7.57,-45.45,70.87,155.3,6.65,105.14,-54.57,41.7,13.08,46.62,-9.46,-55.6,-45.73,-45.69,-95.0,26.88,43.11,58.29,-39.1,43.88,88.72,-27.83,66.97
30,f29.png,0.7008,0.3003,45834,0,33.3,60.33,-100.0,47.94,-95.0,94.47,31.77,110.0,-7.64,-45.44,71.04,155.3,6.65,105.4,-54.81,41.69,13.08,46.62,-9.46,-55.75,-45.74,-45.9,-95.0,26.78,43.11,56.58,-37.59,42.48,87.78,-28.29,66.97
31,f30.png,0.7011,0.3,46602,0,33.9,60.87,-100.0,47.19,-95.0,96.0,31.16,110.0,-7.7,-45.45,71.33,155.3,6.65,105.35,-54.82,41.68,13.07,46.62,-9.46,-56.08,-44.7,-45.81,-94.88,26.77,43.04,56.82,-37.73,42.53,87.86,-28.25,66.97
32,f31.png,0.0096,0.9992,53258,0,39.2,75.91,-100.0,34.92,-95.0,93.62,28.56,102.38,0.12,-38.94,72.65,154.28,7.24,102.21,-57.78,38.66,10.47,46.84,-9.83,-75.0,-54.32,-56.43,-95.0,26.39,44.48,57.83,-38.19,42.95,88.67,-28.58,67.24
