frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
13,f12.png,0.795,0.2054,39504,0,27.5,-73.76,-55.85,20.13,57.15,-16.7,59.83,110.0,13.48,-20.3,-15.14,-88.2,94.02,-44.7,-94.28,-39.14,-95.0,110.88,-10.0,-49.75,-85.23,5.46,94.94,-57.64,4.75,30.11,28.51,-38.22,94.98,-28.6,16.75
14,f13.png,0.7979,0.2025,40659,0,28.5,-73.73,-55.89,20.19,57.08,-16.7,59.83,110.0,11.78,-21.89,-4.65,-92.54,96.62,-43.41,-80.91,-62.11,-95.0,109.61,-10.0,-54.3,-88.14,5.32,95.0,-56.02,4.83,29.83,28.45,-38.44,94.86,-28.52,16.79
15,f14.png,0.7962,0.2042,40659,0,28.5,-73.5,-56.15,20.25,56.93,-16.73,59.8,110.0,11.98,-21.78,-4.81,-92.39,96.59,-44.08,-81.11,-62.35,-95.0,109.63,-10.0,-57.87,-88.38,7.3,94.96,-58.02,4.3,30.16,27.91,-38.75,94.79,-28.52,16.84
16,f15.png,0.7977,0.2027,39658,0,27.7,-73.56,-56.84,21.48,55.96,-16.51,59.95,110.0,13.12,-20.66,-6.89,-90.21,96.29,-45.59,-82.03,-63.11,-95.0,109.67,-10.0,-58.15,-88.49,7.28,95.0,-58.21,4.26,30.16,27.93,-38.76,94.79,-28.52,16.84
17,f16.png,0.805,0.1954,39427,0,27.7,-73.68,-56.01,20.3,57.02,-16.72,59.82,110.0,12.32,-19.71,-3.61,-95.74,99.49,-46.12,-81.37,-61.51,-94.98,105.33,-10.0,-57.81,-92.15,7.82,94.82,-54.69,4.06,30.18,27.89,-38.76,94.8,-28.52,16.84
18,f17.png,0.8021,0.1983,39581,0,27.9,-73.34,-54.82,18.93,57.95,-16.83,59.74,110.0,13.63,-19.34,-7.82,-92.4,98.74,-45.91,-80.73,-60.97,-94.81,105.3,-9.99,-57.65,-92.94,7.61,94.77,-54.39,3.78,30.04,28.23,-38.52,94.89,-28.52,16.81
19,f18.png,0.8117,0.1887,39735,0,27.9,-73.7,-52.86,17.04,59.08,-16.6,59.91,110.0,10.97,-14.83,-7.62,-90.93,98.76,-46.37,-88.08,-50.07,-94.86,99.48,-9.82,-57.88,-93.23,6.39,93.48,-53.73,3.74,30.0,28.28,-38.44,94.86,-28.52,16.82
20,f19.png,0.8121,0.1884,40659,0,28.6,-73.41,-54.82,17.44,60.65,-17.85,59.07,107.39,11.29,-15.61,-7.76,-92.12,98.93,-44.94,-88.39,-47.35,-94.6,110.54,-10.0,-60.52,-91.74,3.16,93.83,-42.67,9.22,30.05,28.14,-38.49,94.88,-28.51,16.82
21,f20.png,0.8139,0.1865,40505,0,28.3,-73.8,-52.55,16.97,58.8,-16.64,60.14,108.69,9.23,-16.15,-5.85,-105.48,99.5,-44.43,-88.98,-47.7,-94.65,110.54,-9.97,-56.18,-86.03,0.81,94.87,-40.92,9.02,29.41,27.82,-37.7,95.0,-29.07,16.52
22,f21.png,0.8124,0.188,40428,0,28.3,-73.83,-52.4,16.79,58.92,-16.65,60.14,110.0,9.81,-20.95,-2.75,-109.06,99.65,-44.23,-87.97,-46.84,-94.16,110.53,-9.94,-55.7,-81.56,0.58,94.91,-42.34,8.42,29.36,27.82,-37.73,94.99,-29.06,16.52
23,f22.png,0.8057,0.1947,40351,0,28.2,-73.8,-52.34,16.85,58.74,-16.6,60.17,110.0,11.64,-23.78,-5.86,-99.52,99.13,-42.42,-83.87,-54.43,-95.0,111.21,-10.0,-55.38,-81.3,0.64,94.93,-42.4,8.4,28.64,27.65,-38.13,94.81,-28.98,16.59
24,f23.png,0.7946,0.2058,40120,0,28.0,-73.74,-52.4,16.88,58.8,-16.66,60.13,110.0,10.86,-25.94,-0.25,-94.94,100.0,-42.54,-83.5,-54.15,-95.0,111.21,-10.0,-54.76,-81.32,0.61,94.99,-43.33,8.47,28.41,27.51,-38.38,94.65,-28.93,16.63
25,f24.png,0.7955,0.2049,39196,0,27.4,-74.43,-50.31,16.31,57.5,-15.31,61.0,110.0,12.24,-26.65,-3.15,-92.81,99.89,-43.15,-82.6,-53.76,-95.0,111.21,-10.0,-54.87,-81.11,0.62,94.97,-44.11,8.35,28.31,28.04,-38.15,94.69,-28.96,16.58
26,f25.png,0.8001,0.2003,40505,0,28.6,-74.02,-52.98,17.42,59.3,-14.28,57.99,109.79,11.62,-29.73,6.4,-93.14,98.36,-44.5,-81.75,-55.33,-95.0,112.3,-9.96,-54.88,-80.98,0.63,94.95,-43.94,8.38,29.45,28.06,-37.42,95.0,-29.13,16.42
27,f26.png,0.7948,0.2056,39658,0,27.8,-74.07,-53.83,20.55,55.25,-10.52,53.1,110.0,13.14,-29.37,1.91,-88.89,97.97,-43.75,-76.52,-65.39,-94.9,111.88,-9.94,-54.51,-83.56,4.98,94.96,-39.59,7.57,29.37,28.25,-37.38,94.96,-29.05,16.44
28,f27.png,0.8005,0.1999,39350,0,27.6,-75.38,-57.24,22.74,55.65,-3.87,48.21,110.0,13.34,-29.16,1.11,-90.63,97.41,-43.75,-76.52,-65.41,-94.9,111.88,-9.94,-49.28,-85.6,9.8,95.0,-42.02,7.09,29.33,28.62,-37.26,94.96,-29.02,16.44
29,f28.png,0.796,0.2044,40274,0,28.2,-75.04,-55.56,22.13,54.56,-3.12,49.39,110.0,16.51,-29.8,-2.86,-87.7,97.75,-41.66,-77.53,-64.41,-94.82,110.08,-9.65,-54.37,-88.64,10.13,95.0,-41.83,6.7,26.41,23.69,-31.52,94.91,-29.76,15.25
30,f29.png,0.7918,0.2086,40197,0,28.2,-75.42,-53.52,20.72,54.75,-2.55,50.06,109.87,15.27,-29.37,2.34,-89.36,97.64,-41.67,-77.52,-64.4,-94.82,110.08,-9.65,-54.35,-88.61,10.1,94.97,-41.85,6.7,24.72,24.45,-32.01,94.48,-29.66,15.32
31,f30.png,0.7979,0.2025,40659,0,28.6,-77.31,-45.22,15.99,51.03,-1.71,46.59,109.87,15.63,-29.06,2.47,-89.43,97.65,-41.66,-77.52,-64.4,-94.82,110.08,-9.65,-54.45,-89.97,5.69,94.91,-39.87,6.78,24.83,23.5,-32.8,94.42,-29.66,15.36
32,f31.png,0.8042,0.1962,39812,0,27.8,-77.31,-45.22,15.99,51.03,-1.71,46.59,109.95,12.37,-27.46,3.81,-96.87,96.68,-41.66,-77.52,-64.4,-94.82,110.08,-9.65,-54.57,-85.81,5.08,94.91,-39.03,6.28,24.83,23.5,-32.8,94.42,-29.66,15.36
