condition,sequence_id,group,name,n_frames,cyclic,mean_iou,mean_iou_vs_original,min_iou,first_frame_iou,mean_dq,max_dq,cheap_frac,loop_dq,loop_cheap,warp_rms_px,warp_peak_px,seconds
small-budget,gesture/two_arm_wave,gesture,two_arm_wave,8,True,0.7581,0.7581,0.7482,0.7575,0.3916,0.5064,1.0,0.7435,True,,,340.4
small-budget,gesture/windmill,gesture,windmill,8,False,0.3791,0.3791,0.3609,0.3609,0.821,1.0248,1.0,,,,,316.1
small-budget,gesture/wiper,gesture,wiper,12,True,0.5185,0.5185,0.4839,0.5286,0.6543,1.0323,1.0,1.5168,False,,,433.5
small-budget,storyboard/rig_bird,storyboard,rig_bird,6,False,0.2462,0.2462,0.2407,0.2421,0.5399,1.0568,1.0,,,,,258.7
small-budget,storyboard/rig_figure,storyboard,rig_figure,6,True,0.4043,0.4043,0.3934,0.3934,0.5778,0.9084,1.0,1.7504,False,,,259.0
small-budget,storyboard/rig_sailboat,storyboard,rig_sailboat,6,False,0.5384,0.5384,0.5148,0.5599,0.761,0.9947,1.0,,,,,257.3
small-budget,storyboard/rig_tree,storyboard,rig_tree,6,False,0.4223,0.4223,0.3883,0.4554,0.8539,1.0811,1.0,,,,,259.5
small-budget,synthetic/star_spin,synthetic,star_spin,5,True,0.6194,0.6194,0.5835,0.6235,0.7186,1.1124,1.0,1.4131,False,,,139.9
small-budget,synthetic/triangle,synthetic,triangle,10,False,0.4587,0.4587,0.2883,0.4961,0.6911,1.0207,1.0,,,,,274.2
small-budget-distort,captured/plant_sway,captured,plant_sway,20,False,0.7866,0.6274,0.7599,0.7745,0.2291,0.9367,1.0,,,6.715,7.68,481.1
small-budget-distort,gesture/bird,gesture,bird,8,True,0.5319,0.4441,0.5248,0.5251,0.8127,1.0338,1.0,2.0824,False,4.899,7.68,341.7
small-budget-distort,gesture/cheer,gesture,cheer,8,True,0.7452,0.7452,0.72,0.7891,0.84,1.1654,1.0,2.056,False,,,341.9
small-budget-distort,gesture/flower,gesture,flower,8,True,0.6983,0.5832,0.6475,0.7047,0.7543,1.1092,1.0,1.0559,True,5.317,7.68,341.9
small-budget-distort,gesture/reeds,gesture,reeds,8,True,0.3953,0.3584,0.3492,0.4117,0.845,1.1163,1.0,1.487,False,5.112,7.68,344.0
small-budget-distort,gesture/stick_wave,gesture,stick_wave,8,True,0.7812,0.754,0.761,0.761,0.5341,0.8546,1.0,1.4367,False,4.162,7.68,338.7
small-budget-distort,gesture/two_arm_wave,gesture,two_arm_wave,8,True,0.7647,0.7193,0.7535,0.7582,0.4557,1.1568,1.0,1.6685,False,2.741,3.84,340.1
small-budget-distort,gesture/windmill,gesture,windmill,8,False,0.4156,0.3982,0.3748,0.3904,0.7199,1.1773,1.0,,,4.453,7.68,318.2
small-budget-distort,gesture/wiper,gesture,wiper,12,True,0.5185,0.5185,0.4839,0.5286,0.6543,1.0323,1.0,1.5168,False,,,433.3
small-budget-distort,storyboard/rig_bird,storyboard,rig_bird,6,False,0.2462,0.2462,0.2407,0.2421,0.5399,1.0568,1.0,,,,,259.0
small-budget-distort,storyboard/rig_figure,storyboard,rig_figure,6,True,0.4579,0.3747,0.4307,0.4467,0.6404,0.916,1.0,1.8281,False,5.531,7.68,256.1
small-budget-distort,storyboard/rig_sailboat,storyboard,rig_sailboat,6,False,0.6169,0.5312,0.6113,0.6167,0.4372,0.723,1.0,,,5.593,7.68,257.9
small-budget-distort,storyboard/rig_tree,storyboard,rig_tree,6,False,0.4343,0.4146,0.3857,0.4832,0.7721,0.9486,1.0,,,2.706,3.84,259.8
small-budget-distort,synthetic/star_spin,synthetic,star_spin,5,True,0.6194,0.6194,0.5835,0.6235,0.7186,1.1124,1.0,1.4131,False,,,136.0
small-budget-distort,synthetic/triangle,synthetic,triangle,10,False,0.5012,0.4482,0.359,0.5404,0.885,1.1737,1.0,,,5.922,7.68,274.4
